 	il	tomba	aveugle	à	la	suite	de	sa	blessure	</S>
w	0.915141	0.042727	0.00658318	0.00695545	0.0211846	0.00235659	0.00176492	0.00271549	0.000481895	8.94984e-05
a	0.820532	0.0469028	0.0512111	0.0219189	0.0515448	0.000210755	0.000884889	0.00547332	0.00130228	1.90639e-05
m	0.377742	0.234648	0.188345	0.0910383	0.0825968	0.00217678	0.0093824	0.0107391	0.00217167	0.00115959
í	0.105543	0.503632	0.274584	0.0335653	0.032608	0.00122748	0.0160102	0.0110574	0.000300698	0.0214719
s	0.151585	0.411598	0.265106	0.0593879	0.0344798	0.00478825	0.0346533	0.0166665	0.00170086	0.0200341
i	0.174268	0.303236	0.197998	0.0765812	0.0457832	0.00389901	0.0396298	0.0255336	0.00103177	0.13204
á	0.0576159	0.204926	0.337107	0.0551825	0.0307782	0.00525473	0.0492224	0.0365564	0.0123388	0.211018
b	0.0229082	0.196712	0.36874	0.299053	0.0393171	0.0208684	0.0202736	0.0168403	0.00622611	0.0090619
h	0.0127278	0.455157	0.249655	0.200375	0.0522678	0.0117196	0.00825505	0.00597879	0.00101175	0.00285152
i	0.030345	0.445612	0.227818	0.174426	0.0505568	0.0293087	0.0173912	0.0106195	0.000986376	0.0129355
á	0.00490313	0.10697	0.19522	0.274545	0.132331	0.0497863	0.0430269	0.0312451	0.010859	0.151113
a	0.00870811	0.0473827	0.278083	0.344874	0.225424	0.0443677	0.0175411	0.0132292	0.00878351	0.0116066
w	0.000830117	0.0302086	0.0662736	0.305218	0.0982762	0.378534	0.0598293	0.01445	0.0237898	0.0225898
á	0.000801707	0.0179569	0.0652864	0.21495	0.148749	0.242093	0.085426	0.0611839	0.0463443	0.117209
w	0.00477692	0.0195087	0.115316	0.096689	0.0979768	0.0803753	0.0367325	0.0476327	0.0211181	0.479874
a	0.00852639	0.0115533	0.0378591	0.117537	0.248971	0.108599	0.149995	0.211454	0.0178706	0.0876342
m	0.00944726	0.00910781	0.0771182	0.148136	0.31741	0.210278	0.112295	0.043077	0.00957959	0.0635513
ó	0.0141955	0.0213696	0.055087	0.074181	0.201791	0.123281	0.271834	0.151655	0.00846991	0.0781369
p	0.00617356	0.00415291	0.0114678	0.0401517	0.122423	0.528945	0.147001	0.0202675	0.111689	0.00772906
ó	0.000707879	0.00120721	0.00152137	0.0085208	0.0241705	0.864791	0.0685198	0.00691567	0.0178475	0.00579863
r	0.000117117	0.000697647	0.00173468	0.0190011	0.0348312	0.756122	0.102837	0.0131499	0.0271408	0.0443686
á	0.000265713	0.00125524	0.00115954	0.0256023	0.0856722	0.610441	0.119129	0.0198711	0.0139668	0.122637
y	0.00423652	0.00271325	0.00735226	0.0181045	0.0759272	0.105605	0.423102	0.205347	0.0390794	0.118533
á	0.0372137	0.0110116	0.0327664	0.0979909	0.193974	0.0295311	0.169068	0.121917	0.21321	0.0933165
á	0.00452265	0.00433968	0.0213532	0.0230673	0.0485566	0.0131172	0.067592	0.137466	0.654484	0.0255016
k	0.00261212	0.00315986	0.013832	0.0100877	0.00812416	0.00786355	0.117265	0.208392	0.514441	0.114223
ώ	9.99608e-05	0.00181673	0.00232736	0.00986289	0.0126637	0.0501252	0.150019	0.27285	0.39671	0.103525
s	2.74687e-05	0.000415101	0.000549327	0.00662101	0.0329025	0.102305	0.215853	0.149208	0.33605	0.156069
ώ	0.00013111	0.00056315	0.00106524	0.00931316	0.0353293	0.0822757	0.18536	0.193353	0.216874	0.275737
w	0.000343065	0.000389826	0.00129389	0.00430113	0.0207849	0.00715666	0.146612	0.332069	0.182296	0.304754
a	0.00756428	0.00343537	0.0127393	0.0115755	0.0326519	0.036094	0.129397	0.472302	0.230206	0.0640344
</S>	0.000587411	0.000704112	0.00242646	0.00234841	0.00598984	0.0050319	0.0946931	0.199592	0.339563	0.349064
