 	il	va	acheter	une	boîte	d'	allumettes	</S>
w	0.906302	0.0638196	0.00297363	0.0131164	0.00647219	0.00524166	0.00191386	0.000160614
a	0.819772	0.083102	0.0107258	0.0287727	0.00291986	0.0448763	0.00966696	0.000164523
l	0.518246	0.290898	0.0917363	0.0654019	0.00161217	0.0209482	0.00350327	0.00765425
á	0.13005	0.138658	0.1111	0.178959	0.0180009	0.0690354	0.0142864	0.33991
a	0.312146	0.196637	0.0599147	0.185228	0.0115887	0.0855718	0.0242077	0.124707
s	0.0201976	0.315	0.595945	0.0338499	0.0162159	0.00371195	0.00241767	0.0126622
ó	0.00194656	0.0488367	0.947769	0.000475711	0.000564235	5.80791e-05	1.43232e-05	0.000334999
m	0.0704534	0.200383	0.5703	0.0990315	0.00658772	0.024123	0.0026262	0.0264944
b	0.100265	0.0475133	0.372497	0.379742	0.0201564	0.0508786	0.00722142	0.0217264
á	0.0686706	0.0207904	0.0133348	0.173083	0.109979	0.104694	0.0158585	0.49359
i	0.0261209	0.0093446	0.0134545	0.559573	0.214478	0.141454	0.0247093	0.0108657
b	0.0065143	0.00694844	0.00200325	0.139775	0.597907	0.0998332	0.127263	0.0197564
v	0.00823893	0.00524466	0.00469603	0.043153	0.739284	0.0460718	0.145136	0.00817506
é	0.00116822	0.00134938	0.00333201	0.0224814	0.87263	0.0433988	0.0492436	0.00639671
é	0.00290901	0.000824247	0.00260159	0.126178	0.257429	0.27151	0.0875875	0.25096
l	0.00524421	0.00585989	0.00311102	0.0936422	0.0812826	0.499167	0.185861	0.125832
á	0.0106541	0.00703867	0.0062544	0.0312521	0.0277545	0.230339	0.149551	0.537157
b	0.0132681	0.00649609	0.0113663	0.049896	0.0126739	0.483282	0.232235	0.190783
h	0.0156592	0.00313368	0.0042425	0.0148511	0.062706	0.0875181	0.797514	0.0143749
ω	0.000547785	0.000144081	0.000453503	0.00485014	0.155484	0.0567776	0.758196	0.0235471
l	5.57521e-05	8.08588e-05	0.000228888	0.00869195	0.033972	0.122878	0.732517	0.101575
ω	0.00039306	0.000899723	0.000287114	0.0110716	0.042253	0.135503	0.505699	0.303894
b	0.00165296	0.000896151	0.00170937	0.0174227	0.00754087	0.28945	0.234502	0.446826
h	0.0137378	0.0106353	0.00616362	0.0586127	0.126326	0.16803	0.553112	0.063383
ώ	0.00388438	0.000528	0.0025047	0.0115831	0.0478044	0.0841854	0.724605	0.124905
l	0.000207379	9.92417e-05	0.000319058	0.00890602	0.00905223	0.183562	0.356061	0.441793
ώ	0.00357056	0.00580867	0.00246511	0.037819	0.0398888	0.18498	0.294616	0.430852
</S>	0.00407065	0.00321823	0.00690481	0.0423237	0.00907411	0.258851	0.085205	0.590352
