 	la	manière	dont	ils	ont	déboucher	mon	étang	m'	a	énervé	</S>
e	0.20454	0.754155	0.0201303	0.00597155	0.0114647	0.000870162	0.00164742	0.000435217	0.000508705	9.00163e-05	0.000155348	3.09867e-05
k	0.00487589	0.00398943	0.0227061	0.0119623	0.172175	0.636414	0.0257116	0.0355882	0.0373008	0.0124599	0.0340573	0.00275902
ú	0.00997669	0.000571198	0.0132181	0.00427011	0.0321584	0.876896	0.0102816	0.0174152	0.00284693	0.0029897	0.0263345	0.00304108
b	0.000472567	0.000638697	0.00938393	0.000477864	0.0167762	0.958919	0.00302928	0.00451288	0.00061245	0.00157389	0.00153234	0.00207089
h	0.148971	0.391491	0.0263287	0.0470687	0.148418	0.128225	0.0315508	0.00292247	0.00433448	0.00580643	0.00942847	0.0554545
ú	0.420741	0.0851656	0.0873468	0.0668002	0.137323	0.0237507	0.062066	0.00732326	0.0141547	0.0164037	0.00203034	0.0768947
l	0.0209241	0.00541829	0.28753	0.00295934	0.0857377	0.0478876	0.0385235	0.0151679	0.000596348	0.0554018	0.00806724	0.431786
ú	0.610357	0.0627481	0.153991	0.0201598	0.0838692	0.00670753	0.0135806	0.00210221	0.00512529	0.0116002	0.00194217	0.0278174
y	0.205146	0.0237125	0.358769	0.00921379	0.146021	0.113911	0.0222301	0.00882945	0.0022469	0.0205925	0.00503967	0.084289
é	0.341755	0.0716785	0.490309	0.00228472	0.0132763	0.00847174	0.010665	0.00512176	0.001693	0.015576	0.00232779	0.0368404
é	0.388422	0.192844	0.333594	0.0124762	0.0183634	0.00345233	0.0128942	0.00931833	0.0020433	0.00379683	0.00111976	0.0216758
k	0.031546	0.00107271	0.0723703	0.0836716	0.223234	0.184714	0.0429699	0.0937921	0.0398935	0.0693873	0.0307854	0.126562
ú	0.00246821	0.00012377	0.0119081	0.00818742	0.0648949	0.794873	0.0165383	0.0560411	0.00161736	0.0126546	0.00391677	0.0267764
b	0.0023868	0.000382625	0.00971311	0.00356873	0.0653556	0.875254	0.0082824	0.0112859	0.000321813	0.0026354	0.00131023	0.019503
h	0.0872884	0.0227674	0.0754067	0.0444666	0.158116	0.442115	0.0970167	0.0095578	0.00304662	0.0193636	0.00926947	0.0315858
ú	0.173736	0.0639607	0.194511	0.0270739	0.0563426	0.334282	0.0459882	0.00746628	0.00113104	0.00419139	0.00496315	0.0863533
b	0.00602998	0.00486452	0.229317	0.214333	0.273569	0.0421483	0.212069	0.0054822	0.00244841	0.0029668	0.000327354	0.00644559
á	0.00346605	0.00433492	0.00445313	0.89011	0.0623536	0.00705561	0.0169685	0.00167005	0.00200041	0.00312507	0.00129542	0.00316739
a	0.00377717	0.00588588	0.0107117	0.702994	0.129215	0.00923159	0.0900393	0.00562765	0.0121302	0.0100608	0.00329316	0.0170329
n	0.00210705	0.000231096	0.0150111	0.177044	0.449181	0.0801658	0.210597	0.0262302	0.0139972	0.0144971	0.00293805	0.00800061
g	0.0388584	0.0103349	0.119806	0.259074	0.0378198	0.00328082	0.142997	0.0374468	0.270649	0.0105914	0.00337205	0.0657697
á	0.00304658	0.00789797	0.0681473	0.202148	0.0230423	0.001816	0.191073	0.15921	0.32271	0.00398564	0.00477732	0.0121463
e	0.00356348	0.000563462	0.00822486	0.0183698	0.268569	0.00587821	0.543365	0.059937	0.0122916	0.0466541	0.00623145	0.0263526
t	0.00209713	0.00010556	0.00782907	0.00462105	0.0934218	0.203572	0.185453	0.397699	0.0193104	0.0422423	0.0214759	0.0221731
ó	0.000235934	6.75558e-05	0.00160955	0.00132004	0.0228463	0.159196	0.073412	0.651404	0.00296492	0.0326444	0.0337153	0.0205842
n	0.000239966	5.11331e-05	0.00427795	0.00190227	0.0197697	0.0492104	0.0934923	0.751176	0.00335047	0.0365152	0.0103166	0.0296981
g	0.00346054	0.000610356	0.0101575	0.00595222	0.0404498	0.0283453	0.123935	0.665996	0.0108708	0.0290926	0.00595147	0.075179
o	0.00462331	0.010011	0.0761464	0.00894856	0.00274205	0.000781335	0.0938201	0.756066	0.0294408	0.00134724	0.000971842	0.015101
é	0.0017303	0.000355578	0.0114087	0.00654335	0.0138534	0.000843994	0.128263	0.574412	0.0682539	0.122283	0.0160465	0.056006
p	0.00280243	0.000420827	0.00535714	0.00130807	0.0278685	0.00833285	0.0359475	0.133021	0.0826744	0.564813	0.0881275	0.0493268
έ	4.39648e-05	1.533e-05	0.000412866	0.000162165	0.00520583	0.0370052	0.0212417	0.301982	0.0156836	0.22084	0.261566	0.135841
