 	attends-moi	j'	arrive	</S>
k	0.915675	0.0754554	0.00231773	0.00655178
y	0.995185	0.00396506	0.000104554	0.000745571
έ	0.996048	0.00174629	0.000410501	0.00179547
έ	0.792126	0.0242266	0.0101019	0.173546
l	0.615401	0.0453176	0.0788937	0.260388
έ	0.183094	0.275918	0.17081	0.370177
n	0.018979	0.73959	0.149632	0.0917993
g	0.00126889	0.986344	0.00861393	0.00377274
á	0.0141466	0.953357	0.0138219	0.0186744
l	0.0506	0.504314	0.349438	0.0956476
í	0.0152369	0.121811	0.317814	0.545138
i	0.0321579	0.316286	0.488567	0.16299
y	0.0371464	0.00457205	0.347987	0.610295
a	0.0189215	0.0074337	0.169371	0.804274
a	0.00392329	0.00474769	0.0385572	0.952772
</S>	0.00244558	0.0768582	0.268137	0.652559
