 	le	manioc	a	déjà	moisi	</S>
e	0.41996	0.51239	0.0641541	0.00233388	0.000618955	0.000542702
k	0.0330666	0.93002	0.020082	0.0125025	0.00343295	0.000896444
ώ	0.00190868	0.996398	0.000650855	0.000122508	0.000578961	0.000341287
ώ	0.00618197	0.986012	0.00505182	0.000420659	0.000798398	0.00153487
é	0.447728	0.0484894	0.469826	0.0192953	0.00195115	0.0127103
m	0.12955	0.0144289	0.455193	0.334418	0.0100217	0.0563894
i	0.0256175	0.00167176	0.146512	0.365766	0.12164	0.338792
s	0.00226523	0.00280811	0.0131328	0.742623	0.142213	0.0969586
á	0.00198896	0.00056139	0.0110432	0.747524	0.0551512	0.183731
á	0.00325311	0.000499336	0.0605465	0.121394	0.015222	0.799084
o	0.0214065	0.0069329	0.31469	0.145827	0.249257	0.261886
b	0.00355618	0.00308218	0.00868407	0.112881	0.789038	0.0827584
v	0.00736526	0.00513047	0.0170944	0.02884	0.907485	0.0340845
u	0.00306715	0.0109926	0.0137378	0.0322252	0.889168	0.050809
m	0.00410899	0.000563582	0.0145283	0.0202258	0.0488027	0.911771
a	0.104608	0.00687051	0.151814	0.0156636	0.126861	0.594183
</S>	0.0370998	0.00251969	0.0717941	0.0439059	0.0236704	0.82101
