 	ses	voisins	murmurent	contre	lui	à	cause	de	sa	loquacité	</S>
b	0.577407	0.347616	0.0297189	0.0169174	0.0016846	0.00715428	0.00104534	0.00250534	0.015716	0.000117062	0.000118052
a	0.44071	0.479002	0.0225504	0.016146	0.0054135	0.00913745	0.0027405	0.00384868	0.01838	0.00152676	0.00054544
r	0.255842	0.690843	0.0177659	0.0161313	0.00584422	0.00426508	0.00196267	0.00205269	0.00320008	0.0010897	0.00100404
e	0.224746	0.752264	0.00350963	0.00438262	0.00288538	0.00149513	0.000537969	0.000808378	0.000634698	0.00014404	0.00859272
b	0.482926	0.227301	0.150069	0.0567379	0.0161901	0.0154481	0.00691824	0.0104676	0.00894727	0.00136406	0.0236314
é	0.177186	0.127984	0.46677	0.0445694	0.0476612	0.0307472	0.0245361	0.0295176	0.0103247	0.00297082	0.0377333
k	0.241203	0.091141	0.32526	0.0796029	0.0378732	0.0287031	0.0229432	0.0272471	0.0241439	0.0121487	0.109734
y	0.0232636	0.0971851	0.847569	0.00763103	0.0102235	0.0024968	0.00463518	0.00279538	0.000201506	0.00124051	0.00275869
é	0.0258078	0.124557	0.783145	0.0135855	0.0190768	0.00583072	0.006068	0.00544536	0.000833852	0.0032304	0.0124199
n	0.0243664	0.0563346	0.648992	0.0235871	0.0183668	0.01956	0.0266067	0.0216965	0.00796349	0.00491711	0.14761
á	0.0818856	0.190862	0.522545	0.0561943	0.0265145	0.0239129	0.0125323	0.0157586	0.00598178	0.00187688	0.0619365
á	0.0691292	0.0148637	0.259681	0.397826	0.123107	0.0680307	0.0285371	0.0134433	0.0107379	0.00112896	0.0135148
b	0.0143511	0.00406562	0.0674616	0.483732	0.202878	0.140076	0.0330366	0.01839	0.0151927	0.00210994	0.0187061
á	0.0249079	0.00738416	0.0664804	0.218896	0.321552	0.15686	0.129214	0.0568817	0.00791255	0.00610985	0.00380195
a	0.055201	0.00335464	0.0427616	0.215088	0.275112	0.149839	0.115971	0.0417147	0.0228219	0.0172073	0.0609303
y	0.00178494	0.00152255	0.0157882	0.153324	0.300249	0.267535	0.169034	0.0481015	0.012095	0.00752575	0.0230403
o	0.00502518	0.00475133	0.0201435	0.100176	0.293085	0.172572	0.0882106	0.0603116	0.022905	0.0965275	0.136293
b	0.00198985	0.00155321	0.00575494	0.0862538	0.154107	0.382748	0.131062	0.0575339	0.0108687	0.0348258	0.133302
h	0.0153162	0.012047	0.115914	0.104119	0.181393	0.147278	0.246029	0.124336	0.00934711	0.0126341	0.0315867
á	0.00466519	0.00819813	0.0479558	0.0390955	0.084569	0.12901	0.207702	0.195438	0.0489259	0.0233088	0.211132
w	0.00177128	0.00111023	0.00231773	0.0553568	0.110263	0.189644	0.168995	0.166318	0.259038	0.0154677	0.0297198
a	0.00373398	0.00228697	0.0329322	0.0633444	0.217556	0.122576	0.11336	0.124148	0.216697	0.0771405	0.0262243
m	0.000703144	0.000242217	0.00559622	0.0206179	0.0307762	0.0712176	0.12737	0.192526	0.311684	0.119155	0.120111
ó	0.00177964	0.000621143	0.000994933	0.00863899	0.0225927	0.0567942	0.0751674	0.132522	0.442017	0.0684203	0.190452
w	0.00277966	0.00180765	0.00404776	0.0132153	0.0124886	0.0405472	0.0362524	0.0623196	0.121022	0.663279	0.0422412
o	0.00185193	0.00120673	0.0299443	0.0116767	0.0247595	0.0305654	0.0463011	0.0610657	0.0813061	0.675081	0.0362414
l	0.00250516	0.00106491	0.00619246	0.00962352	0.0130251	0.0219579	0.0645475	0.0862188	0.036426	0.640053	0.118386
ó	0.00523183	0.00140384	0.0189996	0.00738737	0.0158918	0.0448137	0.0960831	0.184397	0.078567	0.283862	0.263364
</S>	0.00134869	0.000215662	0.010489	0.00411917	0.00372424	0.0122923	0.0190986	0.0541793	0.115172	0.221135	0.558226
