 	va	prendre	de	l'	eau	dans	la	maison	</S>
d	0.932585	0.00871306	0.0195864	0.0163294	0.00780149	0.00316874	0.0114924	0.000243389	8.04433e-05
z	0.967992	0.00638551	0.00352679	0.00247557	0.000419398	0.00294291	0.00529595	0.00404757	0.00691473
w	0.889409	0.0316417	0.0144462	0.0258561	0.00324456	0.0167345	0.00455077	0.00291552	0.0112015
a	0.698839	0.0384612	0.0144659	0.0177956	0.00733482	0.0377573	0.0251138	0.00186414	0.158368
á	0.250485	0.191566	0.132772	0.0401237	0.0237169	0.0255535	0.00363666	0.00200668	0.33014
o	0.10381	0.259123	0.40339	0.114213	0.0324291	0.0258032	0.00457241	0.00276424	0.0538962
k	0.0370329	0.791662	0.12381	0.0320291	0.00158191	0.007065	0.00255111	0.00128225	0.00298588
o	0.00865544	0.966422	0.0176212	0.00546675	9.95981e-05	0.000667191	0.000367087	2.67155e-05	0.000673949
b	0.0154263	0.859756	0.0692167	0.047991	0.000902518	0.00227819	0.00161595	0.000146877	0.00266652
h	0.0247081	0.64072	0.156165	0.109466	0.00686195	0.0185139	0.0169265	0.00137244	0.0252663
á	0.0298907	0.227031	0.116699	0.159507	0.058559	0.0778005	0.0719384	0.0392764	0.219299
m	0.0026052	0.00540344	0.104683	0.205127	0.529072	0.113876	0.019545	0.00748652	0.0122019
á	0.000829074	0.000270907	0.0110281	0.0406245	0.882543	0.0375909	0.0108141	0.00291416	0.0133857
a	0.00444408	0.00174949	0.0359175	0.145426	0.345854	0.153876	0.12507	0.179199	0.00846411
s	0.00136553	0.00617453	0.0193166	0.0520518	0.0878129	0.460137	0.217838	0.139383	0.0159207
á	0.000704379	0.002186	0.00804207	0.0237848	0.0235954	0.600419	0.268714	0.0277561	0.0447977
n	0.000416792	0.000395986	0.00469313	0.0228086	0.036953	0.195091	0.415338	0.27281	0.0514936
d	7.92797e-05	7.60317e-05	0.00124527	0.00466684	0.0112357	0.0246259	0.0537554	0.891899	0.0124169
é	9.24792e-05	6.0469e-05	0.000460347	0.00194496	0.00267285	0.0103982	0.0335789	0.933976	0.0168159
e	0.000909699	0.00227827	0.0258195	0.056891	0.0421219	0.0847385	0.236255	0.327084	0.223902
</S>	0.00112276	0.00234309	0.0160252	0.0185822	0.0165332	0.0676884	0.209918	0.0748907	0.592897
