 	c'	est	lui	qui	a	mis	fin	à	la	guerre	</S>
é	0.523306	0.167234	0.0881993	0.121	0.0503943	0.0222148	0.00638243	0.00715294	0.0117481	0.00100681	0.0013609
d	0.0826803	0.243461	0.0284254	0.062651	0.0840492	0.222484	0.107188	0.0940853	0.0398493	0.0279291	0.00719753
z	0.00433477	0.0733923	0.0867977	0.179217	0.13651	0.166066	0.173762	0.111031	0.0482181	0.00130466	0.019366
e	0.0204142	0.154838	0.0875349	0.411309	0.230325	0.0167111	0.0193014	0.0355651	0.0191226	0.00100131	0.00387771
w	0.0234751	0.171338	0.339155	0.238215	0.0989615	0.0485018	0.0213769	0.0102183	0.0200313	0.00326746	0.0254597
á	0.0536698	0.0753544	0.150201	0.0923357	0.0681558	0.10698	0.0860599	0.108619	0.103496	0.00374683	0.151381
m	0.0769806	0.0628285	0.120718	0.127015	0.117612	0.0471302	0.138692	0.104143	0.0843884	0.010931	0.109562
o	0.0149616	0.0308121	0.0610939	0.115927	0.1514	0.161957	0.245833	0.139703	0.0480062	0.00388328	0.0264227
r	0.013071	0.0189354	0.0599493	0.135723	0.0791289	0.0470981	0.255087	0.191621	0.112874	0.0265943	0.0599173
o	0.0644426	0.0337864	0.0890203	0.201515	0.121738	0.0980791	0.148064	0.106475	0.0673419	0.00642797	0.0631097
y	0.0358546	0.0408808	0.139202	0.226188	0.1708	0.0450009	0.191108	0.0795138	0.0542358	0.00125808	0.015957
e	0.106021	0.0630642	0.157497	0.324542	0.175944	0.0245569	0.0570401	0.0298522	0.0360756	0.00129552	0.0241107
e	0.047007	0.0173961	0.153885	0.199634	0.203562	0.051555	0.0931214	0.0763615	0.121244	0.00937099	0.0268625
s	0.00163242	0.00267309	0.00520751	0.00659383	0.020967	0.117338	0.331579	0.290659	0.131243	0.0225785	0.0695289
í	0.000576317	0.00154363	0.00546324	0.0166935	0.0195067	0.0839539	0.37743	0.25079	0.206715	0.00409555	0.0332314
í	0.000799906	0.00101033	0.0110237	0.017412	0.0253816	0.0445509	0.159406	0.317902	0.280016	0.0422142	0.100282
s	0.0043882	0.00629169	0.0361267	0.0316113	0.120708	0.0703215	0.195049	0.210194	0.272317	0.00754184	0.045451
í	0.00377122	0.00322675	0.0126224	0.0132712	0.0162995	0.0377099	0.151308	0.139179	0.265515	0.0662901	0.290807
b	0.00520879	0.00190327	0.0126	0.0178018	0.0319726	0.00995518	0.0379194	0.0615367	0.271042	0.423153	0.126907
i	0.00340563	0.00340696	0.00430498	0.00156864	0.00400396	0.00949679	0.0176419	0.0329363	0.0938072	0.810879	0.0185483
r	5.15287e-05	0.000125733	0.000904215	0.000489001	0.000958512	0.00338905	0.00828693	0.0399991	0.10216	0.834019	0.00961726
á	0.000689138	0.000472782	0.0012896	0.00100167	0.00183464	0.00810849	0.0224003	0.126423	0.208452	0.485597	0.143731
</S>	0.001898	0.0012387	0.00357173	0.00440107	0.00767378	0.00849771	0.0377926	0.0890987	0.174168	0.0632488	0.608411
