 	la	manière	de	voler	de	la	poule	est	différente	de	celle	d'	un	oiseau	</S>
e	0.394073	0.430481	0.0915681	0.0519466	0.0160437	0.0032571	0.00229743	0.000942124	0.00164922	0.00176526	0.000122487	0.000571241	0.000299504	0.00333063	0.00165217
f	0.00131196	0.00163548	0.00550149	0.269271	0.258291	0.0767247	0.351952	0.00151803	0.0234175	0.00303574	0.00315736	0.00101853	0.00209497	0.00101776	5.32305e-05
u	0.00294196	0.00213263	0.00138688	0.118193	0.161256	0.0585875	0.551012	0.00214014	0.0825352	0.00350516	0.00926219	0.0032464	0.00149438	0.00129914	0.00100793
m	0.00275477	0.00105294	0.00247485	0.121552	0.42561	0.156853	0.192924	0.00427891	0.062038	0.00482095	0.0108118	0.00694223	0.00604982	0.00052246	0.001314
b	0.05984	0.01249	0.00654419	0.106796	0.361933	0.315543	0.0407372	0.0082661	0.0249982	0.0103907	0.00306507	0.0138279	0.0145161	0.00899613	0.0120565
ú	0.299936	0.0423107	0.0674728	0.078916	0.216729	0.200663	0.00947142	0.0136459	0.0101079	0.00892648	0.00356186	0.00654009	0.00499879	0.00300722	0.0337131
l	0.00603028	0.00449124	0.0142174	0.0522305	0.106976	0.141633	0.111411	0.0794906	0.0903296	0.0289908	0.0314515	0.0497605	0.0340374	0.00215974	0.24679
ú	0.0605075	0.0811571	0.0882417	0.131436	0.113632	0.0902508	0.0075672	0.0341901	0.0365063	0.0429365	0.0196695	0.0151571	0.0097294	0.00700459	0.262014
y	0.172929	0.176203	0.0724906	0.0959244	0.105473	0.0985687	0.086701	0.0382287	0.0189745	0.0324482	0.0147602	0.0111324	0.00791337	0.00211129	0.0661417
á	0.0850193	0.0814062	0.0885879	0.103016	0.0715806	0.0656126	0.138078	0.0374336	0.0606701	0.0362038	0.0593305	0.0253587	0.0187592	0.00881572	0.120127
t	0.011617	0.0179461	0.061379	0.0820468	0.0841925	0.0900552	0.548505	0.0176347	0.0170994	0.0095553	0.0219803	0.00606504	0.00578651	0.0048233	0.0213138
s	0.00369153	0.00204987	0.0142619	0.125574	0.188987	0.243796	0.345547	0.0273461	0.0284943	0.00299509	0.00870396	0.00284534	0.00137073	0.000749717	0.00358699
ó	0.000604713	0.000573898	0.00747445	0.0513497	0.106903	0.110317	0.660283	0.0164695	0.021953	0.00511003	0.00255579	0.00639742	0.00387985	0.00126856	0.0048601
s	0.00092314	0.00125215	0.0211319	0.040777	0.0774298	0.0989249	0.673793	0.0216716	0.0278346	0.0060425	0.00463914	0.00593304	0.00309964	0.00153765	0.0150101
ó	0.0201623	0.0250447	0.0282102	0.0115328	0.024229	0.0683288	0.281476	0.100653	0.104049	0.048532	0.0707297	0.0338782	0.0218252	0.0203028	0.141046
e	0.0161451	0.0381651	0.218101	0.123428	0.0819768	0.131155	0.117602	0.174367	0.0140089	0.0380365	0.0132044	0.00822145	0.0057361	0.00189366	0.0179596
