 	pourquoi	tu	ne	viens	plus	chez	moi	</S>
e	0.618883	0.297189	0.0458172	0.00041908	0.00417155	0.0325739	0.000537203	0.000408894
t	0.0815948	0.569925	0.206763	0.0273026	0.0848995	0.0104116	0.0138607	0.00524259
ú	0.0130578	0.0343316	0.616938	0.0961829	0.135626	0.0116831	0.00426882	0.087912
b	0.00541399	0.0193173	0.375418	0.0468119	0.26393	0.0327776	0.00860674	0.247724
h	0.492893	0.307072	0.0965236	0.00385025	0.0239019	0.0280292	0.0267048	0.0210251
á	0.494282	0.172521	0.136083	0.00657169	0.0475703	0.0507345	0.020613	0.0716248
n	0.222528	0.116934	0.368412	0.234459	0.0231863	0.0124021	0.00563445	0.0164437
d	0.348374	0.53651	0.00843559	0.0459441	0.00746426	0.00147003	0.0428302	0.00897122
é	0.211565	0.358172	0.0112291	0.254874	0.0300731	0.00284971	0.103179	0.0280586
n	0.105709	0.194757	0.0666155	0.160671	0.210645	0.0346243	0.119773	0.107205
ω	0.0429304	0.0686745	0.097633	0.433881	0.122676	0.0148545	0.0239563	0.195394
o	0.120279	0.0963404	0.150405	0.381002	0.137829	0.0547479	0.0259072	0.0334897
b	0.0165005	0.0232235	0.192241	0.418876	0.256327	0.0226256	0.0188195	0.0513867
h	0.00107268	0.00251464	0.195136	0.0442885	0.467274	0.115434	0.0165063	0.157774
i	0.000653802	0.000932103	0.153308	0.0134402	0.516075	0.122953	0.00932414	0.183313
m	0.0104725	0.00518641	0.0991476	0.0210102	0.343913	0.168065	0.0228774	0.329328
b	0.00415904	0.00294423	0.00511552	0.00280293	0.0234805	0.222838	0.618373	0.120287
v	0.00134678	0.0012452	0.00380355	0.000496002	0.0417957	0.777098	0.0869213	0.0872939
á	0.000598108	0.00150888	0.00323136	0.00108375	0.149054	0.562263	0.0537227	0.228539
a	0.0143832	0.00211432	0.00791618	0.00715632	0.0860363	0.326726	0.187394	0.368274
n	0.0033547	0.00211527	0.0107222	0.00207213	0.121787	0.190514	0.407477	0.261957
g	0.0150228	0.0106885	0.001033	0.00260242	0.0765818	0.0703449	0.614756	0.20897
á	0.01173	0.0422502	0.00103242	0.0138892	0.0771711	0.0225077	0.697053	0.134367
o	0.00220465	0.000719019	0.00345874	0.000774189	0.0680232	0.0967291	0.489854	0.338237
b	0.000624359	0.00147505	0.0222528	0.010184	0.223381	0.0517885	0.320116	0.370178
v	0.000383337	0.00366066	0.0503573	0.0007966	0.392928	0.301317	0.110371	0.140186
ú	0.00171945	0.00142019	0.0129621	0.000541032	0.160945	0.455422	0.228476	0.138515
r	0.00316625	0.00054403	0.00210895	0.000493596	0.156723	0.101971	0.0871011	0.647893
á	0.00555449	0.00151919	0.000867991	0.000647994	0.220135	0.101927	0.274062	0.395287
o	0.0153865	0.0021465	0.00645739	0.00529405	0.0390536	0.0704482	0.5734	0.287814
y	0.000558137	0.00235666	0.0298547	0.0290261	0.258591	0.0414628	0.213035	0.425115
a	0.00255671	0.00358463	0.00712865	0.189905	0.205234	0.015312	0.164394	0.411884
a	0.000964381	0.000383326	0.00162876	0.00742209	0.0784669	0.00964762	0.124467	0.77702
k	0.00415819	0.000599065	0.00976354	0.00411206	0.0884984	0.0308013	0.124196	0.737871
a	0.00570012	0.00438739	0.0211145	0.00227985	0.1545	0.0618708	0.0459613	0.704186
á	0.000987329	0.000724221	0.0022342	0.00113032	0.0273885	0.0115647	0.0418625	0.914108
</S>	0.0127506	0.00825501	0.0247772	0.0262391	0.0551006	0.0201778	0.226429	0.626271
