 	la	patate	douce	est	sucrée	</S>
o	0.7139	0.23862	0.0355081	0.0101805	0.000608969	0.00118236
y	0.0975376	0.860599	0.0344123	0.0031712	0.00144121	0.00283884
ε	0.152308	0.781452	0.053686	0.00130739	0.00546013	0.00578641
έ	0.108637	0.651935	0.0382791	0.0126734	0.00466268	0.183813
o	0.209151	0.205044	0.250239	0.106013	0.0114767	0.218077
d	0.322806	0.181041	0.339106	0.10835	0.0206047	0.0280924
í	0.0927787	0.0630996	0.217431	0.100081	0.00816444	0.518445
l	0.0396536	0.00885967	0.11326	0.152677	0.0643738	0.621175
a	0.0136884	0.0164967	0.13153	0.216777	0.107705	0.513803
y	0.0206925	0.0162995	0.215136	0.115508	0.360439	0.271924
έ	0.0265376	0.018654	0.230068	0.148638	0.348635	0.227467
y	0.00395422	0.00619461	0.201735	0.132739	0.401376	0.254001
e	0.00443475	0.00909356	0.24085	0.156212	0.507862	0.081548
έ	0.00246355	0.00279312	0.0463467	0.123202	0.196577	0.628617
</S>	0.0203405	0.017863	0.117454	0.240742	0.308574	0.295026
