 	la	viande	que	j'	ai	achetée	est	déjà	pourrie	</S>
n	0.534019	0.193846	0.19403	0.0397367	0.00974764	0.00299198	0.0202269	0.00400121	0.000864977	0.000535753
y	0.0230717	0.880614	0.00178399	0.0816029	0.011439	0.0011257	0.000280318	6.83523e-05	1.10128e-05	3.4738e-06
a	0.00403527	0.940861	0.00380811	0.0397195	0.0078896	0.00251633	0.000919418	0.000151289	3.75552e-05	6.23349e-05
m	0.060133	0.6164	0.0500269	0.114495	0.0349397	0.0516165	0.00887897	0.0382292	0.00486658	0.0204147
a	0.375514	0.573963	0.0317464	0.00170716	0.00178833	0.00228918	0.00311001	0.000788981	7.88661e-05	0.00901348
y	0.210205	0.0116789	0.434318	0.0797416	0.0786149	0.0733724	0.0391432	0.0168448	0.00165719	0.0544241
e	0.248195	0.400665	0.164063	0.0492022	0.0403346	0.0438383	0.018521	0.0189233	0.00019188	0.0160655
e	0.235342	0.0239298	0.475845	0.0966876	0.0530791	0.0390507	0.020335	0.0113982	0.000190373	0.0441419
s	0.0283709	0.00529723	0.24809	0.0222152	0.0963614	0.341606	0.109001	0.0479163	0.00980896	0.0913336
ó	0.0040472	0.000963683	0.021932	0.00266027	0.0264713	0.872757	0.030799	0.0219178	2.90939e-05	0.0184228
m	0.023331	0.00226443	0.0936316	0.00599524	0.0291053	0.629805	0.0694647	0.0775297	0.000508007	0.068365
b	0.0932314	0.0326976	0.0888168	0.0312231	0.0505675	0.63152	0.0494018	0.0100859	3.74723e-05	0.0124181
í	0.260787	0.0117865	0.352379	0.0785445	0.0766704	0.105567	0.0424793	0.00727525	0.00251605	0.0619947
n	0.00646075	0.00172076	0.151623	0.39032	0.244224	0.0730019	0.0939331	0.0238947	0.00209827	0.0127244
g	0.00491931	0.0113889	0.0226249	0.666127	0.262994	0.0177537	0.00537186	0.00260594	0.000283688	0.0059308
á	0.00101318	0.0659532	0.0259459	0.563324	0.232684	0.0872965	0.0105634	0.00897561	0.0010251	0.0032192
á	0.00624611	0.000505867	0.132771	0.0778833	0.181713	0.101443	0.386901	0.0736709	0.0111488	0.0277165
m	0.000932535	0.000417329	0.00836576	0.0129287	0.0677152	0.204148	0.393769	0.290253	0.0083906	0.0130789
i	0.00252308	0.000272337	0.00509646	0.00434679	0.031906	0.141935	0.387334	0.339701	0.0123154	0.0745697
s	0.000735062	5.81801e-05	0.000702641	0.000819616	0.010859	0.239725	0.24506	0.327813	0.0427118	0.131515
á	0.000103639	4.84011e-05	0.000210013	0.000757261	0.00854526	0.376477	0.0659691	0.499677	0.00173569	0.0464771
á	0.00203665	9.3117e-05	0.002599	0.00930868	0.0250389	0.066667	0.194299	0.157038	0.00536354	0.537556
o	0.00360213	0.000840669	0.0119265	0.0406844	0.088635	0.0486703	0.298523	0.22406	0.19357	0.0894894
b	0.000457906	0.000268107	0.000484976	0.000909454	0.00661148	0.0681352	0.0747086	0.640122	0.145597	0.0627057
ω	0.000211839	1.52076e-05	0.000897509	0.000226966	0.00189953	0.00204769	0.022456	0.0591831	0.899135	0.0139273
ω	5.82712e-05	1.45609e-05	0.00129627	0.000585231	0.000849267	0.00380693	0.0400242	0.0578366	0.612868	0.28266
</S>	0.0202797	0.000936417	0.0125845	0.0369137	0.0516181	0.00596668	0.175735	0.211269	0.08152	0.403177
