 	ce	homme	s'	est	décapé	la	peau	</S>
i	0.559285	0.381257	0.0527177	0.00489254	8.66545e-05	0.00157684	0.000138673	4.56169e-05
b	0.0449468	0.943344	0.0077005	0.00183906	0.00128984	0.000379213	0.000442432	5.80231e-05
a	0.00274153	0.995645	0.000827812	0.000248734	0.000252517	6.37028e-06	0.000265303	1.29107e-05
a	0.0176774	0.9694	0.00380448	0.00129671	0.000659225	0.000203773	0.00222237	0.00473603
d	0.534832	0.177344	0.110562	0.0322051	0.00964924	0.00933205	0.00252811	0.123547
í	0.0842448	0.0201395	0.159778	0.0466802	0.000842275	0.0354983	0.000864215	0.651953
n	0.108029	0.0457297	0.544312	0.0993154	0.0056858	0.0253715	0.00403488	0.167522
d	0.404158	0.00629248	0.226113	0.0774059	0.00327189	0.0553572	0.00149918	0.225902
z	0.177236	0.00507534	0.475777	0.228143	0.00442292	0.0222067	0.00188174	0.0852568
ó	0.384522	0.0235219	0.214195	0.205366	0.0153222	0.0198943	0.0137154	0.123464
r	0.484055	0.0157405	0.133005	0.0690448	0.0121269	0.0576841	0.0181879	0.210156
o	0.604117	0.0548011	0.116429	0.0954268	0.0165037	0.03317	0.00869119	0.0708605
é	0.130938	0.0169457	0.515085	0.217836	0.0129191	0.0892721	0.00332571	0.0136779
m	0.00737508	0.00282291	0.125717	0.311396	0.300787	0.185174	0.0322171	0.0345112
i	0.00586304	0.00205183	0.0272467	0.0958764	0.0912562	0.499068	0.0715073	0.20713
l	0.000384166	0.000806187	0.00296199	0.0364407	0.340855	0.151422	0.42402	0.0431101
a	0.000257445	0.00123711	0.00168592	0.0188572	0.423837	0.110085	0.395246	0.0487942
a	0.000923321	0.000411394	0.00445779	0.02588	0.292672	0.223032	0.353697	0.0989268
l	0.00163422	0.00102906	0.0125574	0.0216179	0.0096883	0.648936	0.150492	0.154046
a	0.00263188	0.00197132	0.00684562	0.0161978	0.0653418	0.18042	0.35408	0.372512
</S>	0.0111586	0.000985651	0.0137569	0.0107243	0.00563287	0.289855	0.21337	0.454518
