 	les	paniers	de	poissons	sont	sur	la	barge	du	bateau	</S>
i	0.417527	0.445877	0.109985	0.00479555	0.00122856	0.00340895	0.0105829	0.00370572	0.00279842	7.61874e-05	1.47076e-05
t	0.099592	0.846453	0.0231038	0.0128408	0.00410234	0.00560752	0.00220074	0.0011952	0.000799806	0.000937726	0.00316705
ε	0.0224654	0.864134	0.0268928	0.0204883	0.00810731	0.00866628	0.0209721	0.023699	0.00129304	0.000970269	0.00231129
r	0.0291719	0.929296	0.0133643	0.00132017	0.00292621	0.00480228	0.00795063	0.00185089	0.000926642	0.000113017	0.00827833
ε	0.0816258	0.903626	0.0058696	0.000480899	0.000649103	0.00202149	0.00355049	0.000606808	0.000970093	2.00542e-05	0.000580031
m	0.23086	0.252884	0.399199	0.0399232	0.0271941	0.0171524	0.00955339	0.00357423	0.0111677	0.000179261	0.00831299
á	0.30039	0.130889	0.245536	0.061638	0.0596208	0.0501322	0.0581478	0.00677884	0.0735381	0.00300287	0.0103263
s	0.290969	0.0270198	0.167244	0.396287	0.0482929	0.0181148	0.023499	0.00635031	0.0076325	0.00738266	0.00720695
w	0.0225469	0.00840296	0.0710221	0.793265	0.0594468	0.0164133	0.0110562	0.000754376	0.00520492	0.00682945	0.0050584
é	0.0236607	0.00968712	0.10681	0.50388	0.163455	0.0547839	0.0295907	0.00254415	0.0119008	0.0507085	0.0429794
í	0.0202973	0.026839	0.30745	0.278523	0.125349	0.0728469	0.0673817	0.0167473	0.0182403	0.0030978	0.0632274
d	0.00660339	0.0011831	0.188534	0.164829	0.28879	0.261454	0.0432211	0.00997606	0.0130993	0.00120912	0.0211006
í	0.00239288	0.000329915	0.0352771	0.288325	0.344789	0.211561	0.023804	0.00175325	0.0154139	0.00786696	0.0684864
s	0.00466248	0.000581835	0.0900121	0.0760648	0.0928173	0.200177	0.143726	0.120732	0.0938412	0.0515049	0.125881
a	0.0026173	0.000429134	0.00914436	0.309395	0.104722	0.138427	0.0731063	0.00759519	0.0232798	0.297846	0.0334389
a	0.00845944	0.00221749	0.0460831	0.059654	0.0272113	0.0692581	0.243526	0.0345162	0.126225	0.318947	0.063902
m	0.0042217	0.00318651	0.0227838	0.0169847	0.0475806	0.137652	0.163588	0.152107	0.233534	0.148996	0.0693642
é	0.00690035	0.00536981	0.0129885	0.0394538	0.0173101	0.0263563	0.0655951	0.0193924	0.24647	0.284177	0.275986
b	0.00980765	0.00682927	0.0144424	0.00472207	0.0170605	0.0608496	0.123674	0.191191	0.161936	0.33567	0.0738173
ε	0.00410662	0.00748037	0.00748864	0.00525242	0.00981034	0.0328036	0.0947787	0.46563	0.0526188	0.209423	0.110607
i	0.000294122	0.00153977	0.00110669	0.000627474	0.00293665	0.0227125	0.0792135	0.37304	0.049273	0.0946121	0.374644
y	0.00242755	0.00228263	0.00889737	0.000861616	0.00535165	0.0341431	0.0582002	0.0419792	0.500951	0.037591	0.307315
á	0.0395412	0.0361067	0.0391287	0.0185472	0.0226769	0.0664913	0.0664135	0.00818891	0.293693	0.130016	0.279197
s	0.00341463	0.00131955	0.00383826	0.00213305	0.00170643	0.006729	0.00731402	0.00354385	0.041553	0.874977	0.0534708
ú	0.00140405	0.000570351	0.00156539	0.00549399	0.00198824	0.00611797	0.00147937	0.000330543	0.0169177	0.926114	0.0380181
a	8.43454e-05	3.7347e-05	5.98025e-05	0.000570791	0.000196104	0.00073286	0.000641529	2.94539e-05	0.0037809	0.965087	0.0287794
</S>	0.0003962	0.000232017	0.00217721	0.000465171	0.00128723	0.00893224	0.0079335	0.00294795	0.087907	0.0942561	0.793465
