 	nous	avons	beaucoup	dansé	lorsque	nous	étions	partis	à	la	fête	</S>
b	0.147387	0.580594	0.129373	0.0682136	0.0476679	0.0144798	0.00211342	0.00167891	0.00274484	0.0022042	0.00238182	0.00116057
í	0.44173	0.311358	0.0616492	0.0149852	0.0245651	0.0906195	0.0173793	0.00729982	0.0137482	0.00890256	0.00605198	0.00171095
s	0.829378	0.127917	0.0109531	0.0117613	0.000446527	0.0150131	0.00154778	0.000355866	0.000746427	0.000344902	0.000240491	0.00129608
í	0.278924	0.422904	0.0871583	0.015907	0.0174053	0.119539	0.0132242	0.0103095	0.0139965	0.00340014	0.00338407	0.0138484
l	0.0250339	0.31664	0.157829	0.0959858	0.0211768	0.0152895	0.0225032	0.0292689	0.0258623	0.0397519	0.0212415	0.229417
é	0.0154684	0.1012	0.130373	0.0602471	0.153961	0.112714	0.027696	0.1341	0.0765164	0.0553801	0.011137	0.121207
b	0.00223565	0.140202	0.151717	0.654012	0.011388	0.00778526	0.0102494	0.00969357	0.00367635	0.00283035	0.00103796	0.00517336
í	0.00256714	0.150004	0.147188	0.603611	0.0376822	0.0185619	0.0148719	0.00905021	0.00581201	0.00471641	0.000800335	0.00513485
n	0.0390434	0.18076	0.0918273	0.457759	0.00969419	0.0232677	0.010532	0.00956522	0.0167388	0.0222659	0.0262097	0.112337
i	0.0583918	0.174113	0.25338	0.311263	0.0415673	0.0647563	0.00633223	0.0149697	0.0229056	0.0143752	0.00674328	0.0312024
o	0.0541232	0.0604655	0.283707	0.118336	0.180196	0.189577	0.0203184	0.024917	0.0138809	0.014951	0.00491754	0.0346109
y	0.000283386	0.00818425	0.0475603	0.181575	0.224536	0.365631	0.0967013	0.0491962	0.0128699	0.00691632	0.00311074	0.00343522
í	0.00113764	0.0132616	0.159766	0.301907	0.169039	0.0856178	0.0913956	0.0659223	0.0150262	0.0166035	0.0176414	0.0626814
í	0.00230455	0.0132114	0.0789593	0.14234	0.134295	0.161886	0.0875919	0.0924549	0.0224127	0.0224072	0.0247273	0.21741
é	0.00028097	0.00489385	0.0514421	0.0178999	0.203507	0.332954	0.109076	0.206571	0.0375871	0.0143546	0.00275605	0.0186763
d	0.000408391	0.00462262	0.0135068	0.0172446	0.0621022	0.232055	0.178264	0.326813	0.108714	0.0413442	0.008203	0.00672231
z	8.93546e-05	0.00271189	0.00951704	0.0142533	0.0455886	0.11756	0.304181	0.242827	0.0679937	0.0690486	0.0255729	0.100657
w	0.000307697	0.000209303	0.00219858	0.000820506	0.0209509	0.00300715	0.724982	0.201313	0.0257114	0.0104113	0.00150326	0.00858496
e	0.000288999	0.00133875	0.0139792	0.00808459	0.0929123	0.129048	0.165825	0.312824	0.129284	0.0680408	0.0251379	0.0532357
b	2.43885e-05	0.00113212	0.00744605	0.00398425	0.0280229	0.177894	0.043328	0.239154	0.272793	0.14691	0.042399	0.0369127
í	0.0194196	0.0196241	0.0186189	0.00784265	0.022248	0.186517	0.0649238	0.0849651	0.15397	0.158532	0.126154	0.137185
s	0.0640505	0.00899567	0.00697188	0.0014908	0.0103664	0.455439	0.00364082	0.0289571	0.12633	0.064677	0.145811	0.0832695
í	0.00173314	0.00318417	0.0053635	0.00424852	0.0117796	0.0561283	0.0177297	0.126542	0.230377	0.180975	0.176759	0.185181
e	0.00030316	0.000592044	0.00272161	0.00167951	0.0124257	0.0216045	0.0202474	0.0966155	0.197439	0.25594	0.323232	0.0671999
n	1.01736e-05	0.000756613	0.00237353	0.00275491	0.00701562	0.00504161	0.0455277	0.0779603	0.214418	0.346637	0.239572	0.0579322
y	0.000137222	0.000694523	0.00185151	0.00217026	0.0078366	0.00708252	0.01129	0.0630075	0.137933	0.11475	0.535262	0.117985
έ	0.000481196	0.000367916	0.000670541	0.00100356	0.00118923	0.00201043	0.000522633	0.00802455	0.0314001	0.0573773	0.848631	0.0483213
í	0.000266301	0.000180564	0.000185386	0.00118781	0.000983702	0.00701038	0.000826011	0.00503609	0.0162002	0.0214073	0.918203	0.0285134
</S>	3.24741e-05	2.84789e-05	0.000164143	1.38789e-05	0.00244824	0.00180106	0.00105223	0.012909	0.122434	0.295581	0.234423	0.329112
