 	la	mangue	est	un	fruit	délicieux	</S>
m	0.81272	0.178448	0.00647129	0.000673151	0.00138768	0.000234442	6.46563e-05
b	0.0222604	0.957612	0.0123008	0.00315129	0.00109488	0.000203582	0.00337681
á	0.010955	0.986683	0.00124813	0.00046666	6.98794e-05	0.000524691	5.21709e-05
n	0.0494824	0.947719	0.00102015	0.000445902	5.49423e-05	0.000441253	0.000835967
g	0.150471	0.594924	0.123205	0.0462384	0.00595548	0.00638391	0.072823
é	0.402541	0.328797	0.163919	0.0541643	0.00476144	0.00788595	0.0379307
a	0.0584896	0.00390746	0.748995	0.0952501	0.0318284	0.00400294	0.0575268
d	0.00913741	0.0011087	0.459279	0.42634	0.0803655	0.00834262	0.0154276
í	0.0106163	0.00239562	0.422585	0.337721	0.0507728	0.00763814	0.168271
e	0.0232687	0.000420875	0.0913549	0.231847	0.421332	0.0478557	0.183921
b	0.00767771	0.010189	0.0204507	0.313352	0.280616	0.312319	0.0553959
v	0.00646377	0.0134331	0.0513069	0.352226	0.210185	0.31663	0.0497556
u	0.0046742	0.00518643	0.0415819	0.264384	0.495415	0.178186	0.0105728
m	0.0148036	0.000871663	0.028064	0.158112	0.309109	0.256961	0.232079
á	0.0690741	0.0046386	0.0279641	0.0637005	0.267489	0.330646	0.236488
y	0.00839109	0.000262485	0.0208092	0.0654983	0.361466	0.326571	0.217002
é	0.0101288	0.000274146	0.0231791	0.107232	0.286745	0.402709	0.169733
b	0.00323671	0.000118241	0.0102088	0.040203	0.201865	0.467733	0.276635
v	0.00405353	0.00164713	0.01896	0.0646436	0.236429	0.621564	0.0527024
έ	0.00740292	0.00155223	0.00365793	0.029718	0.119682	0.791956	0.046031
</S>	0.00135873	0.000318457	0.00324521	0.0210282	0.0923612	0.304535	0.577153
