 	cette	femme	a	tué	un	serpent	noir	avec	la	houe	</S>
o	0.963193	0.0317609	0.000996267	0.000548019	0.00139603	0.000745579	0.000317511	0.000472748	0.000520426	2.67814e-05	2.24609e-05
y	0.210636	0.70754	0.0200286	0.0539494	0.00235907	0.00180679	0.000991345	0.000567008	0.00034961	0.000819163	0.00095291
ú	0.937296	0.0567754	0.000892916	0.00119533	0.000535526	0.000397929	0.000211686	0.000171851	0.000167795	0.00207435	0.000281449
r	0.953982	0.0179853	0.00192453	0.000983274	0.00126785	0.000992242	0.00188708	0.00101951	0.00166125	0.00738716	0.0109101
u	0.843204	0.0254158	0.072685	0.00811742	0.00833641	0.0068109	0.0045164	0.00429105	0.00382083	0.00579372	0.0170088
w	0.0493877	0.0225884	0.861653	0.00306605	0.0109643	0.0118346	0.00468273	0.0126159	0.00682514	0.00278436	0.0135976
ó	0.296231	0.00387305	0.405075	0.0553427	0.0736616	0.0661056	0.0188318	0.033879	0.0197461	0.00859745	0.0186569
á	0.0142778	0.000654181	0.802679	0.0462311	0.057823	0.0420078	0.00551266	0.0134796	0.00484831	0.00135412	0.0111328
b	0.0032604	0.000871984	0.117073	0.478077	0.13064	0.0988063	0.0779571	0.0166131	0.0126585	0.0159214	0.0481204
o	0.00241285	3.5344e-05	0.0162541	0.856186	0.0448653	0.0242664	0.0337037	0.00879552	0.00566074	0.000850338	0.00696994
m	0.0123392	2.51748e-05	0.0248808	0.732624	0.0710864	0.0300902	0.111791	0.00862413	0.00404144	0.000443237	0.00405421
i	0.0987074	0.000104328	0.0213834	0.153033	0.252663	0.257959	0.0862795	0.0719616	0.0347553	0.0123168	0.0108359
e	0.0166979	0.00050367	0.143589	0.0229728	0.315902	0.303699	0.0886832	0.0708005	0.0194594	0.00314457	0.0145476
l	0.00107023	0.000306476	0.00284024	0.0348654	0.138492	0.230786	0.452439	0.073396	0.0250906	0.0187314	0.021984
ω	0.00295968	3.91103e-05	0.00107055	0.00765814	0.18086	0.250365	0.270018	0.10771	0.046364	0.0879016	0.0450537
l	0.00156784	7.51482e-05	0.0023832	0.0113345	0.152158	0.14116	0.554601	0.0697523	0.0130262	0.0281945	0.0257466
ώ	0.000642487	2.75757e-06	0.000706713	0.00197107	0.0487176	0.0701464	0.642644	0.114534	0.0301142	0.0430771	0.0474433
m	0.000631404	7.33186e-06	0.000708816	0.000608014	0.0472141	0.0651936	0.268163	0.373117	0.135089	0.0778982	0.0313692
é	0.00282082	2.46061e-05	0.000541545	0.000754924	0.0191828	0.0476987	0.105519	0.350631	0.176047	0.131655	0.165124
s	0.00101214	2.65651e-05	0.00123233	0.000600115	0.00890216	0.0124477	0.131745	0.225295	0.165722	0.385545	0.0674717
έ	0.000110848	3.40558e-06	2.16152e-05	0.000187654	0.000777035	0.00146566	0.00833974	0.0180916	0.0290456	0.899974	0.041983
έ	0.00106614	2.15021e-05	0.00021077	0.000162225	0.00241527	0.00398219	0.0116696	0.0516437	0.0536862	0.666102	0.209041
</S>	0.000211713	9.32116e-07	0.00121	0.000427423	0.00345441	0.00409713	0.0112163	0.0741585	0.189844	0.472542	0.242837
