 	les	gens	se	moquent	de	sa	petite	taille	</S>
o	0.646542	0.282231	0.0264772	0.0102072	0.0170597	0.00948288	0.00764407	0.000276109	8.03256e-05
k	0.336917	0.32752	0.0911187	0.10001	0.017591	0.0228583	0.0216816	0.0346927	0.0476104
ú	0.0343027	0.319579	0.0489406	0.207949	0.0585609	0.0923959	0.0176458	0.139574	0.0810521
l	0.0369537	0.0752854	0.0455878	0.184577	0.0445462	0.0922116	0.0575529	0.209637	0.253648
ú	0.404735	0.0788218	0.115667	0.153462	0.075501	0.0935634	0.0273781	0.0123731	0.0384987
m	0.362397	0.19889	0.230824	0.05114	0.051659	0.03183	0.024319	0.00520331	0.0437377
í	0.205679	0.0312989	0.268128	0.168617	0.161137	0.0912528	0.0439666	0.00328783	0.0266325
b	0.346767	0.0667771	0.3163	0.106929	0.0435684	0.0370715	0.0227685	0.00689008	0.0529293
a	0.103458	0.120497	0.175395	0.300575	0.110787	0.0853306	0.035081	0.0200745	0.0488011
a	0.10837	0.129735	0.271276	0.217831	0.0902998	0.0724735	0.025349	0.00988771	0.0747789
d	0.00968158	0.00438951	0.289336	0.106635	0.204004	0.131023	0.119746	0.0171085	0.118078
í	0.00302352	0.000653095	0.111661	0.262907	0.0772584	0.0890941	0.051442	0.0224811	0.381481
m	0.00886262	0.00307693	0.171104	0.0471372	0.225154	0.206777	0.179813	0.0321234	0.125952
ó	0.0045593	0.00336776	0.045805	0.492334	0.200491	0.148881	0.0382834	0.0181755	0.0481032
o	0.00745395	0.00424715	0.285795	0.115382	0.24212	0.16256	0.0779785	0.0742925	0.0301699
d	0.00138789	0.00138845	0.0204237	0.0497018	0.0774947	0.0885876	0.127214	0.522252	0.111551
z	0.000634842	0.000340857	0.00926884	0.0191924	0.0196165	0.0370828	0.0724357	0.527952	0.313476
ε	0.00113888	0.000679931	0.0233589	0.3632	0.0439603	0.0512484	0.0527134	0.357094	0.106606
s	0.00117592	0.000230615	0.0238406	0.028075	0.04724	0.0847187	0.174624	0.240921	0.399174
έ	0.000978179	0.000393648	0.025496	0.0719812	0.091103	0.211381	0.192003	0.189337	0.217328
έ	0.000535138	0.000209559	0.00701187	0.00510222	0.0340616	0.0814594	0.210268	0.15513	0.506222
b	0.00399803	0.00239669	0.0227974	0.020679	0.0462728	0.110157	0.38167	0.307097	0.104933
a	0.047743	0.0922037	0.0772138	0.0655765	0.132532	0.179679	0.152546	0.189937	0.0625683
r	0.00636682	0.0205656	0.0121973	0.01852	0.0541452	0.120425	0.0603906	0.0970627	0.610326
e	0.00517314	0.00141493	0.0193445	0.0690952	0.0377332	0.171637	0.184902	0.171173	0.339527
</S>	0.0018899	0.000923944	0.0160085	0.00613188	0.0616932	0.11712	0.272091	0.13835	0.385792
