 	l'	arachide	s'	est	gâtée	</S>
n	0.747858	0.23732	0.011951	0.00160136	0.000322739	0.000947511
z	0.40683	0.591314	0.000825635	0.000154393	0.000150419	0.000725866
o	0.040341	0.941843	0.00725636	0.0014337	0.00406122	0.00506435
ó	0.0230579	0.938956	0.00674366	0.000461029	0.0276993	0.00308246
é	0.029806	0.0266896	0.815884	0.080338	0.00884145	0.0384412
m	0.144617	0.028979	0.384136	0.289734	0.0856085	0.0669251
i	0.0231485	0.00233079	0.192313	0.561975	0.148976	0.0712567
b	0.00348268	0.00490554	0.0503765	0.230939	0.68272	0.0275768
v	0.0038088	0.000683909	0.0459541	0.143216	0.767788	0.0385484
á	0.00412471	0.00175553	0.129923	0.207289	0.638159	0.0187495
i	0.00782251	0.00170398	0.184412	0.20709	0.152632	0.44634
s	0.00211851	0.00120822	0.020391	0.0947278	0.44537	0.436185
u	0.00148917	0.000602813	0.00700063	0.0172718	0.856852	0.116784
l	0.00332506	0.000580041	0.00733663	0.0238978	0.168815	0.796046
ú	0.00375116	0.00068518	0.0187571	0.0787046	0.235106	0.662996
u	0.00489382	0.000213418	0.00876783	0.0579891	0.10783	0.820305
</S>	0.00823367	0.00357566	0.0162692	0.0535371	0.0799066	0.838478
