 	son	ami	lui	a	donné	un	vêtement	</S>
n	0.905587	0.0767952	0.0133037	0.00198994	0.000888264	0.000821436	0.000477897	0.000136545
d	0.43258	0.550714	0.0143029	0.000886328	0.000688098	0.000644877	0.000120253	6.33932e-05
ú	0.475315	0.483692	0.020342	0.00594852	0.00687071	0.00292196	0.00365508	0.00125435
ú	0.197004	0.577128	0.043375	0.0163612	0.0640119	0.0168425	0.0792469	0.00603045
y	0.459232	0.0170015	0.319629	0.134214	0.0244774	0.00515548	0.000804956	0.0394854
a	0.55808	0.0498727	0.216425	0.0878112	0.0426328	0.0226766	0.00135697	0.0211451
w	0.729374	0.00634625	0.169527	0.0635106	0.0192701	0.00779161	0.000742766	0.00343777
a	0.145351	0.00336203	0.164759	0.351054	0.205178	0.0704721	0.0020735	0.0577507
á	0.0196106	0.000547996	0.393926	0.367852	0.156951	0.0469991	0.000742759	0.0133701
m	0.00055028	0.000692802	0.0129069	0.255513	0.524859	0.157953	0.0266654	0.0208593
i	0.00168532	0.000385902	0.01628	0.0931964	0.18135	0.646396	0.0112963	0.0494098
p	0.000460711	0.000764601	0.00111701	0.0143117	0.529356	0.13369	0.307555	0.0127451
έ	4.66651e-05	0.000142612	0.000427601	0.00749926	0.333592	0.0505389	0.595368	0.0123847
w	0.0048367	0.000818217	0.0363705	0.0805509	0.544718	0.24963	0.0673365	0.0157394
a	0.0250399	6.42508e-05	0.14772	0.245169	0.258937	0.205426	0.0388981	0.0787459
ω	0.00279927	7.69977e-05	0.100997	0.0922172	0.110802	0.415024	0.092498	0.185586
k	0.000338547	0.000284954	0.000374806	0.000680469	0.0197317	0.0288872	0.92503	0.024672
á	1.75711e-05	7.38774e-05	3.49919e-05	7.99536e-05	0.00303779	0.00416833	0.97903	0.0135577
n	8.07151e-05	5.73844e-05	0.000376664	0.00175736	0.0429545	0.0148726	0.923913	0.0159875
d	0.000272285	8.61236e-05	0.00175673	0.00432118	0.105372	0.0433613	0.723976	0.120855
á	0.00311861	0.00050232	0.007434	0.00370441	0.0548734	0.0114399	0.766317	0.15261
</S>	0.0050891	0.000109662	0.0111002	0.00842845	0.036189	0.0955074	0.0852769	0.758299
