 	la	rivière	alima	est	profonde	</S>
n	0.386863	0.586078	0.0227248	0.00371944	0.000228091	0.000386807
z	0.820434	0.163723	0.0100274	0.000536313	0.00447832	0.000801556
á	0.124362	0.848322	0.0115138	0.0025458	0.00878936	0.00446773
l	0.250052	0.618969	0.0188672	0.00377825	0.019616	0.0887184
é	0.216269	0.367324	0.116613	0.0266228	0.00605398	0.267117
y	0.214204	0.114302	0.512118	0.0681753	0.00642574	0.0847749
á	0.149961	0.204557	0.576753	0.0258737	0.00501408	0.0378416
l	0.164348	0.123716	0.603652	0.0644997	0.0182217	0.0255628
i	0.298015	0.111306	0.405157	0.0410823	0.0337547	0.110684
m	0.0928043	0.132011	0.521557	0.136166	0.0380298	0.0794327
á	0.149008	0.0293615	0.579611	0.154348	0.00210721	0.0855642
é	0.0638762	0.0398839	0.317394	0.416247	0.0868439	0.0757548
d	0.013663	0.00659455	0.122585	0.735556	0.0768951	0.0447065
í	0.00276611	0.000713655	0.0456116	0.679507	0.132808	0.138593
l	0.00354719	0.000481682	0.0398698	0.485417	0.165503	0.305182
o	0.00276125	0.00324949	0.0460419	0.241642	0.28216	0.424146
l	0.00386076	0.00184949	0.00831637	0.0190763	0.897893	0.0690043
i	0.00652516	0.0012285	0.00141445	0.0115593	0.964159	0.0151132
n	0.000927594	0.0010584	0.0010903	0.0240023	0.921925	0.0509965
d	0.000872065	0.00198891	0.0014112	0.0300922	0.726619	0.239016
í	0.00316054	0.00705435	0.00173238	0.00709655	0.756603	0.224354
</S>	0.00689671	0.00540824	0.00804909	0.0490367	0.28537	0.645239
