 	ce	palmier	produit	de	meilleures	noix	</S>
i	0.284902	0.685309	0.0170416	0.00806249	0.00369064	0.000942314	5.1557e-05
b	0.285276	0.437082	0.221458	0.0359751	0.0138828	0.00402417	0.00230235
í	0.0494413	0.806999	0.0681447	0.0322748	0.0288629	0.0130367	0.0012403
a	0.0794813	0.708861	0.0819338	0.0359523	0.0286479	0.0301805	0.0349436
d	0.565601	0.179446	0.170406	0.0275628	0.0034794	0.000488538	0.0530156
í	0.0514186	0.0109265	0.195519	0.0693591	0.0110638	0.00567547	0.656038
l	0.0776951	0.0693519	0.322687	0.162088	0.0250744	0.00627775	0.336826
í	0.0314426	0.0052796	0.113314	0.133688	0.0142548	0.0058999	0.696122
i	0.0879192	0.0433787	0.162057	0.302112	0.127362	0.105615	0.171556
b	0.00261452	0.00484035	0.129561	0.54381	0.267649	0.00842806	0.0430967
ó	0.00382579	0.00715117	0.0803828	0.363808	0.482852	0.0180428	0.0439378
r	0.00195054	0.00247596	0.108271	0.411126	0.374015	0.01459	0.0875721
á	0.0265994	0.00203766	0.11833	0.373614	0.32176	0.00905785	0.1486
i	0.0100191	0.00295906	0.0231229	0.121245	0.433846	0.336592	0.0722159
s	0.00236691	0.00438446	0.0143096	0.0958854	0.608767	0.151172	0.123115
w	0.0026398	0.000187261	0.00699472	0.0331939	0.390259	0.424599	0.142126
έ	0.000865546	5.21969e-05	0.0028966	0.0226043	0.561018	0.264448	0.148115
m	0.000296818	0.000141366	0.00387552	0.0296531	0.41838	0.25765	0.290003
b	0.00347947	0.00199397	0.000931783	0.0104678	0.463386	0.473598	0.0461424
e	0.00496288	0.000925377	0.00362903	0.0281672	0.583708	0.271385	0.107223
</S>	0.00929671	0.00171166	0.0093868	0.0261088	0.160411	0.143873	0.649212
