 	celui	qui	a	avalé	ma	poule	c'	est	pas	le	crocodile	c'	est	le	python	</S>
o	0.379884	0.169432	0.263165	0.014322	0.036949	0.0222414	0.03583	0.0132119	0.0171362	0.0301218	0.000820167	0.00724694	0.00276129	0.00606373	0.000427169	0.000388615
m	0.0156724	0.00718556	0.0493985	0.427192	0.0153062	0.292785	0.004824	0.0144453	0.0261474	0.0154704	0.0806127	0.0094788	0.0304896	0.00554854	0.00350003	0.00194304
i	0.0299258	0.0292671	0.025148	0.552545	0.12449	0.176999	0.02758	0.0132637	0.00596233	0.00326595	0.00645229	0.000605388	0.00095858	0.000484219	0.0022902	0.000763359
i	0.108682	0.0229909	0.023302	0.542174	0.0362323	0.0593175	0.0480657	0.025365	0.0209657	0.0125561	0.00313206	0.00738206	0.016069	0.00406876	0.00398612	0.0657111
t	0.0163456	0.0162291	0.0415684	0.506234	0.058501	0.124983	0.0158693	0.0210536	0.0228182	0.00966051	0.0114334	0.0102681	0.0157261	0.00122969	0.00867695	0.119404
s	0.0196303	0.0344581	0.0425981	0.0326278	0.0441989	0.6257	0.0882001	0.0300452	0.0183466	0.010486	0.00220102	0.0179479	0.00912411	0.000578426	0.00108627	0.0227711
ó	0.00317825	0.015063	0.0213958	0.0159071	0.0221156	0.85043	0.0190783	0.00779942	0.00692458	0.00507805	0.0151448	0.00805439	0.00284081	0.000907473	0.00335536	0.00272703
s	0.0189275	0.0435096	0.0339305	0.0241713	0.0497304	0.721362	0.0478246	0.019154	0.0103108	0.00542466	0.00201078	0.00377953	0.00180567	0.00054466	0.00204968	0.0154643
ó	0.011456	0.0090234	0.00684432	0.0148426	0.0370161	0.759436	0.0361572	0.0186155	0.0151013	0.0123869	0.00676936	0.0152018	0.0130651	0.00264867	0.0013408	0.0400946
y	0.00801266	0.0357108	0.0452673	0.0228384	0.157008	0.14798	0.276498	0.106603	0.0380583	0.0512797	0.0242851	0.0178964	0.0137979	0.0157354	0.0042663	0.0347625
a	0.026679	0.0437021	0.0246595	0.0194683	0.124021	0.192891	0.239042	0.135408	0.0469098	0.0348641	0.0323628	0.0268968	0.0126137	0.0096625	0.00523101	0.0255894
n	0.00594178	0.019877	0.0175647	0.00406395	0.105825	0.0668122	0.549479	0.113961	0.0300866	0.0406721	0.0215072	0.00707384	0.00229728	0.0101031	0.00113639	0.003599
g	0.00430352	0.0114377	0.00493676	0.00147679	0.674528	0.00770955	0.126011	0.0244828	0.0163606	0.0118969	0.0900067	0.00501104	0.00261454	0.00776978	0.00321164	0.00824276
á	0.00103127	0.00557396	0.00876632	0.00272586	0.254246	0.0169307	0.118441	0.0478338	0.0394214	0.0312052	0.402892	0.00908394	0.00663112	0.0227818	0.0185071	0.013929
á	0.00130181	0.00326062	0.00747281	0.00371621	0.054092	0.0100954	0.243586	0.18404	0.147501	0.281146	0.0268285	0.0181295	0.00521206	0.0109653	0.00112992	0.00152213
d	0.00105659	0.00151465	0.00227497	0.00379535	0.00777744	0.00184785	0.015608	0.0922005	0.124293	0.237679	0.408795	0.0602244	0.0228254	0.0111031	0.00110159	0.00790314
z	0.000593255	0.000872883	0.000727267	0.00155909	0.0218386	0.000911093	0.0069244	0.0766498	0.114534	0.148374	0.335757	0.0501444	0.0911123	0.0287197	0.00258907	0.118694
e	0.00168174	0.00235804	0.00245693	0.00228156	0.0384316	0.00948401	0.0200732	0.0744246	0.080042	0.0799998	0.593323	0.0408755	0.0249036	0.0124463	0.00294606	0.0142717
o	0.000513821	0.00609679	0.0082451	0.00208574	0.0363416	0.00789564	0.021209	0.0623136	0.099737	0.278572	0.223718	0.096129	0.0398838	0.0939618	0.00723353	0.0160636
d	0.000473247	0.00100225	0.00120841	0.00286692	0.00822955	0.00284172	0.00240313	0.0150249	0.0365375	0.0785333	0.553352	0.0871694	0.0742432	0.0476283	0.0699375	0.0185487
z	0.000364207	0.000272016	0.000357908	0.000819298	0.00427268	0.00143693	0.000615935	0.00801413	0.0192532	0.0662216	0.68525	0.0339824	0.0871936	0.0331034	0.0137601	0.0450826
á	0.00189597	0.00142253	0.00121653	0.00240035	0.00380812	0.00848209	0.00874032	0.0411306	0.0367731	0.0636254	0.706467	0.0327283	0.0422367	0.0190447	0.0114322	0.0185961
n	0.000599742	0.00110567	0.00102577	0.000591152	0.00842921	0.00240179	0.0170215	0.0701669	0.113708	0.122782	0.0987933	0.149652	0.172218	0.112395	0.0157254	0.113385
g	0.000289855	0.000829827	0.000622596	0.000770463	0.0104243	0.00682231	0.00884987	0.0206662	0.0477499	0.0372695	0.284048	0.165543	0.0779894	0.0739882	0.132832	0.131304
a	0.000151895	0.000785555	0.000529075	0.000219247	0.0073705	0.00328989	0.00390294	0.00525448	0.0141909	0.0166038	0.510972	0.0692251	0.0276237	0.105199	0.170517	0.0641649
n	0.00012557	0.000804246	0.000898964	0.000322197	0.00403159	0.0014246	0.0101162	0.0160543	0.0308566	0.0682137	0.0985497	0.183118	0.124104	0.345133	0.0604098	0.0558377
d	0.00089067	0.00342947	0.00245602	0.00109652	0.00882167	0.0040958	0.00538915	0.00760281	0.0183262	0.0309963	0.223238	0.118912	0.0679834	0.164305	0.154418	0.188039
í	0.000795357	0.00129797	0.000992404	0.000447175	0.00429029	0.00497754	0.00376654	0.00556101	0.0115186	0.013325	0.253232	0.0918785	0.0917839	0.179897	0.0821814	0.254055
k	0.000484079	0.00117417	0.00236827	0.00167433	0.00398758	0.0026575	0.00903465	0.022145	0.0494405	0.0636782	0.0972062	0.146389	0.165999	0.171616	0.0955354	0.16661
a	0.00147625	0.00271671	0.00106299	0.000514874	0.00254429	0.0026915	0.00403712	0.0131367	0.0320829	0.0346455	0.0164018	0.195099	0.235252	0.0298097	0.0272791	0.40125
á	0.000204408	0.000947633	0.000803153	0.000232221	0.00400593	0.00403431	0.00376938	0.0107538	0.0180262	0.0297554	0.0341554	0.176307	0.227434	0.0389215	0.0770258	0.373623
á	0.000390274	0.00122944	0.00187103	0.00114751	0.00260658	0.000652517	0.00665403	0.0114125	0.0115355	0.024455	0.0177478	0.087834	0.140868	0.23289	0.0194854	0.43922
d	0.00224905	0.00388154	0.0039711	0.0044623	0.00961086	0.00273925	0.00384689	0.0209227	0.0158406	0.0244408	0.0830617	0.0740685	0.283837	0.138413	0.0357507	0.292905
z	0.00055103	0.000662555	0.000817811	0.00210995	0.00605247	0.000251394	0.000629869	0.00272883	0.00365543	0.00735593	0.0241918	0.0262943	0.14892	0.0732451	0.0294571	0.673076
e	0.00533246	0.00485712	0.00450365	0.00574638	0.0302274	0.00448012	0.00365221	0.00874548	0.0199806	0.0375795	0.0892641	0.0857502	0.170627	0.177222	0.0723715	0.27966
m	0.000501706	0.00165073	0.00133586	0.000249848	0.00392213	0.000474789	0.00342436	0.00972698	0.0259368	0.0574553	0.0324523	0.0865502	0.146939	0.343473	0.0292652	0.256642
b	0.00129162	0.00246591	0.000455517	0.000459593	0.00375901	0.000752406	0.00225327	0.00479439	0.00771348	0.0142094	0.0134734	0.0227005	0.0677096	0.214403	0.541666	0.101893
ω	7.5599e-05	0.000159321	7.07892e-05	8.9967e-05	0.00158449	0.00051368	0.00195615	0.00386642	0.00766044	0.0103938	0.00683487	0.0278277	0.0872373	0.025177	0.617822	0.20873
m	2.12999e-05	7.97548e-05	5.6155e-05	0.000142722	0.000278417	0.0116213	0.0015027	0.0085483	0.0158857	0.0142483	0.0188583	0.0588778	0.0846392	0.0517181	0.494222	0.2393
ω	0.000177864	0.000214128	3.61364e-05	7.54438e-05	0.000575062	0.00099598	0.00179616	0.00362916	0.0083568	0.0111788	0.00382213	0.0447007	0.167747	0.054198	0.36417	0.338327
</S>	0.000572598	0.00133853	0.00056428	0.000212907	0.00212205	0.000818654	0.00214405	0.0051895	0.00765599	0.0157254	0.00933152	0.057098	0.111782	0.114726	0.0461262	0.624592
