 	il	alla	jusqu'	aux	bornes	du	village	</S>
w	0.952048	0.0420666	0.000787226	0.00156268	0.000841099	0.00214085	0.000419103	0.000134297
a	0.920762	0.0475086	0.000684587	0.00976421	0.0054892	0.0154511	0.00015643	0.000184299
d	0.258704	0.608627	0.0863868	0.0187052	0.00793221	0.0065769	0.00088982	0.0121785
z	0.12714	0.619325	0.0211263	0.0367518	0.0519843	0.0020153	0.00151982	0.140137
w	0.0316885	0.92719	0.0253818	0.00570539	0.00434517	0.000276675	0.000227073	0.00518546
e	0.0995491	0.663966	0.142116	0.0362584	0.0338698	0.00443646	0.00301836	0.016786
t	0.0163995	0.45056	0.352911	0.0472877	0.0464154	0.00589063	0.00289023	0.0776462
é	0.0327545	0.0403239	0.876635	0.0227932	0.00640818	0.00830569	0.00407869	0.00870078
é	0.010059	0.0521309	0.853893	0.042951	0.00800316	0.00587762	0.00410443	0.022981
m	0.014381	0.012429	0.237154	0.42311	0.135514	0.122112	0.000652467	0.0546476
i	0.0126931	0.0182486	0.0342429	0.635906	0.152833	0.081871	0.00113117	0.0630745
s	0.00172079	0.00617251	0.0357146	0.325993	0.530755	0.0716605	0.0060488	0.0219347
ú	0.000109034	0.00113375	0.00127202	0.20602	0.766459	0.011517	0.000421345	0.013068
u	0.0054937	0.0340794	0.0594452	0.178523	0.542436	0.0712251	0.0536027	0.0551945
l	0.000440275	0.000697738	0.00911645	0.145169	0.194962	0.405275	0.118971	0.125369
á	0.00211661	0.00322328	0.0322515	0.203248	0.230565	0.233748	0.0468962	0.247952
p	0.00977094	0.00222739	0.00571764	0.142843	0.160376	0.312812	0.321019	0.0452343
o	0.00019952	0.000560684	0.00936327	0.00411917	0.00485155	0.0102607	0.966807	0.00383783
o	4.73173e-05	0.000587707	0.00983603	0.0095502	0.0119187	0.0251573	0.920688	0.0222148
</S>	0.000405636	0.000438065	0.00330624	0.023879	0.0888751	0.275172	0.0374767	0.570447
