 	le	jardinier	arrose	les	légumes	pour	les	faire	pousser	plus	vite	</S>
ω	0.976997	0.0100309	0.002573	0.00325702	0.00226934	0.00126396	0.00127102	0.00169742	0.0002823	0.000292378	5.6644e-05	8.44586e-06
s	0.00329532	0.994039	0.002148	6.2742e-05	0.000103889	4.14984e-05	5.09871e-05	5.49417e-05	1.69534e-05	4.03915e-05	7.69435e-05	6.93795e-05
á	0.0217256	0.974003	0.00322001	0.00015439	0.000322429	9.63853e-05	0.000123902	0.000137645	5.7467e-05	2.5169e-05	3.54257e-05	9.84336e-05
i	0.017218	0.964853	0.00323059	0.000754682	0.000748685	0.000623039	0.00094151	0.000699346	0.000300234	0.000342609	0.000709671	0.00957888
l	0.461714	0.0342124	0.0938336	0.0402556	0.010034	0.0442096	0.039324	0.0370604	0.0382435	0.0832234	0.00511261	0.112777
á	0.0764283	0.00790204	0.264606	0.0399844	0.0136948	0.0418263	0.0525704	0.0366671	0.0248005	0.0983993	0.0184009	0.32472
a	0.319393	0.0029336	0.258609	0.175413	0.0490198	0.0323112	0.0278505	0.0254834	0.0201602	0.02857	0.0115991	0.0486574
k	0.00354217	0.0124751	0.904591	0.0385529	0.0144979	0.00455485	0.00322591	0.00263927	0.0043648	0.00370131	0.00158826	0.00626641
a	0.00122314	0.00455662	0.925502	0.0225076	0.0176045	0.00743746	0.00423303	0.0030155	0.00341065	0.00328162	0.000753834	0.00647424
n	0.00106404	0.00382654	0.896183	0.0468528	0.0240911	0.00606833	0.00333375	0.0027496	0.00455116	0.00169827	0.000509547	0.0090722
á	0.00918137	0.000862526	0.621099	0.199238	0.0841882	0.0208114	0.0166165	0.00924109	0.00911274	0.00775036	0.00152815	0.0203712
n	0.00406837	6.98888e-05	0.0491912	0.424558	0.290256	0.125671	0.049912	0.0248841	0.0128113	0.00939667	0.00377091	0.00541021
d	0.00541538	4.93848e-05	0.0201921	0.370276	0.509471	0.0330557	0.0200901	0.00878925	0.00430841	0.00519579	0.00798409	0.0151727
ú	0.00147508	0.000132317	0.0236866	0.267063	0.573885	0.0533984	0.0286947	0.0167328	0.0085584	0.00453818	0.00955045	0.0122844
n	0.00478566	0.000107897	0.0126548	0.143645	0.500037	0.0762136	0.115405	0.0768888	0.00420475	0.00577851	0.0471806	0.013099
d	0.0135377	4.39597e-05	0.0146585	0.352076	0.420426	0.102583	0.0435973	0.0210295	0.00154125	0.00225539	0.00508434	0.0231662
a	0.00692787	3.35281e-05	0.0159444	0.194662	0.620998	0.0706312	0.0346902	0.0128178	0.0011272	0.000986775	0.00806242	0.0331183
m	0.00584562	0.000140391	0.0422284	0.123782	0.169975	0.390383	0.136569	0.0926196	0.00848828	0.00931574	0.00173871	0.0189142
á	0.0170281	0.000169883	0.00716107	0.102804	0.135109	0.241522	0.191514	0.129978	0.0318993	0.0708252	0.00781597	0.0641738
a	0.00182411	0.00120782	0.00472811	0.0333929	0.0747418	0.179654	0.326498	0.27277	0.0505268	0.0287249	0.0140616	0.011869
b	0.00242727	0.00424231	0.0166164	0.0231266	0.0494439	0.186584	0.222646	0.19761	0.243598	0.0253762	0.0111669	0.0171622
á	0.000747214	0.00128106	0.0109836	0.0237594	0.0562223	0.103998	0.13371	0.158378	0.456818	0.0398282	0.00627822	0.00799536
a	0.00134359	0.000382054	0.00921212	0.02991	0.0556243	0.150034	0.211091	0.148828	0.14019	0.0628138	0.0125238	0.178047
y	0.00102496	3.28199e-05	0.00209544	0.0106263	0.0091778	0.0957752	0.269706	0.260328	0.179149	0.135651	0.0107851	0.0256482
é	0.00627137	0.00047946	0.00587684	0.0236586	0.0393995	0.120119	0.243151	0.211519	0.0650183	0.0651352	0.125795	0.0935769
e	0.000705493	0.000168055	0.00112072	0.00551104	0.0104435	0.0592533	0.199744	0.31147	0.117262	0.117387	0.106784	0.0701513
t	0.000171088	0.000352905	0.00452789	0.00309537	0.00390403	0.0247027	0.0658589	0.123381	0.284634	0.290662	0.117731	0.0809795
ω	6.66804e-05	0.000247969	0.00474035	0.00359516	0.00915874	0.0346218	0.0839771	0.119042	0.215468	0.222249	0.139329	0.167503
ώ	5.28157e-05	6.36426e-05	0.00159349	0.00299317	0.0121912	0.0435684	0.072359	0.345622	0.143817	0.144437	0.135981	0.097322
l	0.00124356	1.06312e-05	0.00124926	0.0061794	0.00376284	0.0184163	0.0521012	0.0602234	0.110135	0.499033	0.117798	0.129847
a	0.000700715	4.13427e-05	0.00281866	0.0033283	0.00229083	0.021787	0.039881	0.0485947	0.0455141	0.264828	0.258053	0.312163
o	0.000793671	8.30112e-05	0.000473257	0.00400477	0.00299899	0.0116981	0.0301324	0.0457858	0.029022	0.215858	0.557689	0.101461
k	2.77293e-05	0.00021978	0.00364671	0.00375703	0.00299521	0.0122458	0.0183975	0.0241252	0.0507256	0.313163	0.44294	0.127757
ó	2.70725e-05	0.00010988	0.00598211	0.0014618	0.00377927	0.00888395	0.0169992	0.0552351	0.0361692	0.3497	0.365461	0.156192
l	0.000101323	7.6824e-05	0.00263286	0.00127308	0.00473591	0.0163864	0.0335268	0.14229	0.10055	0.111938	0.266057	0.320432
ó	0.00027191	5.45901e-05	0.00253957	0.00138689	0.00406241	0.0114966	0.0286496	0.0510557	0.0383646	0.256499	0.203747	0.401872
</S>	0.00018536	5.69088e-06	0.000663989	0.00159144	0.00156306	0.0127005	0.023544	0.0413018	0.0441498	0.191945	0.28839	0.393959
