 	cet	homme	est	un	danseur	masqué	du	kyebé-kyebé	</S>
i	0.796975	0.16834	0.00523917	0.0107302	0.0139936	0.00155844	0.00224933	0.000587544	0.000327175
b	0.154344	0.80707	0.0175167	0.0110411	0.0082937	0.000909946	0.000578938	8.14215e-05	0.000163491
a	0.0170576	0.972671	0.00200653	0.00313049	0.00237914	0.000992792	0.000284093	0.00138641	9.18848e-05
a	0.0755817	0.864595	0.00648923	0.0113604	0.0203345	0.00644071	0.0012802	0.00179648	0.0121216
d	0.739866	0.15593	0.0439644	0.0136184	0.000532202	0.00887268	0.00983193	0.000208494	0.0271757
í	0.122832	0.0304467	0.0529364	0.0275845	0.0104902	0.0249158	0.0299559	0.00191396	0.698924
í	0.0855867	0.225242	0.42531	0.0852934	0.00377946	0.0124478	0.0180351	0.00217763	0.142128
d	0.0288595	0.027133	0.548296	0.274953	0.01443	0.0162615	0.0206103	0.00186284	0.0675937
í	0.00231352	0.00728727	0.713185	0.209376	0.00986517	0.00890402	0.0027783	0.000546037	0.0457441
y	0.00338426	0.00885949	0.429479	0.320396	0.0155913	0.0370845	0.0304718	0.0242947	0.130439
o	0.0214886	0.0048838	0.169739	0.311839	0.331134	0.0207769	0.00928753	0.0360046	0.0948469
m	0.00323855	0.000354208	0.00604677	0.0306101	0.919923	0.00383248	0.00130737	0.0206342	0.0140539
b	0.0045331	0.00451263	0.0311475	0.102768	0.650017	0.0475717	0.0202193	0.0920193	0.0472109
i	0.00326991	0.00221892	0.0346546	0.115242	0.277988	0.0696654	0.0724301	0.1291	0.295431
</S>	0.00884787	0.00230843	0.0764498	0.182999	0.170558	0.176336	0.192178	0.0506999	0.139624
