 	qui	a	bourré	mon	sac	de	vêtements	</S>
o	0.680359	0.28989	0.0086932	0.00502729	0.00756476	0.00752166	0.000653796	0.000290353
k	0.0246256	0.394181	0.331193	0.0203658	0.0634473	0.0159185	0.137916	0.0123528
í	0.00601775	0.0282366	0.512356	0.0149621	0.00855483	0.00769063	0.415187	0.00699485
i	0.00154721	0.0752679	0.628604	0.0247604	0.0112083	0.0209259	0.224419	0.0132676
p	0.280575	0.370476	0.216258	0.066807	0.0214594	0.031599	0.00268115	0.0101438
ε	0.0791206	0.0615232	0.0787318	0.106645	0.366637	0.0427109	0.0459948	0.218636
n	0.0661894	0.0460375	0.0568687	0.182958	0.261924	0.140788	0.0516035	0.193631
g	0.347321	0.131638	0.0315212	0.112341	0.327035	0.0341502	0.00927032	0.00672368
ε	0.114567	0.0155931	0.00857659	0.114295	0.672749	0.0239726	0.0134463	0.0368008
y	0.0423503	0.0452329	0.046034	0.52019	0.164483	0.157272	0.00335746	0.0210809
á	0.381212	0.0362614	0.0453888	0.217529	0.133108	0.122677	0.00600002	0.0578234
n	0.0936596	0.0202352	0.00995595	0.257894	0.436615	0.15343	0.0190326	0.0091773
g	0.0488258	0.00660752	0.00329322	0.207559	0.668741	0.0436115	0.00589539	0.0154666
á	0.021341	0.00721364	0.00373648	0.175601	0.678556	0.0825965	0.00902649	0.0219293
m	0.00590557	0.00531353	0.0165075	0.272909	0.224999	0.443888	0.0132476	0.0172293
i	0.122018	0.0459707	0.0124788	0.0486259	0.0362743	0.410371	0.0186145	0.305647
k	0.00515736	0.0144326	0.0277019	0.0813631	0.0525454	0.388913	0.230732	0.199155
á	0.000670496	0.00289105	0.00901689	0.0157602	0.0192173	0.0280946	0.883508	0.0408411
n	0.000981974	0.00110522	0.0203347	0.0734142	0.102881	0.123187	0.579973	0.0981229
d	0.0015347	0.00127298	0.0108731	0.0884529	0.174373	0.128086	0.430983	0.164423
á	0.00218063	0.00151219	0.00456591	0.114955	0.298316	0.173325	0.193573	0.211573
á	0.00218174	0.00236959	0.00890633	0.117625	0.0774369	0.393694	0.0707258	0.32706
d	0.00604673	0.0156716	0.0640743	0.0649474	0.0253855	0.29158	0.10345	0.428845
z	0.000683359	0.0015542	0.00678439	0.00905302	0.00155762	0.0545378	0.0712106	0.854619
e	0.00310131	0.00262654	0.00654539	0.0717459	0.0834973	0.18202	0.10736	0.543104
n	0.00884525	0.00254394	0.0209073	0.119272	0.0191089	0.20196	0.186855	0.440507
d	0.00343845	0.00521994	0.00423311	0.0674417	0.156532	0.154243	0.158218	0.450673
a	0.0119297	0.00368671	0.00163391	0.0294135	0.0963959	0.0693877	0.0854788	0.702074
</S>	0.000553038	0.000504904	0.000908019	0.0233806	0.0380052	0.112401	0.0509906	0.773257
