 	je	suis	resté	à	la	maison	</S>
n	0.774365	0.109913	0.046373	0.0305992	0.028261	0.00520607	0.00528229
g	0.9939	0.00347507	8.85595e-05	0.000265254	0.000362336	0.00189112	1.73804e-05
á	0.733738	0.103994	0.00344136	0.00596751	0.00302747	0.149633	0.00019901
í	0.0656379	0.16508	0.0907021	0.0665328	0.0540555	0.0527377	0.505254
b	0.0199987	0.526171	0.334298	0.0720453	0.01115	0.0055797	0.0307574
v	0.000429402	0.0979757	0.88002	0.0166054	0.00318793	4.30177e-05	0.00173856
u	0.00239388	0.0750319	0.756385	0.133592	0.0278018	0.000911306	0.00388468
u	0.0449526	0.0300232	0.244315	0.350879	0.270719	0.0303678	0.0287438
ó	7.28725e-05	0.0109059	0.052991	0.453455	0.225386	0.0353011	0.221888
n	8.41726e-05	0.001633	0.00621523	0.437426	0.29159	0.255592	0.00746036
d	0.00423631	0.0380766	0.0261995	0.160935	0.130889	0.581534	0.058129
é	0.000691945	0.00860119	0.00728566	0.104692	0.140456	0.675967	0.062305
e	0.000331785	0.0287571	0.0171181	0.0939354	0.142881	0.460372	0.256605
</S>	0.000110653	0.00780261	0.0171413	0.214113	0.338144	0.114045	0.308643
