 	les	enfants	ont	cueilli	cinq	paniers	de	fruits	atobhi	</S>
b	0.399987	0.596169	0.0022341	5.03719e-06	0.000465807	0.000645718	0.000194476	0.000158636	0.000114167	2.70414e-05
á	0.0784013	0.911872	0.00709905	5.86006e-05	0.000618304	0.000233652	0.000490748	0.00086059	0.000261736	0.000104445
n	0.00675915	0.992397	0.000731471	7.59013e-06	4.31521e-05	2.42185e-05	1.52096e-05	9.6879e-06	5.39629e-06	6.84157e-06
a	0.444092	0.512859	0.00419398	0.000391289	0.00360808	0.00193836	0.00279745	0.000681892	0.00104637	0.0283919
á	0.260686	0.198419	0.292782	0.073173	0.0110407	0.0056659	0.0437724	0.0273441	0.00324342	0.0838745
t	0.0277122	0.00401396	0.418528	0.453961	0.0389553	0.00465881	0.0104614	0.016289	0.0105817	0.0148389
ώ	0.00232222	0.00448804	0.128467	0.659226	0.157554	0.00922307	0.0068451	0.0142057	0.00808993	0.00957912
i	0.0533754	0.0149422	0.195359	0.282105	0.253792	0.0443897	0.0476288	0.0456166	0.0182524	0.044538
a	0.0730006	0.0426298	0.328855	0.228237	0.21347	0.031708	0.0361626	0.014536	0.00734797	0.0240526
t	0.0165692	0.00778629	0.11674	0.208387	0.441641	0.0975419	0.0451771	0.0211323	0.0203772	0.0246483
ó	0.000304172	0.000235136	0.0122121	0.580295	0.300254	0.0526686	0.0165523	0.0170631	0.00327701	0.0171383
b	0.00422264	0.00121709	0.0391124	0.445812	0.29718	0.108831	0.0277183	0.0260771	0.00314735	0.0466822
h	0.0093429	0.00279796	0.0171189	0.106006	0.56892	0.093185	0.0740706	0.0390835	0.00682561	0.0826499
i	0.0977034	0.0389979	0.0106717	0.0355972	0.276999	0.337735	0.0763205	0.0285587	0.0221999	0.0752162
n	0.00905153	0.00258146	0.0173536	0.0262167	0.350377	0.26243	0.228616	0.0441186	0.00841683	0.050838
g	0.01935	0.0054941	0.0037494	0.0109404	0.316136	0.421026	0.073408	0.00674301	0.0921126	0.0510404
ó	0.00362221	0.00293503	0.00848599	0.00761619	0.145427	0.731149	0.0329429	0.00349686	0.0567654	0.00755909
l	0.00286991	0.000473943	0.00418066	0.00581665	0.100622	0.710424	0.116895	0.0117193	0.0296794	0.0173204
ó	0.00526136	0.000329149	0.00320143	0.0129794	0.137064	0.56313	0.159854	0.031644	0.00518754	0.0813485
e	0.00147387	0.000134965	0.00538019	0.0205419	0.0402576	0.275806	0.441312	0.0836973	0.0448925	0.0865041
t	0.00422533	0.000100695	0.00347612	0.00661597	0.0314126	0.0436867	0.281261	0.387394	0.017623	0.224205
á	0.000287013	2.67824e-05	0.000499774	0.0204415	0.0623263	0.0547177	0.138801	0.634834	0.0153635	0.0727025
á	0.00280127	0.000214343	0.00110232	0.0282086	0.0603762	0.0951761	0.182071	0.456195	0.0342075	0.139647
n	0.00380155	0.00156111	0.0072054	0.00761397	0.011862	0.0171789	0.305995	0.28294	0.199493	0.162349
i	0.00670124	0.000511834	0.000210258	0.000600772	0.01021	0.0578788	0.115251	0.0398958	0.673953	0.0947873
</S>	0.000580373	0.000154266	0.00213148	0.00526217	0.00633158	0.0408341	0.286053	0.131322	0.154003	0.373329
