 	il	joue	auprès	de	sa	maman	</S>
w	0.958782	0.0283849	0.00422964	0.00308314	0.00545037	2.71649e-05	4.30127e-05
a	0.897133	0.0547095	0.0153639	0.0161506	0.0161069	0.000477505	5.84893e-05
l	0.387036	0.485203	0.0544033	0.0228492	0.0083931	0.00999684	0.0321187
á	0.128449	0.208716	0.0403326	0.0889198	0.044651	0.0273655	0.461566
a	0.151508	0.403883	0.0993896	0.104233	0.0359154	0.0196721	0.185399
s	0.0195508	0.719291	0.23084	0.00679976	0.000465754	0.00303786	0.0200152
a	0.00550724	0.935485	0.0438429	0.0024386	0.000296756	0.00155074	0.0108786
n	0.117768	0.827977	0.0292364	0.00678176	0.000422945	0.000521317	0.0172925
á	0.0465693	0.385105	0.399631	0.105361	0.00766549	0.000154227	0.0555131
á	0.0496765	0.209952	0.506339	0.170812	0.0554107	0.00310742	0.0047031
m	0.0127796	0.121725	0.230253	0.47328	0.139734	0.0180515	0.00417711
ó	0.00994003	0.011786	0.17515	0.565275	0.0710331	0.017924	0.148892
ω	0.00398864	0.0102184	0.107179	0.290619	0.0663785	0.484917	0.0366994
p	0.000318626	0.00447252	0.255163	0.535459	0.0362701	0.129191	0.0391254
ε	0.00203694	0.00278357	0.590186	0.309258	0.0124591	0.0128544	0.0704224
l	0.0180468	0.0235941	0.414694	0.355056	0.0347472	0.0132179	0.140644
έ	0.00561994	0.0115496	0.543148	0.293643	0.0398985	0.00135814	0.104783
m	0.00255994	0.00654931	0.0771497	0.316191	0.432319	0.0201155	0.145115
á	0.00852367	0.00576384	0.00790313	0.061746	0.277074	0.0864619	0.552527
n	0.00453819	0.00636489	0.0175944	0.108224	0.708817	0.111044	0.0434179
g	0.0010163	0.0251808	0.00164165	0.0329657	0.289323	0.603414	0.0464586
ó	0.000465295	0.00314839	0.000461738	0.00975407	0.129974	0.791472	0.0647246
o	0.000297815	0.00467237	0.00375973	0.0228138	0.0301972	0.815732	0.122527
</S>	0.00419945	0.00461069	0.0189984	0.0673086	0.211333	0.0910437	0.602506
