 	le	singe	n'	adopte	pas	l'	enfant	de	son	frère	</S>
k	0.187193	0.591813	0.119878	0.0173414	0.0224257	0.0132337	0.00592763	0.0224229	0.016098	0.000942606	0.00272303
y	0.0712512	0.807573	0.0270896	0.0137801	0.01707	0.00565076	0.00506206	0.0182183	0.00933484	0.0160992	0.0088714
é	0.055443	0.868436	0.0113641	0.0183082	0.0196144	0.00824111	0.00206139	0.00738577	0.00235349	0.00278935	0.00400303
m	0.0908541	0.624718	0.0714955	0.0202534	0.0346716	0.00990265	0.00632925	0.015191	0.0199163	0.0213008	0.0853677
a	0.321185	0.40753	0.129751	0.0247367	0.0150372	0.0321691	0.0197927	0.0103556	0.00695451	0.01921	0.0132778
a	0.118613	0.0641546	0.45829	0.124944	0.0539851	0.0558312	0.0293913	0.0210651	0.0121761	0.00550631	0.0560443
d	0.0559143	0.0554231	0.307827	0.224884	0.126518	0.0459692	0.0150071	0.0559722	0.0277418	0.00710993	0.0776338
í	0.034282	0.00830437	0.206214	0.263061	0.084181	0.0432166	0.0225841	0.0320703	0.0160105	0.00505484	0.285021
í	0.0277561	0.0111145	0.143447	0.37521	0.190105	0.0960262	0.0178791	0.0401698	0.0246483	0.00711788	0.0665259
o	0.00788526	0.00495793	0.0562795	0.329417	0.245199	0.209345	0.0712538	0.0383115	0.0143024	0.00546843	0.0175803
b	0.00647764	0.00609835	0.038067	0.186004	0.238046	0.11886	0.0662911	0.126157	0.0161511	0.143369	0.0544788
é	0.0109511	0.0219884	0.019238	0.162544	0.375475	0.0466822	0.0316251	0.152118	0.0186141	0.100115	0.0606481
n	0.00255342	0.00374798	0.0244788	0.111829	0.152778	0.0280593	0.0299803	0.104398	0.0214195	0.0346236	0.486132
y	0.0157152	0.00890002	0.0410157	0.212949	0.213101	0.180277	0.0476992	0.107761	0.0353348	0.0111767	0.12607
á	0.00699368	0.00451824	0.0635117	0.169134	0.217387	0.164207	0.0210214	0.102722	0.0263491	0.0310276	0.193128
i	0.00732778	0.00266003	0.0435545	0.121468	0.145583	0.238689	0.165843	0.138193	0.0732692	0.0147691	0.0486429
b	0.00362424	0.0027928	0.015137	0.0836686	0.163652	0.0935275	0.119056	0.260703	0.0894791	0.0946019	0.0737581
v	0.0066639	0.0117967	0.0185436	0.07961	0.228582	0.0765605	0.0495003	0.16364	0.0678671	0.222738	0.0744979
u	0.00274554	0.00364015	0.00497519	0.0443179	0.171145	0.0841162	0.0939971	0.309114	0.113603	0.106104	0.0662426
a	0.00283921	0.00332232	0.00439163	0.0306321	0.13937	0.145624	0.0361087	0.280193	0.122062	0.143294	0.0921619
l	0.00363732	0.000600934	0.0218989	0.0433981	0.0677301	0.0785671	0.0517824	0.234983	0.25671	0.0816369	0.159056
a	0.0201495	0.00249663	0.0424415	0.0779951	0.058212	0.074028	0.0365342	0.149823	0.171499	0.0461657	0.320655
m	0.00264259	0.00369074	0.0098535	0.01513	0.0184428	0.134465	0.0654829	0.0646396	0.454806	0.0704044	0.160443
w	0.000905873	0.000873038	0.00742082	0.00529218	0.00954584	0.0746842	0.253268	0.0263312	0.0833217	0.453889	0.0844684
á	0.00140353	0.000211251	0.000507106	0.00193363	0.00406985	0.0189001	0.687395	0.0177102	0.0176827	0.202975	0.0472113
n	0.00518098	0.00071997	0.00364603	0.0192672	0.0685671	0.174185	0.185584	0.0856574	0.240561	0.134597	0.0820342
a	0.00462286	0.00161444	0.00230306	0.00883258	0.0112303	0.0553995	0.195711	0.0614671	0.152329	0.28714	0.21935
y	0.00459899	0.00303461	0.0122185	0.0191526	0.0310598	0.0927741	0.047554	0.164856	0.244361	0.145622	0.234768
á	0.00360851	0.00296047	0.00617727	0.0197825	0.0199273	0.113446	0.0290818	0.0656551	0.276963	0.30442	0.157978
o	0.00330298	0.0141015	0.00593611	0.0108562	0.0149675	0.0649804	0.017108	0.0346022	0.459381	0.116602	0.258162
b	0.000525036	0.00138868	0.0118201	0.026628	0.0431831	0.0236202	0.00551097	0.0507903	0.151296	0.43212	0.253117
i	0.000827205	0.00173132	0.021565	0.0381813	0.115995	0.015675	0.0250616	0.152865	0.135734	0.322065	0.170298
a	7.11939e-05	0.00027537	0.000657268	0.00268411	0.0224662	0.00957984	0.00532506	0.0542866	0.0586197	0.252949	0.593086
k	0.0169858	0.00883961	0.0106978	0.0202392	0.0344329	0.0402699	0.0272308	0.101729	0.260323	0.174675	0.304577
a	0.00440451	0.0286422	0.0161653	0.0170463	0.0560869	0.0184367	0.00355985	0.0970019	0.250414	0.0819319	0.426311
á	0.000819974	0.00270671	0.00142256	0.00303923	0.0106291	0.00602379	0.00571044	0.0441662	0.0688877	0.190233	0.666361
</S>	0.00382023	0.000837994	0.0195359	0.0230137	0.018389	0.0136775	0.0310804	0.0375501	0.069433	0.056145	0.726517
