 	un	enfant	avide	n'	a	pas	peur	du	feu	</S>
m	0.850407	0.106509	0.0138781	0.00630313	0.00585305	0.00275761	0.00881439	0.00537956	7.88565e-05	1.92681e-05
w	0.0139712	0.973234	0.00197798	0.00120868	0.000763267	0.000245194	0.00297205	0.000376631	0.0022305	0.00302078
á	0.00294475	0.996425	0.000471253	2.27594e-05	1.05529e-05	7.16543e-06	2.05357e-05	3.51819e-06	9.06289e-05	3.39162e-06
n	0.18568	0.788279	0.00532029	0.000990165	0.00103255	0.000570387	0.00507246	0.000229084	0.00950514	0.00332119
a	0.0377263	0.606691	0.0475444	0.018044	0.0177368	0.0099485	0.0118359	0.0013784	0.011724	0.237371
y	0.659876	0.0534567	0.0883411	0.0524634	0.0342412	0.0187214	0.0329787	0.0339847	0.00831848	0.017618
e	0.326138	0.0745231	0.421716	0.0914415	0.0233549	0.0201348	0.00697098	0.0207024	0.00506836	0.00994945
e	0.251765	0.11008	0.362715	0.115774	0.0251765	0.0100604	0.0180778	0.0555624	0.00651274	0.0442762
d	0.0712883	0.0922428	0.541199	0.0475382	0.0536056	0.0551127	0.0365075	0.0119845	0.0159076	0.0746137
í	0.0136281	0.00362536	0.773709	0.0626299	0.03183	0.0505633	0.00511829	0.00501685	0.000940737	0.0529386
l	0.0108051	0.00638763	0.454975	0.224094	0.0636444	0.0454277	0.0198338	0.02598	0.0038549	0.144997
o	0.00453321	0.000987117	0.447497	0.290158	0.0858809	0.0251049	0.0223342	0.0180237	0.00260779	0.102874
t	0.0125805	0.00255696	0.573725	0.15544	0.0464735	0.0359198	0.0260794	0.0169573	0.062179	0.0680894
é	0.0037618	0.000905591	0.672116	0.0569359	0.0497806	0.125345	0.0356579	0.0125946	0.00236209	0.0405402
m	0.000994855	0.000115585	0.488465	0.164357	0.0987036	0.110989	0.0241942	0.0242144	0.00395564	0.0840109
a	0.0383287	0.00359746	0.152756	0.407063	0.12972	0.10468	0.0770651	0.0613062	0.0126487	0.0128347
a	0.00358918	0.000763784	0.0219471	0.305462	0.313196	0.168378	0.0669554	0.0424393	0.0216764	0.0555933
d	0.00359332	0.000370435	0.0108418	0.0890082	0.356011	0.368517	0.0702816	0.0564367	0.0136954	0.0312442
i	0.00338417	0.000427383	0.00842058	0.0825926	0.357763	0.27187	0.055447	0.0584302	0.00978214	0.151883
m	0.00236591	0.00025157	0.00361781	0.0913792	0.206134	0.343345	0.13436	0.159836	0.0189729	0.039737
í	0.00313927	0.00141154	0.00240822	0.082202	0.103499	0.0550624	0.331106	0.146474	0.196824	0.0778741
á	0.0024388	0.000250737	0.00368964	0.0268226	0.0772635	0.126283	0.252947	0.246518	0.240746	0.0230402
o	0.00213737	0.000326715	0.00476359	0.0200011	0.0755788	0.160827	0.192095	0.380093	0.0894623	0.0747155
d	0.00145667	0.000352989	0.00963847	0.00769594	0.0228183	0.280524	0.146454	0.304275	0.212237	0.0145478
u	0.00251539	0.000266408	0.0112421	0.0244347	0.0532325	0.311203	0.0899754	0.293562	0.0703689	0.143199
m	0.00153347	9.20599e-05	0.00199772	0.0509164	0.128492	0.308881	0.120914	0.316083	0.0247867	0.0463028
a	0.000950386	3.32897e-05	0.0018215	0.0534597	0.0666919	0.215513	0.129054	0.398484	0.0137647	0.120228
k	0.000749217	2.58915e-05	0.00182574	0.0132895	0.0344351	0.0680778	0.182578	0.240811	0.24438	0.213828
a	0.000805959	9.53793e-05	0.00665504	0.00211517	0.0197017	0.32536	0.290908	0.156096	0.059285	0.138977
á	0.00044973	0.000115593	0.0144923	0.00447467	0.0336861	0.32969	0.120078	0.0698958	0.0857823	0.341336
</S>	0.000549298	8.85734e-05	0.0027131	0.0127652	0.0176265	0.0152654	0.138388	0.133339	0.27598	0.403285
