 	les	femmes	qui	viennent	de	se	baigner	font	leur	toilette	</S>
a	0.670336	0.225961	0.0471008	0.00603641	0.00258576	0.0092996	0.00239654	0.0311217	0.00401018	0.00103466	0.000117108
y	0.253934	0.633436	0.0297976	0.00282974	0.00528555	0.00681104	0.039571	0.0132301	0.00460332	0.00993394	0.00056771
ú	0.604225	0.354435	0.0144745	0.00131295	0.00895132	0.00401051	0.00353842	0.000425939	0.00261392	0.00274258	0.00327024
r	0.786523	0.0836637	0.0087771	0.000304385	0.0169056	0.0083343	0.0230759	0.00130824	0.00621082	0.0253083	0.0395888
u	0.774905	0.158284	0.0121033	0.00101369	0.0183046	0.00924447	0.00317349	0.00265206	0.00869283	0.0047427	0.00688411
b	0.132107	0.0465342	0.463196	0.233513	0.0467662	0.0215767	0.00580891	0.00935606	0.0144355	0.0028397	0.0238664
á	0.0848739	0.0481957	0.222293	0.369072	0.0658407	0.0439599	0.00151002	0.0332191	0.0733467	0.00543168	0.0522573
á	0.0295713	0.0186616	0.467949	0.293767	0.0650073	0.0327739	0.0117219	0.0189149	0.0240925	0.00407361	0.0334668
w	0.00295449	0.00104025	0.0879901	0.113681	0.275204	0.283644	0.124257	0.0306882	0.0117132	0.0358365	0.0329911
ú	0.00545583	0.00489965	0.148396	0.105302	0.350047	0.229703	0.0281798	0.0161231	0.0168155	0.0482144	0.0468634
r	0.0296438	0.00514721	0.0953391	0.252872	0.265939	0.09785	0.19314	0.0157034	0.0112817	0.0072284	0.0258551
ú	0.114585	0.00860895	0.126841	0.103894	0.362102	0.13479	0.052392	0.0324099	0.0376282	0.0076477	0.0191026
i	0.0513752	0.0117817	0.136177	0.140603	0.122833	0.252332	0.135083	0.0956034	0.0415713	0.00295908	0.009682
p	0.00404052	0.00603909	0.0279052	0.0453174	0.179006	0.209944	0.37367	0.0854582	0.0234123	0.0102234	0.0349846
f	0.000250534	7.92e-05	0.00593534	0.0124776	0.0489704	0.0655126	0.821329	0.0324755	0.00579401	0.00135892	0.00581713
ú	0.000483265	4.97677e-05	0.00396834	0.00522118	0.0633787	0.0950663	0.747895	0.0634947	0.0125299	0.00150886	0.00640381
b	0.00385144	0.00028185	0.00777529	0.0057717	0.0465675	0.0710733	0.764244	0.0585912	0.0160371	0.00264709	0.0231595
h	0.0283432	0.000753457	0.0333391	0.0446943	0.105387	0.0628547	0.100452	0.280399	0.305598	0.00811478	0.0300648
a	0.0826768	0.00337382	0.0376764	0.0096171	0.110226	0.160376	0.0872672	0.216164	0.205784	0.0159435	0.0708945
b	0.00798912	0.000949943	0.0239866	0.014309	0.0178858	0.0689481	0.070344	0.47589	0.236249	0.0259541	0.057494
á	0.00802636	0.00364994	0.0192973	0.0187256	0.0177612	0.0255559	0.00766006	0.392552	0.459458	0.00559531	0.0417174
a	0.00564138	0.0016957	0.010222	0.00666137	0.00708693	0.0132269	0.000931158	0.237454	0.671437	0.0196258	0.0260166
k	0.00143656	0.00026876	0.00762006	0.00596724	0.0135813	0.0280667	0.0445603	0.207803	0.157657	0.426733	0.106305
y	4.60689e-05	6.03079e-05	0.00263091	0.000773629	0.011194	0.0252329	0.0941283	0.522045	0.147549	0.14438	0.0519594
á	0.000697229	0.000358459	0.0049198	0.00255874	0.0243217	0.0297482	0.124559	0.308716	0.191109	0.199199	0.113813
l	0.0023861	0.000203499	0.00214729	0.00217426	0.00644508	0.00791882	0.0593382	0.0841985	0.392831	0.0819521	0.360405
o	0.000888271	4.46281e-05	0.00144019	0.00178826	0.0048379	0.00358888	0.00836103	0.0458705	0.132429	0.582697	0.218055
n	0.00337587	0.00312127	0.000387188	7.87695e-05	0.0019492	0.00226124	0.000495937	0.00444075	0.0209009	0.678949	0.28404
y	0.0457647	0.00801242	0.00163583	0.000107355	0.00640059	0.00896718	0.000544236	0.00993336	0.0246939	0.752058	0.141883
έ	0.0482214	0.0139568	0.00607774	0.0010571	0.00871858	0.00811762	0.00148514	0.0238333	0.11588	0.560187	0.212466
r	0.00403737	0.00132059	0.00128815	0.000135354	0.00259961	0.00560401	0.000568326	0.0176254	0.0419153	0.545483	0.379423
i	0.00511715	0.00362174	0.00185861	0.000639724	0.00551149	0.00896967	0.00457382	0.0533078	0.181928	0.388449	0.346024
</S>	0.00959009	0.000633266	0.00289714	0.00103596	0.00395157	0.00382193	0.000851265	0.0146445	0.128606	0.189904	0.644064
