 	cette	manière	de	battre	les	paupières	est	celle	des	escrocs	</S>
e	0.358393	0.250865	0.168674	0.0182207	0.0437885	0.0248726	0.0124528	0.0106467	0.0171224	0.0679475	0.027017
k	0.00288058	0.00304669	0.0203854	0.012945	0.428203	0.320513	0.107225	0.0838087	0.00607384	0.0134913	0.00142768
w	0.00188843	0.00041048	0.0024792	0.00164367	0.0630975	0.866455	0.013883	0.00802168	0.000870575	0.0404141	0.000836676
á	0.0029022	0.0138379	0.0472404	0.0466511	0.111821	0.503209	0.0547345	0.0283129	0.0181488	0.1267	0.0464415
b	0.00234531	0.00267879	0.00546405	0.0575545	0.0766262	0.775634	0.0134237	0.00426323	0.00282879	0.0477055	0.0114765
h	0.00027175	0.000260584	0.00368437	0.0752127	0.142927	0.636106	0.0374009	0.0142913	0.0136623	0.0626821	0.0135002
í	0.00530476	0.00138869	0.00729086	0.0925214	0.128161	0.62983	0.0348663	0.0138495	0.012681	0.0352423	0.0388644
r	0.00855717	0.00948915	0.0604745	0.053787	0.217989	0.222824	0.135259	0.0687169	0.0539988	0.0524505	0.116455
í	0.0731961	0.0761147	0.0400965	0.0237915	0.0465323	0.0480761	0.150842	0.11625	0.0700338	0.0218899	0.333177
r	0.118314	0.118191	0.203824	0.0801831	0.0816726	0.0689066	0.104852	0.0468979	0.0572651	0.0372694	0.082625
í	0.0665859	0.0579108	0.094707	0.0123634	0.020491	0.0120817	0.0440777	0.0823531	0.0374031	0.00201701	0.570009
y	0.0969791	0.0855235	0.52947	0.0563262	0.0497891	0.0237879	0.0623734	0.0570135	0.023651	0.00109954	0.0139871
é	0.415526	0.271474	0.16374	0.0129234	0.0337929	0.00325395	0.0259816	0.0288714	0.0117393	0.00041128	0.0322859
é	0.0813719	0.0498488	0.289197	0.110623	0.170524	0.036441	0.115373	0.0887469	0.0232537	0.00241235	0.0322078
k	0.0261199	0.00411065	0.0185666	0.0648997	0.270803	0.153996	0.243455	0.120684	0.0360621	0.0141562	0.0471484
w	0.00191931	0.000726082	0.00465581	0.026404	0.13181	0.36068	0.186101	0.133019	0.0688785	0.0387304	0.0470752
á	0.00348712	0.000780256	0.00419932	0.0251081	0.13068	0.288602	0.2606	0.107279	0.0470976	0.0221449	0.110021
b	0.00118798	0.000685104	0.00810889	0.0513387	0.280754	0.240117	0.201743	0.0382075	0.0335677	0.0366208	0.10767
h	0.0019925	0.00120567	0.0192963	0.244566	0.212795	0.453192	0.0198531	0.00856561	0.0135327	0.0145728	0.0104276
í	0.0142277	0.00960172	0.0520344	0.260926	0.154779	0.229616	0.0558968	0.0160231	0.0221767	0.0345413	0.150178
r	0.00147253	0.00342503	0.038523	0.170389	0.202685	0.133289	0.230803	0.0723706	0.0534877	0.0359739	0.0575815
á	0.104548	0.0545685	0.0720426	0.105972	0.0925414	0.0258995	0.212522	0.196267	0.0410265	0.00532523	0.0892875
w	0.0059346	0.00530934	0.0293657	0.0884822	0.0887709	0.00841826	0.170997	0.33165	0.22371	0.021101	0.0262611
a	0.00875085	0.00963677	0.0688732	0.135341	0.238706	0.103522	0.169677	0.0745545	0.111465	0.0358941	0.043579
m	0.00253773	0.00211361	0.0119305	0.0190153	0.0319245	0.00646369	0.1741	0.286844	0.299973	0.105043	0.0600553
í	0.0387568	0.00706073	0.0163612	0.0648851	0.0767034	0.00383053	0.0684329	0.138144	0.391219	0.033889	0.160717
s	0.00223387	0.000980208	0.00520102	0.0272657	0.0529881	0.00924786	0.113725	0.18082	0.336542	0.211321	0.0596747
i	0.0279326	0.00483472	0.0132426	0.00824179	0.0208364	0.00404772	0.17942	0.481598	0.0895526	0.0193916	0.150903
y	0.00567206	0.00276362	0.00810424	0.0068044	0.0241571	0.00199826	0.102164	0.383238	0.314995	0.0306905	0.119412
é	0.285695	0.0842302	0.0566668	0.00629131	0.0145123	0.00199924	0.0737735	0.246303	0.148159	0.0128556	0.0695139
y	0.00678323	0.00168658	0.00425342	0.00308388	0.0111664	0.00277393	0.116997	0.31216	0.292786	0.0575282	0.190781
á	0.0523503	0.0233208	0.0277306	0.00921183	0.0156677	0.00451277	0.129738	0.415593	0.17459	0.0206659	0.126619
m	0.00333913	0.00518651	0.0225206	0.0323934	0.0229236	0.00234866	0.0645805	0.31055	0.246971	0.0696779	0.219509
í	0.00431806	0.00127727	0.00710133	0.0389455	0.0890769	0.00604307	0.0304952	0.132339	0.317135	0.058213	0.315055
b	0.000346407	0.000455051	0.00629436	0.0405511	0.0259452	0.00412482	0.038675	0.11278	0.229921	0.313678	0.227229
h	0.000204844	0.000100531	0.00284291	0.0280566	0.0353277	0.071776	0.0136282	0.0240318	0.102602	0.592036	0.129393
i	0.0021814	0.000872795	0.00719035	0.0088901	0.0193402	0.0253555	0.0154019	0.067985	0.17277	0.547176	0.132836
</S>	0.00493513	0.00123987	0.0029027	0.00137889	0.00828418	0.00442705	0.032929	0.101591	0.196286	0.218066	0.42796
