 	il	a	abordé	la	pirogue	</S>
w	0.935082	0.052204	0.00674284	0.00199452	0.0038812	9.57426e-05
a	0.943954	0.0227854	0.00392232	0.00755268	0.0215258	0.000260323
a	0.109366	0.710498	0.101519	0.0718042	0.000725671	0.00608754
s	0.0619013	0.524235	0.315795	0.0569054	0.00550612	0.0356574
ε	0.0040249	0.108509	0.777123	0.0676493	0.000235238	0.0424594
m	0.010797	0.0342953	0.685112	0.180851	0.00118269	0.0877618
í	0.0119921	0.057807	0.453693	0.431131	0.00255962	0.042818
s	0.0235713	0.0449369	0.136416	0.223097	0.517371	0.0546077
í	0.000537646	0.0102237	0.712426	0.257688	0.00534911	0.0137761
b	0.0166946	0.0197076	0.181311	0.150294	0.506272	0.125721
v	0.000890251	0.00104044	0.00253892	0.0122768	0.978616	0.00463754
á	2.49573e-05	0.000193338	0.00953566	0.00560626	0.978241	0.00639913
r	0.000480154	0.00614673	0.0517365	0.0622714	0.72523	0.154135
e	0.000970186	0.00724461	0.229873	0.181215	0.176427	0.404271
</S>	0.00290853	0.0142119	0.0913489	0.0961805	0.0442139	0.751136
