 	il	fabrique	un	balai	</S>
w	0.863084	0.116396	0.0197931	0.000468695	0.000257823
a	0.748544	0.117241	0.129287	0.00457775	0.00035034
l	0.597635	0.233985	0.125785	0.00942876	0.0331674
á	0.190902	0.145905	0.151257	0.0235463	0.488391
a	0.341644	0.158143	0.308082	0.0355879	0.156542
b	0.0776961	0.744284	0.0852173	0.0466752	0.0461276
ω	0.0900967	0.652541	0.0562494	0.138453	0.0626595
n	0.0439124	0.703036	0.124351	0.0821492	0.0465517
g	0.176933	0.490889	0.150932	0.0982693	0.0829766
ώ	0.21016	0.423597	0.195331	0.0590343	0.111878
ε	0.0707899	0.0874771	0.542002	0.280406	0.0193248
w	0.0150818	0.0408013	0.111605	0.760955	0.0715568
ώ	0.0345028	0.0450673	0.0450969	0.850053	0.0252803
m	0.00249171	0.0167217	0.095598	0.806628	0.0785603
b	0.00604582	0.00558331	0.0821117	0.79297	0.113289
ω	0.00406938	0.016179	0.0382906	0.795196	0.146265
</S>	0.0128075	0.0199839	0.129409	0.221547	0.616252
