 	nous	avons	attaché	le	cabri	sous	le	manguier	avec	une	corde	</S>
b	0.770784	0.193488	0.0163016	0.00557782	0.00670804	0.00166794	0.00349341	0.000468375	0.000519705	0.000484445	0.000397178	0.00010967
í	0.918281	0.0442683	0.0102389	0.00887121	0.0121774	0.00113206	0.00265401	0.000997672	0.00052427	0.000759533	7.22222e-05	2.33251e-05
s	0.99075	0.00626499	0.0017476	0.000479631	0.000384668	1.28387e-05	5.18643e-05	0.000236393	4.97206e-06	5.12136e-06	1.83628e-06	6.06259e-05
í	0.894406	0.0230386	0.00555995	0.0181361	0.0102253	0.00115417	0.0063989	0.0348351	0.00153831	0.000772498	0.00079851	0.00313605
l	0.0838626	0.348075	0.188048	0.0189199	0.00534688	0.00792809	0.00711809	0.00571638	0.0088695	0.00942711	0.00135398	0.315335
é	0.0100632	0.103916	0.172626	0.09219	0.00836933	0.0564335	0.0511425	0.0397358	0.106723	0.0367616	0.0122293	0.30981
t	0.00265095	0.572686	0.354245	0.033974	0.00440224	0.00521572	0.00418158	0.00387653	0.00559174	0.00362235	0.00100792	0.00854595
i	0.00181213	0.125941	0.811635	0.0404784	0.00511282	0.00304904	0.0017061	0.00183433	0.00278527	0.00186816	0.00117358	0.00260389
n	0.000762588	0.0843702	0.831098	0.0727086	0.00214475	0.00274394	0.00154736	0.000515976	0.00217198	0.000918331	0.000378518	0.000639252
g	0.00667534	0.0754027	0.445587	0.323995	0.0539294	0.0201801	0.0169931	0.00874509	0.0125452	0.00810203	0.00350476	0.0243406
i	0.0310616	0.0732819	0.273252	0.486637	0.0781546	0.00956675	0.01274	0.00853942	0.00649969	0.00320107	0.00422854	0.0128367
m	0.00501508	0.0141391	0.0072901	0.501971	0.191467	0.097106	0.100477	0.0353249	0.0157454	0.0121733	0.00412516	0.0151652
b	0.000905487	0.000162339	0.000460256	0.0213889	0.923006	0.00329484	0.00541593	0.0437316	0.000303224	0.000216416	0.000196931	0.00091779
ó	0.000500501	7.08669e-05	0.00281514	0.0752989	0.817288	0.0105413	0.0129915	0.07711	0.00186339	0.000334283	0.000280425	0.000905768
s	0.000378433	0.00340763	0.0132753	0.0415372	0.858791	0.0147151	0.00855263	0.0498903	0.00255736	0.000876853	0.000198071	0.00582067
i	0.000276015	0.00290388	0.0613087	0.096967	0.215543	0.165533	0.133293	0.187831	0.0222479	0.0154159	0.0149128	0.0837684
m	0.000538847	0.00336123	0.00774586	0.0446204	0.0137175	0.526821	0.306064	0.0471383	0.0276568	0.00862511	0.0019236	0.0117879
í	0.000410034	0.000578176	0.00148698	0.0359225	0.0472473	0.16505	0.284379	0.241834	0.0622908	0.0715209	0.00554807	0.0837315
k	0.00103334	0.00136119	0.00294816	0.00985493	0.00832777	0.319716	0.297588	0.277228	0.0352543	0.0125507	0.0144897	0.0196483
í	0.000464732	0.000177966	0.00253089	0.0036471	0.00163057	0.589298	0.194653	0.0385207	0.0985276	0.0155781	0.0157636	0.0392082
é	0.00204137	0.000744786	0.00140256	0.00637317	0.00951775	0.459789	0.154358	0.151834	0.0825265	0.0139634	0.0106482	0.106801
ó	3.11e-05	0.000502139	0.0010214	0.00310221	0.000334784	0.256126	0.378129	0.0554823	0.192643	0.0556687	0.00915103	0.0478073
t	0.000154565	0.00404431	0.0126693	0.0178789	0.00251924	0.139946	0.134727	0.0529299	0.382072	0.152366	0.041112	0.059581
s	0.000133114	0.000583492	0.00372677	0.00511707	0.000439581	0.131464	0.0788366	0.0131319	0.285576	0.174418	0.0364696	0.270104
é	9.33661e-05	0.000236906	0.00252933	0.00560454	0.00260818	0.143738	0.120824	0.0643752	0.311663	0.143406	0.0553795	0.149542
y	0.000318504	0.000250251	0.000491491	0.00287137	0.0022083	0.120977	0.0914823	0.0934906	0.19338	0.0990959	0.0329884	0.362446
ó	4.57157e-05	0.000156119	0.0041269	0.00577367	0.000840983	0.0634052	0.147126	0.0613012	0.200021	0.183436	0.220069	0.113699
m	0.000102737	0.000224876	0.00065938	0.00206142	0.000560093	0.0224045	0.0664347	0.0733833	0.320093	0.203592	0.1355	0.174984
b	0.000567433	0.000391566	0.000817017	0.00424241	0.00584317	0.013316	0.0518362	0.114627	0.158392	0.267706	0.181402	0.200859
á	0.00283595	3.65795e-05	0.000777356	0.00310298	0.0136163	0.00508815	0.0339956	0.558139	0.0912135	0.0512314	0.19223	0.0477329
n	0.000903588	0.000298094	0.000333893	0.00548371	0.0122145	0.00495187	0.0365424	0.589618	0.0732466	0.102045	0.0455416	0.12882
g	5.89341e-05	0.000250126	0.00397641	0.00430835	0.00122363	0.0106965	0.0469639	0.202643	0.177761	0.206349	0.267042	0.0787265
é	1.07774e-05	1.57357e-05	0.000550293	0.000338967	8.34957e-05	0.00280628	0.0154422	0.533707	0.0770344	0.0498054	0.26088	0.0593259
</S>	0.000108662	0.000134309	0.000322789	0.000822227	4.02297e-05	0.0114014	0.0273824	0.00902653	0.219925	0.229932	0.0827297	0.418176
