 	il	est	allé	vers	le	marigot	</S>
w	0.815908	0.158891	0.00986638	0.00458584	0.00657169	0.00381627	0.000361244
a	0.738234	0.186597	0.0134153	0.0206621	0.0325611	0.00801865	0.000512102
á	0.141565	0.619361	0.156658	0.0427164	0.0332986	0.0016433	0.00475779
d	0.0210907	0.314929	0.464729	0.0764445	0.0660945	0.017715	0.0389976
z	0.00538956	0.126088	0.398964	0.0983174	0.105403	0.017158	0.24868
w	0.0178852	0.0593169	0.891784	0.0192069	0.0036255	0.00130337	0.00687845
e	0.0136961	0.0580536	0.717221	0.105578	0.0539837	0.00608357	0.0453836
m	0.0905143	0.104739	0.190487	0.365962	0.161458	0.0573861	0.0294535
á	0.0134176	0.0254395	0.0722643	0.783483	0.0321931	0.00276332	0.0704392
l	0.110542	0.0849717	0.136273	0.437747	0.105198	0.0423404	0.0829274
á	0.0709619	0.0249399	0.0588246	0.298956	0.157508	0.0443294	0.344481
ω	0.0264364	0.0297262	0.061607	0.196246	0.333796	0.231504	0.120685
k	0.000928416	0.00241551	0.00627646	0.0353085	0.124642	0.768727	0.0617025
y	0.000235039	0.000985428	0.00136068	0.00302285	0.0727152	0.818917	0.102763
ε	0.00122916	0.00721936	0.0173278	0.0261054	0.170592	0.668151	0.109376
s	0.00051012	0.00257803	0.00300563	0.0274066	0.191729	0.421646	0.353125
í	0.00197798	0.00175909	0.0105529	0.0262286	0.15318	0.271788	0.534514
</S>	0.00679844	0.00675544	0.0155583	0.130203	0.176173	0.107014	0.557498
