 	qui	est	ce	qui	a	débouché	le	ruisseau	</S>
o	0.244567	0.114865	0.0872614	0.153501	0.170699	0.118246	0.0759741	0.0124131	0.0224731
k	0.000384208	0.00126189	0.00138729	0.00716884	0.00776817	0.904867	0.0157868	0.0271825	0.0341932
ú	0.00118616	0.00210256	0.00378008	0.0099789	0.00119681	0.853796	0.0203565	0.0767567	0.0308465
b	0.000176804	0.00107371	0.00721739	0.0131667	0.00343333	0.908136	0.0266992	0.0257222	0.0143742
h	0.00491984	0.00503724	0.00507914	0.0162371	0.0300675	0.324021	0.235159	0.140054	0.239426
u	0.0504051	0.026581	0.050084	0.0972939	0.047995	0.257192	0.121587	0.256227	0.0926351
o	0.0219058	0.032981	0.0839675	0.104386	0.225423	0.0163084	0.277688	0.104344	0.132997
k	0.0113144	0.00484864	0.00585516	0.0208153	0.035028	0.0470791	0.169153	0.415817	0.290089
y	0.0013228	0.00162487	0.00196716	0.00316457	0.00385958	0.0275856	0.0912365	0.692161	0.177078
ε	0.00237495	0.00198813	0.00145332	0.00298213	0.00544947	0.0283335	0.0765523	0.814875	0.0659914
s	0.000382907	0.000832083	0.00470508	0.0145162	0.0342761	0.0444302	0.370698	0.356358	0.173801
í	0.00227221	0.00219764	0.00525643	0.00724267	0.0177886	0.0390748	0.222746	0.294544	0.408877
m	0.00356251	0.00638537	0.0245437	0.0445325	0.184405	0.0082845	0.323099	0.0724528	0.332734
ú	0.234065	0.140307	0.0613448	0.0380269	0.0343236	0.0053215	0.0616631	0.0453102	0.379637
u	0.00118478	0.00417155	0.00856442	0.0101911	0.0156954	0.0059241	0.0570808	0.0191634	0.878024
á	0.0141545	0.0211958	0.0205706	0.0147686	0.0256636	0.00689631	0.0730342	0.101041	0.722675
d	0.0181377	0.0130524	0.018715	0.0271374	0.023758	0.0670741	0.131276	0.0922219	0.608628
z	0.0112646	0.0107971	0.017198	0.0166328	0.0158262	0.017102	0.098032	0.034706	0.778441
e	0.00369122	0.00600572	0.0187588	0.0219762	0.0361374	0.0159861	0.336266	0.0772484	0.48393
n	0.0120662	0.0141629	0.0444273	0.0478733	0.139325	0.00491439	0.263035	0.0391297	0.435066
d	0.000713904	0.00358818	0.00832898	0.0065926	0.0204026	0.00770476	0.0803706	0.218109	0.65419
a	0.00352678	0.0115235	0.0251461	0.0108611	0.0142476	0.000804456	0.0135061	0.0390353	0.881349
</S>	0.000455601	0.00140431	0.00358556	0.00232954	0.00283273	0.000257573	0.0129787	0.0400166	0.936139
