 	ils	sont	allés	livrer	cette	bagarre	sous	l'	instigation	d'	okolo	</S>
b	0.837136	0.0430065	0.00287907	0.0197263	0.0246626	0.0166246	0.0228133	0.0298162	0.000273709	0.00244299	0.000561091	5.79464e-05
á	0.95656	0.00834493	0.00839646	0.0107175	0.00350008	0.00524052	0.00334304	0.00237578	0.000182038	0.0012445	7.22458e-05	2.3111e-05
a	0.945635	0.0186026	0.0105583	0.00268439	0.00219006	0.00767615	0.00357496	0.00511363	0.000612969	0.00228878	0.000241858	0.000821111
á	0.210263	0.541262	0.086123	0.00802299	0.00567915	0.00516171	0.0083862	0.013205	0.0137065	0.0323731	0.00443026	0.0713873
d	0.0130806	0.459329	0.256476	0.188105	0.00817642	0.00349396	0.00547357	0.0030081	0.0125645	0.0195733	0.0147552	0.0159645
z	0.00450785	0.36783	0.51176	0.0531681	0.00469332	0.00426146	0.00191265	0.0022377	0.00888398	0.0115802	0.000449638	0.0287153
w	0.00294249	0.077918	0.899239	0.00311585	0.00278242	0.0120322	0.000217131	0.000350047	0.000327784	0.000324328	2.17605e-05	0.000729293
e	0.00424933	0.216008	0.570501	0.0310346	0.0285864	0.0415615	0.00873662	0.0147075	0.00620947	0.0189428	0.000312156	0.0591501
o	0.0183105	0.261768	0.0720111	0.335044	0.171712	0.0268159	0.0222651	0.0210769	0.0156294	0.0173575	0.00431293	0.033696
b	0.00125334	0.0734426	0.152843	0.646131	0.0472676	0.0386321	0.00309654	0.00181306	0.011247	0.00496236	0.0125928	0.00671839
v	0.000188973	0.00857226	0.00476586	0.897157	0.0223155	0.0153107	0.00476374	0.00128167	0.00111141	0.0010467	0.036304	0.00718166
u	0.000185325	0.00546029	0.003582	0.953588	0.0126261	0.0115057	0.00259917	0.000888061	0.000594052	0.00106027	0.00626672	0.00164443
n	0.00819252	0.014948	0.0109961	0.671821	0.164622	0.0939027	0.0051863	0.00263224	0.00112637	0.00155254	0.00484784	0.0201724
á	0.00212256	0.00783305	0.0479227	0.251086	0.28529	0.230362	0.0215341	0.0166782	0.00191815	0.00740109	0.00239482	0.125457
e	0.00282677	0.0827138	0.0119181	0.0750297	0.437645	0.216434	0.0855141	0.0396779	0.0100682	0.00978237	0.00406303	0.0243272
t	0.00900459	0.0282459	0.0178493	0.0313612	0.165221	0.536823	0.0427461	0.0245936	0.0703047	0.0196563	0.0345121	0.0196823
u	0.000855078	0.00344055	0.00632543	0.0405189	0.244539	0.368816	0.0836598	0.0493258	0.0730528	0.0193519	0.0540043	0.0561108
m	0.000449912	0.00418318	0.0134346	0.0306415	0.283972	0.303454	0.0495137	0.0489088	0.037275	0.023681	0.0170327	0.187454
b	0.000706406	0.000854928	0.0030771	0.00164258	0.19773	0.526305	0.0855914	0.129865	0.0155869	0.0147458	0.000327944	0.0235669
a	0.000724444	0.00147616	0.0150729	0.0130101	0.16718	0.620284	0.0767344	0.048814	0.00761153	0.007462	0.00310459	0.0385254
y	0.000209128	0.00342077	0.000368974	0.00225643	0.0592087	0.0204634	0.260059	0.374956	0.144704	0.0973646	0.00819116	0.0287984
í	0.000532706	0.0362396	0.0145328	0.00133767	0.133278	0.0865777	0.21431	0.267541	0.17096	0.0435862	0.00191944	0.0291858
i	0.000669679	0.00259759	0.00139796	0.000815877	0.0433845	0.0325134	0.198958	0.527067	0.122675	0.05797	0.00294529	0.00900522
e	0.00101339	0.0074505	0.00401364	0.00384508	0.00726527	0.0122075	0.0338113	0.0553012	0.551793	0.146718	0.155763	0.020819
l	1.85405e-05	0.00120188	0.00320872	0.00477561	0.00584022	0.00644435	0.0370245	0.0552209	0.402259	0.220111	0.237262	0.0266326
ó	0.000225776	0.00692947	0.00344558	0.00456386	0.00599461	0.00760322	0.0395556	0.0349381	0.303136	0.173552	0.236792	0.183263
m	0.000156493	0.00231716	0.000777325	0.00210639	0.0133508	0.00961611	0.133137	0.141453	0.294243	0.161134	0.155792	0.0859171
i	8.07829e-05	0.00137738	0.00581627	0.00108089	0.037954	0.0589515	0.104492	0.176863	0.218705	0.165203	0.0637487	0.165728
o	3.26701e-05	0.00248531	0.000826263	0.00103926	0.00894163	0.00641568	0.044629	0.107566	0.229241	0.308563	0.103349	0.186911
k	0.000179484	0.00413622	0.00239012	0.00409609	0.00254305	0.00264701	0.00674577	0.0133158	0.253822	0.180565	0.435854	0.0937052
o	2.39874e-06	6.03194e-05	0.000343169	0.00974697	0.000835195	0.000735463	0.00312524	0.00347911	0.0239361	0.028247	0.899664	0.0298249
l	1.92202e-06	4.38515e-05	0.000123672	0.00302699	0.000334979	0.00022635	0.00115775	0.00170468	0.0208288	0.0150441	0.946578	0.0109284
o	1.52962e-05	7.98457e-05	0.000204045	0.00241661	0.00124319	0.000473136	0.0048483	0.012	0.0253163	0.0338643	0.759365	0.160174
</S>	0.000668394	0.00200505	0.000679206	0.00284726	0.0166976	0.00378386	0.0593809	0.164086	0.0525965	0.130127	0.0437538	0.523374
