 	je	pêche	les	poissons	dans	l'	étang	</S>
n	0.972024	0.0020341	0.0116367	0.00504408	0.0049129	0.00430401	2.5771e-05	1.84853e-05
g	0.994077	0.000923898	0.00174817	0.000601154	0.000729919	0.00174103	0.000161372	1.70201e-05
á	0.98336	0.0106419	0.00209064	0.00172667	0.000672689	0.000565743	0.00092286	1.99913e-05
l	0.681671	0.0504108	0.0540526	0.0106613	0.00812516	0.0252275	0.00203116	0.167821
í	0.310349	0.411935	0.118408	0.0232317	0.0254155	0.0254165	0.00300433	0.0822389
i	0.069771	0.454694	0.163716	0.160727	0.0610623	0.0365941	0.0122324	0.041203
l	0.00706427	0.968732	0.0120309	0.00664058	0.00108236	0.000531967	0.000362039	0.00355603
ώ	0.000668093	0.996475	0.00149807	0.00116916	0.000101883	1.50227e-05	1.39124e-05	5.90794e-05
b	0.000829762	0.963761	0.00801019	0.0164592	0.0057185	0.000522359	0.00151106	0.00318777
h	0.0314598	0.406071	0.158976	0.124489	0.212167	0.0491087	0.00375987	0.0139693
ώ	0.0154445	0.111118	0.22545	0.15021	0.230224	0.0841698	0.00774188	0.175643
a	0.00558309	0.000702014	0.335129	0.260959	0.257625	0.100875	0.00762436	0.0315017
s	0.00103933	0.00498335	0.0669394	0.390676	0.432929	0.0480808	0.0459692	0.00938275
w	0.00199878	0.00287496	0.0107781	0.621104	0.194892	0.0653991	0.0567163	0.0462366
é	0.000663109	5.61136e-05	0.00342218	0.854028	0.0543932	0.0137088	0.0689351	0.00479308
s	5.74049e-05	0.000655593	0.0110313	0.400143	0.359365	0.101521	0.0564851	0.0707409
é	0.000774934	0.00102917	0.0105094	0.350909	0.231785	0.0632649	0.0507081	0.291019
t	0.00130698	0.000634544	0.049469	0.0332151	0.20628	0.34955	0.128456	0.231089
ó	0.000764927	0.00133773	0.00224369	0.0440753	0.135768	0.0591967	0.492225	0.264389
n	0.000125874	0.00172488	0.00298448	0.0204735	0.0396246	0.0308259	0.729885	0.174356
g	0.00120433	0.0116033	0.011802	0.0203296	0.105461	0.207624	0.398827	0.243149
o	0.00181937	0.000558317	0.00178258	0.00469583	0.00803848	0.0209506	0.885105	0.0770503
</S>	0.00104483	0.00123531	0.00555538	0.00742676	0.0371778	0.1028	0.102638	0.742122
