 	il	peut	soulever	cette	calebasse	</S>
w	0.94365	0.0142536	0.0229811	0.0115206	0.00747626	0.000118351
a	0.862949	0.0209462	0.0124882	0.0910465	0.0123914	0.000178812
l	0.532425	0.245009	0.0537198	0.110714	0.0262657	0.0318661
á	0.145071	0.0309469	0.0538647	0.149593	0.027811	0.592714
a	0.404108	0.0823824	0.138166	0.188563	0.0564076	0.130373
b	0.0343037	0.871995	0.0578969	0.0127439	0.00637185	0.0166891
h	0.135275	0.81984	0.0107256	0.0287864	0.00127854	0.00409472
e	0.0193575	0.959744	0.0121345	0.00493642	0.000940435	0.00288705
r	0.0589214	0.82504	0.0558906	0.0373456	0.00378466	0.0190173
á	0.070891	0.270377	0.165908	0.368129	0.00882078	0.115875
o	0.0149303	0.0529289	0.573401	0.234213	0.116315	0.00821189
n	0.00349433	0.0684392	0.595214	0.101035	0.216183	0.0156354
y	0.00101739	0.00472912	0.962592	0.0137817	0.00841732	0.00946219
á	0.000243043	0.00877746	0.940925	0.0139274	0.0290692	0.00705778
r	0.00330175	0.0266184	0.533196	0.224471	0.0570137	0.155399
á	0.0131545	0.131615	0.399144	0.202362	0.103025	0.150699
t	0.0129506	0.0176529	0.11646	0.417528	0.169357	0.266052
s	0.00478542	0.00852537	0.0288817	0.166178	0.643438	0.148192
o	0.000595798	0.0133653	0.0234663	0.138961	0.746769	0.0768429
o	0.00306222	0.0346902	0.0701302	0.110626	0.550347	0.231144
y	0.00130509	0.00960895	0.0258782	0.167433	0.0363917	0.759383
é	0.0124423	0.0121571	0.0616457	0.430078	0.176624	0.307053
</S>	0.00365274	0.00299062	0.0324881	0.22113	0.241198	0.498541
