 	le	malade	agonise	</S>
o	0.626394	0.370469	0.00290034	0.000236485
k	0.06269	0.922512	0.0107411	0.00405669
ω	0.0243151	0.957384	0.010106	0.00819493
n	0.0252055	0.967199	0.0064845	0.00111126
í	0.278419	0.697906	0.00836606	0.0153097
ó	0.580958	0.328253	0.0541014	0.0366879
b	0.560733	0.0370723	0.251821	0.150374
h	0.286279	0.216477	0.25256	0.244684
i	0.372341	0.262545	0.147444	0.21767
m	0.229241	0.0350866	0.454499	0.281173
ó	0.496971	0.0317255	0.358276	0.113028
l	0.15473	0.0226226	0.251628	0.571019
e	0.0193279	0.00744325	0.15413	0.819099
k	0.0438363	0.0246926	0.218014	0.713457
ú	0.0353885	0.160112	0.32646	0.478039
</S>	0.0620726	0.135937	0.193516	0.608474
