 	elle	brasse	la	pâte	</S>
w	0.965194	0.000750298	0.032593	0.000298638	0.00116412
a	0.969891	0.000197413	0.0294452	0.000275773	0.000190439
l	0.856308	0.074503	0.0412838	0.00526403	0.0226415
á	0.506276	0.112512	0.103672	0.00273848	0.274802
a	0.659318	0.0417293	0.151952	0.00819498	0.138806
t	0.010592	0.982563	0.00248536	0.0012664	0.00309288
s	0.0042518	0.98752	0.00244907	0.000561883	0.00521732
ώ	0.00851233	0.987844	0.00166568	0.000871115	0.00110707
m	0.0554615	0.447759	0.363069	0.00882086	0.124889
b	0.0185565	0.259718	0.461148	0.00332994	0.257248
ώ	0.0229662	0.0530516	0.848955	0.000455661	0.0745713
s	0.011265	0.00981721	0.964866	0.0044682	0.00958352
ώ	0.00495289	0.0865955	0.798348	0.00474704	0.105357
p	0.0108582	0.0680918	0.435661	0.381531	0.103858
ω	0.00395928	0.00672445	0.00285138	0.964909	0.0215557
t	0.00139646	0.0128251	0.00421169	0.974567	0.00699978
ω	0.00874704	0.0524594	0.0328161	0.722759	0.183219
p	0.00721617	0.00572143	0.126475	0.547828	0.31276
ώ	0.00805286	0.0118889	0.00746445	0.876504	0.0960896
t	0.000878474	0.00431956	0.0228426	0.842797	0.129162
ω	0.00271046	0.0185752	0.00696663	0.771836	0.199912
</S>	0.0023972	0.00424046	0.0414758	0.454045	0.497842
