 	son	aîné	lui	a	flanqué	une	taloche	sur	la	tête	</S>
o	0.767802	0.213814	0.00942625	0.00305159	0.000261959	0.00426192	0.000556484	0.000578171	0.000176395	5.5081e-05	1.6223e-05
n	0.118638	0.819929	0.0167917	0.00655214	0.0164409	0.0014366	0.0137775	0.000948283	0.000760432	0.00167678	0.00304789
y	0.0068908	0.797745	0.0044626	0.00354823	0.174484	0.00396161	0.00546828	0.000480076	0.00208909	0.000386261	0.000484704
ε	0.0121198	0.737414	0.00359907	0.00343244	0.2363	0.00228936	0.00319978	0.00048554	0.000707525	0.000226768	0.000226537
b	0.043034	0.800695	0.0130823	0.00321824	0.106125	0.00556098	0.0102714	0.00225784	0.00639988	0.00226564	0.00708933
h	0.627918	0.121768	0.00696453	0.00106225	0.00495334	0.00832881	0.0389265	0.0135616	0.00325467	0.00433575	0.168926
í	0.244784	0.0472832	0.0243651	0.00331885	0.00998845	0.0218174	0.0398679	0.0587073	0.0121284	0.00472315	0.533016
á	0.0739821	0.0126797	0.605159	0.262305	0.0227229	0.00842383	0.000196077	0.00293479	0.00148736	0.000655421	0.00945404
y	0.0190153	0.00525731	0.105665	0.346991	0.436561	0.0349416	0.00769157	0.0058601	0.00555955	0.00194848	0.0305087
a	0.00473439	0.00313185	0.0191154	0.0162652	0.946735	0.00333003	0.00176897	0.000522948	0.000955133	0.000181036	0.00325956
n	0.0102993	0.0133077	0.0193706	0.0381845	0.873886	0.0127002	0.00263737	0.00255725	0.00718121	0.000660947	0.019215
d	0.0329196	0.0419776	0.126088	0.15605	0.570343	0.038426	0.0132065	0.00662741	0.0037639	0.00126792	0.0093297
z	0.0250584	0.0211044	0.0628993	0.0429096	0.770083	0.0212284	0.0281645	0.00434971	0.00490417	0.00119268	0.0181059
i	0.120313	0.0196813	0.118957	0.0407699	0.461552	0.05861	0.0755353	0.0214721	0.0081124	0.00415993	0.0708377
w	0.125522	0.00253381	0.334417	0.364567	0.0222727	0.124007	0.00112836	0.00734796	0.00354674	0.00114357	0.0135139
á	0.133843	0.010165	0.3389	0.167537	0.00432053	0.185248	0.0147394	0.0745692	0.014042	0.00356945	0.053067
o	0.0476057	0.00148123	0.148852	0.179739	0.0190195	0.43808	0.0556214	0.03396	0.0164954	0.00673834	0.0524073
k	0.0030242	0.00106515	0.0059001	0.0252164	0.164894	0.131587	0.625162	0.0145765	0.00946087	0.0123079	0.00680678
o	5.46479e-05	0.000368232	0.000163502	0.000870002	0.00484926	0.0190881	0.957081	0.00755847	0.00267048	0.00376081	0.00353563
n	0.000359761	0.000296587	0.000679829	0.00244106	0.0196893	0.0455477	0.889586	0.0205535	0.00924113	0.00527047	0.00633455
o	0.000774533	0.000129057	0.000692712	0.00286092	0.00527803	0.0240011	0.912526	0.0178612	0.00492001	0.00147838	0.0294781
o	0.0229602	0.0017036	0.0180565	0.0280504	0.00135698	0.209729	0.152669	0.418491	0.0883556	0.0255741	0.0330536
s	0.00261213	0.000153997	0.00314795	0.00796985	0.00283108	0.02131	0.0511131	0.249287	0.33352	0.212333	0.115721
í	0.00211616	0.00229659	0.00249818	0.00594969	0.00561489	0.00528261	0.0107837	0.0393297	0.536861	0.22685	0.162418
b	0.0065059	0.00321679	0.00348121	0.00821318	0.000800674	0.00898007	0.00827959	0.0954691	0.628788	0.117495	0.11877
o	0.0122371	0.0078027	0.00224942	0.00271815	4.51078e-05	0.0104475	0.015603	0.0919953	0.381532	0.406779	0.0685905
ó	0.00110343	0.000211913	0.000303708	0.000920996	0.000159579	0.00631875	0.0223772	0.0812258	0.106771	0.474469	0.306139
</S>	0.00266037	0.000131699	0.0050973	0.0141703	0.000796034	0.0142848	0.00206616	0.104033	0.254879	0.149033	0.452849
