 	les	étangs	de	la	brousse	commencent	à	sécher	</S>
a	0.912144	0.0612032	0.0190747	0.00404515	0.00276289	5.44057e-05	0.000421088	0.000259015	3.51212e-05
t	0.231802	0.700777	0.0396449	0.0127618	0.00391542	0.000585908	0.00168576	0.00452896	0.00429827
e	0.0111687	0.973763	0.0064835	0.00474834	0.00138137	0.000675379	0.000206423	0.000150058	0.00142292
n	0.0334213	0.912055	0.032091	0.00958151	0.00417498	0.00180353	0.000716801	0.000265292	0.00589058
d	0.116335	0.858977	0.0100759	0.00489281	0.000666582	0.000669754	0.00025177	0.000116115	0.00801526
e	0.130124	0.648038	0.104563	0.0284393	0.00163555	0.00283936	0.00152176	0.000269364	0.0825694
á	0.0748022	0.0355583	0.76387	0.0852981	0.0267127	0.00349396	0.00353337	0.000189517	0.00654233
b	0.0201175	0.00242954	0.203232	0.55144	0.149769	0.0228615	0.0228492	0.00253307	0.0247682
h	0.0133889	0.01435	0.0940538	0.395939	0.367649	0.0692247	0.0330963	0.00143169	0.0108668
i	0.0309502	0.0142044	0.131699	0.358476	0.379868	0.0442669	0.0247755	0.000691788	0.0150691
m	0.0325577	0.00582593	0.152509	0.322065	0.32704	0.0720279	0.0391642	0.00390195	0.0449087
á	0.0198991	0.00122406	0.0580019	0.0946021	0.0420797	0.670304	0.0770722	0.00615636	0.0306607
a	0.045052	0.00482307	0.0708812	0.161291	0.151017	0.219288	0.172218	0.114374	0.0610567
w	0.00514222	0.00574888	0.0212868	0.0620899	0.213546	0.338997	0.275939	0.0197333	0.0575172
ó	0.00237558	0.0173247	0.0183574	0.0524705	0.130441	0.394449	0.283891	0.020768	0.079923
m	0.000820412	0.00207189	0.0173361	0.0289087	0.170583	0.288519	0.306464	0.0272577	0.158039
a	0.00590693	0.00178755	0.0136726	0.0169231	0.0366256	0.305046	0.305076	0.00639282	0.308569
</S>	0.0124317	0.00111916	0.0157484	0.0145669	0.029705	0.0334997	0.260113	0.165077	0.467739
