 	il	n'	est	pas	aussi	gros	que	lui	</S>
w	0.537078	0.0655892	0.0559621	0.121095	0.146575	0.040242	0.0280249	0.00278501	0.00264848
a	0.613439	0.0527277	0.0135543	0.0369282	0.0434986	0.092908	0.0676841	0.0772528	0.00200754
á	0.11946	0.303911	0.0789732	0.0789982	0.0378875	0.0904127	0.120768	0.0622941	0.107295
d	0.0274159	0.270129	0.172839	0.0605865	0.0445109	0.0397093	0.131131	0.0484803	0.205199
í	0.0043505	0.22104	0.119998	0.0317976	0.0312243	0.0364222	0.0158985	0.0161688	0.5231
ω	0.00538441	0.110535	0.16578	0.143727	0.119954	0.0750679	0.0593377	0.0174133	0.302801
d	0.00985806	0.0714035	0.12516	0.136737	0.19164	0.173051	0.103692	0.101873	0.0865854
z	0.000742598	0.0723125	0.0615667	0.0532774	0.139894	0.0475665	0.0332778	0.0594557	0.531907
á	0.032081	0.135449	0.0953154	0.0571227	0.0801531	0.0738228	0.0255168	0.177302	0.323237
ω	0.00859138	0.0584596	0.177726	0.155982	0.198286	0.08849	0.0533458	0.0348043	0.224315
n	0.00145717	0.028989	0.0672205	0.0821717	0.124761	0.185624	0.218165	0.0872151	0.204396
έ	0.00200997	0.00402395	0.00666271	0.0276822	0.105674	0.39494	0.0639892	0.172131	0.222887
m	0.000820076	0.0126575	0.029882	0.0898495	0.0984364	0.276716	0.258305	0.0924088	0.140925
b	0.0248306	0.0180878	0.121644	0.236381	0.231793	0.0789322	0.0440317	0.0841326	0.160167
v	0.0058868	0.00304553	0.0545737	0.127601	0.481411	0.195727	0.0380167	0.0237214	0.0700171
a	0.00557146	0.00248628	0.0169017	0.0690499	0.24848	0.331872	0.0433244	0.0539035	0.228411
l	0.00323977	0.00244614	0.0087764	0.0423976	0.0723004	0.329985	0.18319	0.0549974	0.302668
a	0.0035838	0.00368575	0.011476	0.0260486	0.0225164	0.219971	0.404002	0.155533	0.153183
w	0.00445661	0.00309058	0.00740042	0.0339008	0.00744611	0.137441	0.404957	0.260534	0.140774
a	0.00324595	0.00310008	0.0182052	0.0232061	0.0446429	0.120934	0.494938	0.245739	0.0459883
k	0.00120177	0.00184506	0.00800035	0.0252414	0.0147216	0.0650219	0.277649	0.114898	0.491421
a	0.000532495	0.00241017	0.00902105	0.0136488	0.0871469	0.128214	0.455065	0.0691707	0.234791
á	0.000164893	0.000938197	0.00186471	0.00260511	0.0114051	0.034901	0.0912379	0.0236301	0.833253
</S>	0.00420163	0.010522	0.0254933	0.0145618	0.0113983	0.0405152	0.200173	0.106838	0.586297
