 	la	manière	dont	cette	enfant	vomit	il	a	certainement	des	ascaris	</S>
e	0.343855	0.339033	0.209025	0.0455227	0.0205325	0.00610823	0.00111082	0.00135196	0.00751711	0.00526332	0.00737275	0.0133074
l	0.000765342	0.0262924	0.0136763	0.0287223	0.0164895	0.00656977	0.0853613	0.29897	0.31192	0.0959895	0.110206	0.0050375
ú	0.000545418	0.107213	0.0650713	0.0099862	0.0143055	0.019568	0.152845	0.4049	0.0892807	0.0287751	0.0299214	0.0775886
ú	0.00087323	0.0453724	0.0302543	0.0944764	0.0173	0.00997334	0.138261	0.426126	0.116961	0.0496718	0.0433198	0.0274096
l	0.0267501	0.0484953	0.0355362	0.0663949	0.0860648	0.0391831	0.159072	0.116102	0.0502115	0.067831	0.0464184	0.257941
u	0.0453429	0.0174652	0.0152019	0.0768422	0.0567508	0.0144951	0.0448208	0.0639351	0.183497	0.0789162	0.0135046	0.389228
y	0.12704	0.184103	0.16871	0.131623	0.0155747	0.0198831	0.0670468	0.0582561	0.037547	0.0815387	0.0101459	0.0985308
é	0.112099	0.176079	0.334683	0.0550502	0.00776453	0.0135336	0.054444	0.056537	0.0269274	0.0436794	0.00706243	0.112141
é	0.0512727	0.136728	0.209296	0.0677134	0.0196627	0.026165	0.0787783	0.0760225	0.0298326	0.0622236	0.0115901	0.230715
d	0.00854267	0.0259798	0.193504	0.018743	0.018197	0.0639917	0.106914	0.156774	0.0270088	0.0738593	0.0407438	0.265742
í	0.00184639	0.0169862	0.183836	0.100676	0.0114386	0.040217	0.151014	0.221385	0.0758064	0.111361	0.00867078	0.0767634
l	0.0117394	0.044092	0.192547	0.141502	0.0263592	0.0264169	0.101143	0.130997	0.0575308	0.151382	0.0167063	0.0995851
a	0.00327765	0.0132553	0.117126	0.170915	0.0430095	0.107836	0.146561	0.0837067	0.0358979	0.0517474	0.0089872	0.21768
m	0.0216523	0.00784301	0.0655566	0.170782	0.0942467	0.21089	0.187091	0.0584824	0.0434369	0.0328429	0.0100768	0.0970992
w	0.00118102	0.00170679	0.0134287	0.0429066	0.26618	0.192166	0.362267	0.0747227	0.0189495	0.0162936	0.00103563	0.009162
á	0.00010607	0.000322039	0.0054711	0.00330192	0.965836	0.00473608	0.0099719	0.00242993	0.00116516	0.000814139	0.000157204	0.00568881
n	0.00228012	0.00088776	0.00311605	0.0401107	0.930555	0.00556094	0.00999425	0.00170782	0.00117664	0.00109747	0.000392867	0.0031201
a	0.00515453	0.0017506	0.00653908	0.0695817	0.849468	0.0257926	0.0170679	0.00321606	0.00355399	0.00255959	0.000661005	0.0146545
w	0.00466132	0.00486057	0.029085	0.238656	0.0419849	0.158534	0.225808	0.15195	0.0501615	0.0850773	0.00372768	0.00549393
ó	0.0103502	0.0167806	0.0770771	0.186987	0.0512813	0.0970036	0.201833	0.0786871	0.0405034	0.144807	0.0168368	0.0778525
a	0.00477911	0.00410698	0.0143171	0.0421409	0.00272492	0.0276818	0.147639	0.186363	0.0973159	0.260201	0.083752	0.128978
d	0.00109615	0.00364902	0.0131947	0.00324708	0.000579579	0.0187337	0.0545507	0.351668	0.148789	0.251611	0.11304	0.0398405
í	0.00079595	0.00280427	0.0072347	0.010422	0.000936901	0.00638364	0.0430441	0.319713	0.131563	0.253611	0.0373217	0.186169
i	0.00463437	0.00154434	0.00239924	0.0307059	0.00453376	0.00189695	0.0146819	0.0957979	0.32972	0.335387	0.107098	0.0715995
n	0.0014276	0.00284273	0.00453627	0.00708232	0.0112815	0.0167347	0.0167057	0.0568394	0.12926	0.0800181	0.523789	0.149483
g	0.00281712	0.00352418	0.00852217	0.0198024	0.00326165	0.00537925	0.0255303	0.12881	0.432566	0.175862	0.0948879	0.0990375
u	0.000723641	0.00295236	0.00639026	0.0152328	0.00674012	0.00749526	0.0251037	0.0678694	0.537002	0.263851	0.0388403	0.0277998
á	5.55887e-05	0.000112767	0.000393902	0.00767639	0.0044696	0.00351547	0.0270735	0.0672858	0.491952	0.259856	0.0881131	0.0494964
o	0.000688201	0.00154733	0.00468306	0.0243993	0.000767487	0.00199751	0.0233034	0.0550802	0.316685	0.38307	0.0870077	0.100771
k	0.000215132	0.00224883	0.00497413	0.00318175	0.000229674	0.000674305	0.00612676	0.0411157	0.0892504	0.137041	0.642254	0.0726885
á	5.58895e-06	0.000275595	0.000478912	3.92324e-05	2.50379e-05	8.67797e-06	0.000401411	0.00456433	0.0040956	0.0135814	0.934698	0.0418265
m	5.9996e-05	0.000280658	0.00118585	0.0019637	0.00064093	0.00128073	0.0155963	0.0497512	0.0112315	0.0400632	0.704037	0.173909
b	0.000685097	0.00149686	0.00236719	0.0164929	0.00328944	0.000351826	0.0141989	0.0381521	0.0572343	0.173175	0.257278	0.435279
a	0.00510955	0.00657071	0.0104614	0.00475708	0.00106036	0.000158668	0.0124686	0.0475287	0.0249909	0.0500371	0.311263	0.525594
έ	0.00407924	0.00217997	0.00885657	0.0452974	0.00605622	0.00459513	0.0460766	0.0567287	0.15989	0.277657	0.126926	0.261657
</S>	0.00309114	0.0109323	0.037797	0.0323349	0.00243566	0.00377249	0.0220366	0.047108	0.144735	0.274347	0.0743081	0.347101
