 	il	y	a	de	la	clameur	là-bas	dans	le	village	</S>
b	0.165446	0.204837	0.122003	0.0591622	0.100924	0.101563	0.201256	0.0115344	0.0281488	0.00307133	0.00205452
v	0.0471601	0.0563222	0.0334582	0.0557128	0.0766267	0.623131	0.0911686	0.00411801	0.0105923	0.000107663	0.00160284
ú	0.00727324	0.0357044	0.00869378	0.0220371	0.0166569	0.850843	0.00341839	0.0295295	0.0231629	0.00165794	0.00102301
n	0.00636718	0.0174378	0.0348355	0.139774	0.0846829	0.637443	0.035573	0.0169723	0.00969886	0.000293951	0.0169221
d	0.0363517	0.0296064	0.0334132	0.167026	0.363118	0.196356	0.0243739	0.0219271	0.0404279	0.00197034	0.0854286
u	0.0273679	0.0474361	0.0248376	0.121752	0.226751	0.422822	0.00535527	0.0215896	0.0283678	0.00183025	0.0718912
ó	0.0767745	0.140501	0.138786	0.0794999	0.281979	0.086568	0.0995219	0.0221731	0.0460772	0.00427414	0.023846
d	0.0551997	0.105421	0.150522	0.110279	0.0718804	0.00913732	0.060563	0.194265	0.178988	0.0184728	0.0452724
i	0.00209022	0.00709163	0.0406534	0.121718	0.0196097	0.00181151	0.010483	0.356843	0.126643	0.000233917	0.312823
s	0.00311579	0.0198074	0.0855915	0.0961661	0.0522917	0.0062739	0.018032	0.435945	0.202625	0.0242011	0.0559504
á	0.000717873	0.00254216	0.00582229	0.0212167	0.0119779	0.00145019	0.00655523	0.374505	0.443132	0.00190878	0.130171
p	0.00235349	0.00166805	0.00376894	0.0146673	0.0422585	0.00787439	0.0291027	0.0813709	0.250909	0.539072	0.0269544
o	0.00119389	0.00167052	0.00191172	0.00644066	0.00594831	0.00897507	0.0230704	0.0283056	0.0288583	0.863981	0.029645
o	6.33834e-05	0.000371966	0.000591564	0.00137717	0.0015538	0.00124502	0.00191812	0.0127205	0.00968917	0.946028	0.024441
p	0.00149281	0.00762048	0.0154801	0.0131755	0.0116718	0.00146464	0.0219325	0.22808	0.29611	0.0289804	0.373992
é	0.00504747	0.0187929	0.0194084	0.0384846	0.0352253	0.0073921	0.0231827	0.234397	0.215362	0.167145	0.235562
</S>	0.000823597	0.00176248	0.00434412	0.0102296	0.0062306	0.000911081	0.0153388	0.11116	0.0744992	0.128506	0.646195
