 	le	père	fait	suivre	le	chemin	de	l'	école	à	ses	enfants	</S>
t	0.350788	0.647248	0.000444484	0.000144897	0.000324693	0.000275645	0.000164094	0.000229269	0.000197901	5.81025e-05	0.000100164	2.3576e-05	5.66968e-07
á	0.0544497	0.942646	0.00030755	0.000149474	0.000370167	0.000545567	0.000371381	0.00038472	0.000373644	0.000110993	0.000259079	2.55263e-05	6.36046e-06
á	0.0188316	0.933008	0.0142285	0.010744	0.00224225	0.00363572	0.00241731	0.00308617	0.00300919	0.00326322	0.00219362	0.0020266	0.00131345
l	0.0543465	0.145017	0.638701	0.0251527	0.0119567	0.00630232	0.0136679	0.00582708	0.00302504	0.0159882	0.00305035	0.00133568	0.0756303
á	0.00845036	0.0338931	0.623756	0.0547874	0.0279018	0.016664	0.0306071	0.0168527	0.00880481	0.0273867	0.0057676	0.00424509	0.140884
a	0.248151	0.0253194	0.244139	0.231901	0.0471271	0.0313021	0.0255242	0.0267471	0.00886632	0.0252508	0.00813261	0.00593596	0.0716034
l	0.00434459	0.000485954	0.206201	0.746719	0.0106707	0.00759834	0.00236171	0.00171152	0.00471628	0.00256416	0.000647007	0.00167701	0.0103027
ω	0.00289897	5.50297e-05	0.127615	0.850564	0.00348341	0.0017324	0.000850041	0.000616738	0.00116295	0.00176992	0.000233298	0.00107834	0.00793988
n	0.00420575	0.000639461	0.037198	0.895192	0.0122064	0.014974	0.0032255	0.00292236	0.0118053	0.00495217	0.000596258	0.000511925	0.011571
d	0.0250312	0.00417837	0.232659	0.609364	0.0538422	0.0275433	0.0116891	0.00950695	0.006243	0.0070953	0.00219274	0.000690039	0.00996451
ώ	0.155053	0.00225256	0.270709	0.423659	0.0607851	0.0248919	0.011526	0.0112352	0.00507141	0.00913574	0.00270954	0.000382381	0.0225889
s	0.0205489	0.000532407	0.050312	0.139333	0.415274	0.240977	0.0348235	0.0311031	0.011858	0.0133956	0.0282899	0.00514594	0.00840721
ώ	0.00639639	0.000174272	0.0207428	0.266857	0.253106	0.18212	0.093628	0.0474803	0.0218382	0.0303315	0.0165134	0.00243904	0.0583732
b	0.00507114	0.00135686	0.0378377	0.121618	0.252649	0.324189	0.0506348	0.0380624	0.0311329	0.0175914	0.0324905	0.0722435	0.0151215
á	0.011372	0.00382945	0.0166001	0.0317833	0.212222	0.252982	0.107767	0.0615371	0.0561372	0.0282728	0.0646433	0.141557	0.0112971
n	0.00685515	0.00498761	0.0179676	0.0128077	0.270021	0.186896	0.108325	0.0592938	0.0468115	0.028527	0.0730615	0.135024	0.0494224
a	0.0108356	0.00176691	0.0296328	0.0217381	0.268912	0.173569	0.0911515	0.0694583	0.0133013	0.0386907	0.0433471	0.14486	0.0927363
k	0.0121913	0.000123948	0.0239767	0.0136175	0.316607	0.301111	0.164254	0.0861072	0.0293524	0.0184771	0.0144661	0.00463666	0.0150802
ó	0.0021251	0.00178957	0.00319975	0.017055	0.0523009	0.268877	0.106432	0.0810064	0.357927	0.0232908	0.00794988	0.016613	0.0614327
ó	0.000766663	3.62869e-05	0.00104647	0.00252218	0.00815889	0.0699054	0.0335238	0.0226506	0.80976	0.0121001	0.00399314	0.02526	0.0102767
y	0.000481509	1.57604e-05	0.0056622	0.00381555	0.0256048	0.0370686	0.274808	0.204021	0.249049	0.145161	0.018779	0.00750266	0.0280313
a	0.00332586	1.98396e-05	0.00946802	0.0148926	0.0359083	0.0694272	0.155827	0.1859	0.137238	0.21771	0.059666	0.0107486	0.0998679
l	0.021246	4.93493e-05	0.00541081	0.00134126	0.0163222	0.0386832	0.118361	0.219595	0.106423	0.164825	0.156949	0.113272	0.0375218
e	0.0047106	3.63443e-05	0.00501698	0.00941654	0.0188934	0.0377723	0.118099	0.145303	0.106943	0.275521	0.0689301	0.0425931	0.166764
k	0.000754293	1.22705e-05	0.00174014	0.00258324	0.0121309	0.0350249	0.097717	0.225784	0.213021	0.233076	0.0659343	0.0192204	0.0930018
ώ	0.000204446	5.01834e-05	0.00196978	0.00567097	0.0105745	0.0418594	0.0519596	0.0586217	0.473274	0.146691	0.0514501	0.0872379	0.0704358
ώ	0.000248323	5.32783e-06	0.000161811	0.00113076	0.00690622	0.0454042	0.0238835	0.0419702	0.595926	0.0517727	0.100389	0.0960489	0.0361534
l	0.00136154	1.3931e-05	0.000835837	0.000593241	0.0110598	0.00748411	0.069542	0.0933632	0.0386606	0.38276	0.273478	0.0191363	0.101711
i	0.00196976	3.4511e-05	0.00419342	0.00944825	0.0239761	0.0281915	0.0935508	0.152135	0.0537305	0.234756	0.125216	0.0375541	0.235244
</S>	0.026554	8.21639e-05	0.00299106	0.000721821	0.00931535	0.0136089	0.0463473	0.0711077	0.0192521	0.246174	0.258327	0.0313317	0.274187
