 	c'	est	aujourd'	hui	qu'	il	arrive	</S>
p	0.400688	0.135075	0.19884	0.193422	0.0400116	0.0274703	0.00129791	0.00319474
á	0.251915	0.252817	0.220167	0.126997	0.0712916	0.0336153	0.0325864	0.0106096
b	0.0784504	0.381955	0.182935	0.157093	0.0508904	0.0168845	0.014237	0.117555
h	0.0402371	0.14707	0.45132	0.285327	0.0278708	0.00983292	0.0255746	0.0127679
a	0.122474	0.108337	0.288883	0.388935	0.0395239	0.0083563	0.00697312	0.0365165
é	0.133704	0.131985	0.36184	0.159899	0.0973445	0.0451083	0.0159907	0.0541278
d	0.175744	0.121283	0.145512	0.0706691	0.166401	0.0898825	0.0773961	0.153111
í	0.0245225	0.0341749	0.00584957	0.00299547	0.0480049	0.021019	0.0284469	0.834987
ω	0.0175384	0.0343593	0.142078	0.198813	0.174601	0.151621	0.0721376	0.208851
k	0.00927886	0.0231628	0.0132707	0.0134091	0.0623412	0.132593	0.514478	0.231466
ω	0.00476981	0.0158538	0.0197959	0.0196238	0.0244068	0.0291414	0.599393	0.287015
ω	0.000867922	0.00890395	0.0664478	0.050273	0.0756982	0.108845	0.38613	0.302834
m	0.0131135	0.0165213	0.0801432	0.018637	0.272776	0.200098	0.169092	0.229619
ώ	0.0337994	0.0388119	0.0527152	0.0145773	0.212358	0.198557	0.234236	0.214946
ώ	0.00440145	0.00487773	0.0169869	0.0206127	0.109207	0.246939	0.260078	0.336898
y	0.0117807	0.0164054	0.0127004	0.00956164	0.0203804	0.074539	0.49701	0.357623
a	0.0131289	0.0329666	0.00434816	0.00139312	0.0340269	0.0688884	0.104819	0.740429
á	0.00237019	0.00200063	0.0025544	0.00121429	0.075812	0.143716	0.0577926	0.71454
w	0.00852426	0.0144593	0.0685866	0.0272796	0.137632	0.286196	0.21752	0.239802
a	0.00427084	0.00865385	0.0699075	0.0849268	0.175446	0.267994	0.299385	0.0894156
</S>	0.00253537	0.00236277	0.0251017	0.0391744	0.106959	0.185177	0.21053	0.428159
