 	il	a	contourné	ma	parcelle	parce	qu'	il	me	doit	de	l'	argent	</S>
w	0.849064	0.048146	0.0113858	0.0129603	0.0244255	0.0186287	0.0190867	0.00828585	0.00343585	0.00210949	0.000643399	0.00151697	0.00027061	4.11808e-05
a	0.832412	0.0319386	0.00930683	0.046328	0.0236131	0.0142207	0.00631911	0.013917	0.0133162	0.000610459	0.000545427	0.00170236	0.00575921	1.13893e-05
á	0.360811	0.469142	0.0311636	0.0281751	0.00953804	0.00435229	0.0312549	0.0236653	0.0177962	0.0062962	0.00639364	0.00558032	0.00399415	0.00183749
b	0.127282	0.505337	0.141963	0.0616636	0.0293813	0.0186119	0.00603609	0.0105766	0.0155617	0.0236243	0.0212746	0.0154512	0.00224232	0.0209942
h	0.0402154	0.152377	0.54998	0.0401913	0.029509	0.0381384	0.0204116	0.0279696	0.0233574	0.0284601	0.00980571	0.00516329	0.000929492	0.0334917
e	0.0265667	0.124326	0.766349	0.0270868	0.021392	0.0160289	0.00119417	0.00197075	0.00218421	0.00750694	0.00309293	0.00132927	0.000179631	0.000793582
n	0.00604215	0.0689025	0.74885	0.0563682	0.0595445	0.0131638	0.00208479	0.00206302	0.00213714	0.00732902	0.00953979	0.00473969	0.00207366	0.0171616
d	0.114609	0.187659	0.359102	0.175744	0.0406651	0.0118305	0.0224565	0.0210344	0.0220316	0.00537235	0.00614899	0.0078049	0.00292499	0.0226175
i	0.0188165	0.100409	0.464457	0.295786	0.0315462	0.0051574	0.00529836	0.010992	0.0373118	0.00256511	0.00383941	0.00491171	0.0034721	0.0154369
e	0.0779039	0.098306	0.120744	0.302495	0.155396	0.0591245	0.0755586	0.0388449	0.016844	0.00890675	0.00845221	0.0158975	0.00679066	0.0147364
f	0.00949046	0.0261416	0.336685	0.175035	0.299496	0.10045	0.00682443	0.00620638	0.00307106	0.0108163	0.00787552	0.00387319	0.00863751	0.00539711
u	0.00252968	0.0346992	0.230339	0.0385421	0.320459	0.193567	0.00752254	0.00640575	0.00209266	0.0712112	0.041483	0.0101975	0.00594874	0.0350025
