 	elle	balaya	sous	le	lit	</S>
w	0.993002	0.00319529	0.000366764	0.00305331	0.000291365	9.17747e-05
a	0.955356	0.00612129	0.00246483	0.0311208	0.00483175	0.000105627
a	0.328178	0.51402	0.0784029	0.0423167	0.00311139	0.0339706
w	0.0306719	0.852174	0.0617228	0.015544	0.00983798	0.0300496
ώ	0.0444667	0.830947	0.0315976	0.0202628	0.0101747	0.0625509
m	0.119281	0.331414	0.272763	0.0438219	0.012025	0.220694
b	0.0698621	0.450968	0.336186	0.0610695	0.00893133	0.0729832
í	0.232649	0.346918	0.126155	0.239682	0.0152283	0.0393677
t	0.148012	0.0481413	0.506035	0.221813	0.0577512	0.0182475
s	0.00442963	0.00700592	0.862114	0.0416913	0.0192023	0.0655568
é	0.000395704	0.00591292	0.914506	0.0568156	0.0130136	0.009356
y	0.00113159	0.0303253	0.785173	0.0511834	0.0463728	0.0858141
á	0.0077	0.00673004	0.63405	0.259149	0.0358576	0.0565135
o	0.0222427	0.0011973	0.0809379	0.67849	0.140897	0.0762346
b	0.000688934	0.00221689	0.0342898	0.0368206	0.892922	0.0330614
é	0.00275123	0.00317316	0.00898177	0.0273736	0.944114	0.0136066
é	0.000237071	0.00204731	0.11843	0.0473533	0.483808	0.348125
</S>	0.0021162	0.00273459	0.026051	0.252796	0.175353	0.540949
