 	les	femmes	élancées	ont	une	charme	irrésistible	</S>
a	0.82107	0.173462	0.00174214	0.00120761	0.00133958	0.000964344	0.000194397	2.02839e-05
y	0.50199	0.467208	0.0279512	0.000538586	0.000906458	0.000352712	0.000801031	0.000251909
ú	0.468922	0.101116	0.387153	0.00447486	0.00885634	0.00548362	0.0198866	0.00410714
r	0.277499	0.0692563	0.432255	0.00750772	0.0365324	0.0269691	0.125905	0.0240754
u	0.728363	0.156302	0.0793591	0.00710165	0.0114992	0.00523285	0.00488576	0.00725635
b	0.420359	0.0965871	0.34845	0.0483801	0.0155189	0.0154228	0.00692895	0.0483537
á	0.539852	0.126782	0.0830881	0.10863	0.0515532	0.0239703	0.0106021	0.0555219
d	0.134129	0.114469	0.505717	0.119929	0.0491315	0.0260586	0.0106168	0.0399497
z	0.0235118	0.00769535	0.856578	0.0297926	0.0256966	0.0227857	0.0127737	0.0211659
ó	0.0100099	0.00445364	0.964354	0.00405937	0.0100466	0.00327319	0.00180207	0.00200114
m	0.00684163	0.0033614	0.930113	0.0105038	0.0182493	0.00822224	0.0047058	0.0180033
b	0.00858365	0.00166995	0.899419	0.0257379	0.040956	0.0155726	0.00394149	0.00411942
o	0.0708421	0.00686956	0.6124	0.0537713	0.086172	0.0510597	0.0110767	0.107809
l	0.0317616	0.00426169	0.230138	0.45907	0.170864	0.0701385	0.0131338	0.0206318
o	0.0130287	0.000926401	0.207095	0.128426	0.283562	0.108761	0.096931	0.161271
d	0.00250961	0.00102981	0.422641	0.0896192	0.196052	0.114673	0.144311	0.0291651
z	0.00999099	0.00213691	0.450887	0.0290533	0.253499	0.133926	0.0762845	0.0442222
ó	0.00371442	0.00101195	0.782568	0.00765471	0.112133	0.0459151	0.0387765	0.00822655
m	0.00266417	0.000517489	0.14353	0.111119	0.410396	0.246101	0.0425526	0.0431197
b	0.00845216	0.000613069	0.0571492	0.101822	0.197815	0.489962	0.0362872	0.107898
o	0.0162747	0.00224937	0.0163641	0.0430769	0.245368	0.540376	0.0341364	0.102154
l	0.00326114	0.000511629	0.0349499	0.0605733	0.389934	0.200751	0.25079	0.059229
o	0.00721354	0.000472873	0.0246627	0.058817	0.300767	0.254025	0.231824	0.122218
á	0.000580497	0.000203868	0.00776347	0.034265	0.0738857	0.132316	0.607866	0.143119
d	0.00973798	0.00324109	0.0167208	0.0496968	0.0737703	0.193211	0.284712	0.36891
í	0.00179921	0.00261969	0.00626216	0.0196168	0.0338074	0.0649807	0.0717955	0.799118
l	0.00519947	0.000785414	0.00250467	0.0360442	0.043558	0.0662419	0.17192	0.673746
a	0.00154991	0.000778216	0.0107252	0.0101025	0.0237662	0.0345201	0.503518	0.41504
l	0.000807154	0.00042563	0.00534665	0.00825046	0.0233026	0.021709	0.789026	0.151132
e	0.00131427	0.000850105	0.00925059	0.00392755	0.0163813	0.0199933	0.837103	0.11118
d	0.000318259	0.000346275	0.0140515	0.00214994	0.0164383	0.0118531	0.68066	0.274183
i	0.000447781	0.000230317	0.0186679	0.00111665	0.0137625	0.021017	0.689421	0.255336
n	0.000392013	7.04473e-05	0.0102182	0.00282334	0.0251345	0.0343122	0.257766	0.669284
g	0.00100803	0.000333606	0.0160966	0.00631186	0.0909131	0.0468125	0.375766	0.462759
í	0.000201411	5.58208e-05	0.00345542	0.00199688	0.0519503	0.0239839	0.643388	0.274968
s	0.0038437	0.00070886	0.00745962	0.0143954	0.0526074	0.0484261	0.323081	0.549478
á	0.00214683	0.00149044	0.0163638	0.0141229	0.0566132	0.050322	0.203644	0.655296
</S>	0.0220696	0.00169836	0.0208066	0.0245622	0.0247416	0.0289651	0.456669	0.420488
