 	celui	qui	se	réveille	avant	réveille	les	autres	</S>
o	0.677816	0.173304	0.141672	0.00333356	0.000600325	0.00110839	0.00153853	0.000542029	8.45921e-05
l	0.018004	0.0169321	0.0715376	0.684046	0.135386	0.0409489	0.00400919	0.0171529	0.0119828
a	0.00487422	0.00591237	0.0238752	0.815241	0.114844	0.0316884	0.00127465	0.000776673	0.00151309
a	0.00357183	0.00896867	0.0442261	0.812068	0.108816	0.0102626	0.00133297	0.000956648	0.00979788
n	0.213153	0.229708	0.326978	0.0760721	0.0131739	0.0248825	0.0344821	0.0136861	0.0678644
g	0.27227	0.233935	0.16191	0.0458267	0.0134845	0.0850797	0.063256	0.00441169	0.119826
i	0.194631	0.226572	0.139482	0.183651	0.014316	0.181636	0.0258628	0.00399539	0.0298544
o	0.0897272	0.260283	0.277162	0.0741563	0.0338826	0.142445	0.0567894	0.00536498	0.0601896
b	0.00203416	0.00621236	0.0279491	0.22645	0.680643	0.0453104	0.00166688	0.00221515	0.00751902
o	0.00843749	0.0126218	0.0801659	0.0283148	0.747607	0.0336919	0.0028177	0.0712766	0.0150666
s	0.00685693	0.0101521	0.0488778	0.0784785	0.78126	0.0503498	0.00166032	0.00734625	0.0150187
ó	0.0268816	0.0256125	0.0586873	0.0701049	0.440628	0.223443	0.0389962	0.0081497	0.107497
l	0.0162526	0.0424204	0.0580142	0.0393562	0.0882485	0.490126	0.187413	0.00693901	0.07123
á	0.00521827	0.00628748	0.0161441	0.0259303	0.00793801	0.487714	0.0790872	0.00563349	0.366047
a	0.0450604	0.0359516	0.035955	0.00395453	0.00248489	0.344619	0.478125	0.0283154	0.0255341
l	0.00303008	0.00496539	0.0112956	0.0400012	0.0487906	0.75029	0.0685499	0.0120165	0.0610606
a	0.000661651	0.00273343	0.0174986	0.0824558	0.132669	0.624693	0.0501221	0.00896867	0.080198
n	0.000810378	0.00278516	0.0128677	0.0374157	0.241664	0.471635	0.122686	0.00599684	0.10414
g	0.000744036	0.00181288	0.00365723	0.0132234	0.00871311	0.69749	0.0856111	0.00577174	0.182976
í	0.0018256	0.00502369	0.00559683	0.00512904	0.00436977	0.713164	0.083095	0.0128732	0.168923
s	0.00101323	0.00198113	0.00179339	0.000106092	0.000263845	0.128447	0.677894	0.0796119	0.108889
á	0.000978359	0.00110915	0.000921882	0.00142991	0.00191266	0.292103	0.276252	0.0448403	0.380452
a	0.0103486	0.00995341	0.00393295	0.000236678	0.000692984	0.0651698	0.593632	0.262853	0.0531809
b	0.00154846	0.00184468	0.00226135	0.00206632	0.00271048	0.0902658	0.188731	0.551787	0.158785
i	0.00071993	0.0010972	0.00145331	3.01209e-05	0.000414528	0.00188277	0.0129937	0.974663	0.00674548
a	0.000616824	0.00242081	0.00447411	0.000776714	0.00261289	0.0101917	0.0912519	0.332443	0.555212
</S>	0.000868999	0.00291324	0.00325692	0.00123439	0.000649533	0.0190606	0.379677	0.114663	0.477676
