 	le	forgeron	garde	des	morceaux	de	fer	dans	la	caisse	</S>
o	0.868505	0.0844642	0.0289997	0.00698302	0.0034618	0.00365983	0.000759826	0.00180614	0.00133687	1.6509e-05	7.20311e-06
k	0.0658458	0.920057	0.00875962	0.000903498	0.000370265	0.000491551	0.000632151	0.000707701	0.000768404	0.000657471	0.000806867
u	0.00338274	0.991917	0.000631933	0.000212691	0.000121208	0.000508647	0.00093846	0.000844747	0.000450044	0.000164834	0.000827578
b	0.00096939	0.992854	0.0016537	0.000300427	0.000157574	0.000534924	0.00101521	0.000911262	0.000914504	0.000291195	0.000397851
h	0.210264	0.653603	0.0332078	0.0180366	0.007475	0.0188107	0.0146283	0.021491	0.0125301	0.00215185	0.0078019
a	0.548352	0.31925	0.0378963	0.020788	0.0108586	0.00993175	0.00547121	0.00766522	0.00552573	0.000259699	0.0340022
m	0.337118	0.131649	0.298452	0.0619621	0.0233931	0.0298186	0.0220282	0.0179339	0.0135028	0.00145993	0.0626824
ó	0.297456	0.00847194	0.257091	0.179838	0.10226	0.0509003	0.0187871	0.0140739	0.0324445	0.00947524	0.0292018
o	0.595051	0.00976501	0.182972	0.0886813	0.0263924	0.0222404	0.0152404	0.0127331	0.00854417	0.00331806	0.0350629
b	0.0481297	0.0568897	0.689339	0.129888	0.0256919	0.0121557	0.0123542	0.00445178	0.00221456	0.00350964	0.0153753
o	0.00352471	0.0598849	0.863323	0.0532871	0.0105563	0.00242711	0.00156453	0.000560378	0.000711357	0.000501299	0.00365914
m	0.00806411	0.0808476	0.849988	0.0328662	0.0050236	0.00425129	0.00326012	0.00159352	0.00119217	0.000491942	0.0124216
b	0.183327	0.0104389	0.413152	0.220946	0.0459111	0.0634605	0.0427007	0.00639918	0.0034193	0.00660846	0.00363709
á	0.0853028	0.0306829	0.276827	0.0952436	0.153202	0.130839	0.0628716	0.039402	0.0109903	0.007015	0.107624
i	0.00327637	0.000248888	0.0628078	0.41088	0.384961	0.102493	0.0156086	0.00780225	0.00677397	0.0005719	0.00457732
k	0.00786157	0.00265213	0.0245062	0.283257	0.268705	0.213101	0.140489	0.0247158	0.00394194	0.00336619	0.0274043
y	0.00361963	0.00966968	0.0955876	0.228569	0.0765388	0.237108	0.249973	0.0348374	0.00435164	0.00138244	0.058362
é	0.00141559	0.00746063	0.0402451	0.159469	0.165097	0.272145	0.212664	0.0582203	0.00893398	0.00155783	0.0727907
n	0.000793718	0.00374986	0.0361117	0.0801141	0.115955	0.282482	0.19981	0.0843078	0.016549	0.00169162	0.178435
i	0.00229751	0.0145887	0.013518	0.0798124	0.195504	0.251856	0.193016	0.0789096	0.0119417	0.00202018	0.156536
b	0.00217194	0.000397884	0.0214205	0.0734774	0.0996282	0.325083	0.242019	0.157832	0.0415554	0.00193355	0.0344809
í	0.00311712	0.00293947	0.0173433	0.0523051	0.0810322	0.138239	0.171658	0.158418	0.0754353	0.012747	0.286765
d	0.00376772	0.000193471	0.00655616	0.0273794	0.0753064	0.0911953	0.124042	0.249606	0.122235	0.0251411	0.274577
u	0.00101175	0.000192453	0.00139433	0.00426502	0.0238258	0.050579	0.177562	0.431382	0.0858632	0.139266	0.0846582
n	0.000211265	4.983e-05	0.000579686	0.00410029	0.0100956	0.0765777	0.400742	0.253101	0.0470461	0.103986	0.10351
g	0.000891296	0.00023878	0.00252122	0.00823156	0.021387	0.105757	0.332923	0.29792	0.106826	0.089024	0.0342809
a	0.00132928	4.34813e-05	0.00122912	0.00336035	0.018235	0.0870794	0.172988	0.448685	0.184971	0.056424	0.0256559
s	0.000705638	5.5344e-05	0.00108392	0.00342934	0.00766778	0.0336906	0.0714412	0.38339	0.152086	0.0285107	0.317939
á	0.000328181	5.97854e-05	0.0023065	0.00384474	0.00837148	0.0363971	0.0964819	0.376971	0.234736	0.0971802	0.143324
s	0.000933038	0.000260056	0.00086212	0.0018279	0.00335076	0.00915413	0.0168911	0.0999011	0.435276	0.374252	0.0572922
a	6.08259e-05	8.4462e-06	9.7941e-05	0.000229367	0.00119799	0.00206262	0.00607106	0.047284	0.0658679	0.859183	0.0179367
n	9.57585e-05	1.13431e-05	0.000203678	0.000569035	0.00203392	0.00762017	0.0185597	0.102167	0.262249	0.367681	0.238809
d	0.000217984	1.62528e-05	0.000279143	0.000515654	0.00248526	0.00818753	0.0201147	0.190667	0.279294	0.388548	0.109674
ú	3.31771e-05	3.62162e-05	6.28866e-05	0.000357059	0.0013945	0.00529	0.0252418	0.113662	0.1189	0.541755	0.193268
u	0.00111998	1.16174e-05	0.000262709	0.000952476	0.00451978	0.0111536	0.0288937	0.20493	0.138589	0.477157	0.13241
</S>	0.00154661	0.000195015	0.000857796	0.0036968	0.00460318	0.0237557	0.0457511	0.167337	0.228669	0.0242016	0.499386
