 	ses	yeux	sont	brouillés	par	les	larmes	</S>
w	0.929681	0.0171689	0.0156738	0.0080047	0.0198088	0.00906174	0.000118676	0.000481955
a	0.866895	0.0809531	0.0225945	0.00131635	0.00993705	0.0178332	0.000219516	0.000250924
m	0.476694	0.379184	0.108584	0.00894682	0.0145258	0.00731871	0.00268654	0.00205954
í	0.0394605	0.908574	0.0400271	0.00114895	0.00266469	0.00190184	0.000874332	0.00534864
s	0.33877	0.197973	0.27858	0.0587817	0.0519161	0.0251772	0.00894364	0.0398592
i	0.671898	0.0142813	0.102478	0.0304087	0.0494066	0.0258068	0.0270622	0.0786583
á	0.239004	0.0715777	0.558424	0.0536704	0.0305164	0.0273902	0.00329005	0.0161276
m	0.0137459	0.0179893	0.508577	0.342465	0.043556	0.0274413	0.0216821	0.0245426
i	0.0279299	0.0489117	0.279534	0.240535	0.209427	0.111367	0.042236	0.0400602
y	0.00717992	0.0111081	0.117642	0.689276	0.0695874	0.0226849	0.0669273	0.015594
e	0.0150583	0.0102439	0.103872	0.458901	0.0960841	0.0199338	0.259492	0.0364142
e	0.00852807	0.00108486	0.140252	0.321561	0.198239	0.0790372	0.0763555	0.174942
n	0.00614782	0.000219993	0.0938224	0.0848215	0.415936	0.379274	0.00678255	0.0129959
g	0.0657005	0.000250056	0.0230222	0.0109229	0.582883	0.145726	0.0400978	0.131398
á	0.088066	0.00888162	0.0329018	0.0105315	0.447019	0.126379	0.187243	0.0989777
a	0.00439435	5.68623e-05	0.0174314	0.0150244	0.313477	0.611312	0.0279184	0.0103861
t	0.00181136	0.000537826	0.00560133	0.0207041	0.0676867	0.207198	0.66138	0.035081
s	0.000262178	1.55643e-05	0.0079869	0.124407	0.125703	0.13943	0.429278	0.172917
á	0.000941835	1.95938e-05	0.0133021	0.0961957	0.182609	0.198954	0.316541	0.191437
n	0.0328177	8.17912e-05	0.0111006	0.00894205	0.06464	0.273221	0.143367	0.46583
g	0.00245956	4.48679e-05	0.00298381	0.00181823	0.0323714	0.0326241	0.509073	0.418625
á	0.00361442	0.000184895	0.00241144	0.000692306	0.0374761	0.0326236	0.55612	0.366878
</S>	0.00471699	5.91669e-05	0.0155852	0.00905315	0.0737526	0.26617	0.150627	0.480036
