 	je	suis	resté	longtemps	à	boundji	pour	suivre	le	traitement	à	l'	hôpital	</S>
n	0.738653	0.0751738	0.0728152	0.0538559	0.0258084	0.0152194	0.00699033	0.00212468	0.00103045	0.00163395	0.00238736	0.00384399	8.69828e-05	0.000376087
g	0.962903	0.0283378	0.00192581	0.00266487	0.00258231	0.000469844	0.000253838	0.000224046	8.10849e-05	0.000138461	0.000165119	0.000217162	2.03574e-05	1.63701e-05
á	0.960337	0.0322196	0.00233651	0.00152195	0.00177451	0.000673634	7.73724e-05	0.000731756	4.09988e-05	3.2716e-05	5.87315e-05	0.000175168	6.45101e-06	1.39379e-05
í	0.0480598	0.34856	0.0625011	0.101944	0.0493699	0.0425672	0.0418824	0.0149217	0.02724	0.00313173	0.0193857	0.0653933	0.00131946	0.173723
l	0.00553049	0.207125	0.65427	0.0362901	0.0243755	0.025678	0.00665267	0.00839837	0.00619104	0.00379435	0.00364177	0.00537865	0.0023582	0.0103155
o	0.00235617	0.175439	0.557236	0.0960966	0.0322522	0.0326786	0.00387325	0.0443443	0.00664219	0.00125474	0.00348982	0.00935684	0.001438	0.0335416
n	0.00194979	0.359642	0.473878	0.0675512	0.0390411	0.0119906	0.000589676	0.0139039	0.00156936	0.00313423	0.00122442	0.00313077	0.00648497	0.0159092
i	0.00837463	0.117968	0.377459	0.153155	0.100835	0.0347897	0.0235883	0.0225208	0.0387648	0.0410244	0.0253775	0.0127498	0.00807652	0.0353154
i	0.00920052	0.0541895	0.0303332	0.16987	0.392317	0.0801086	0.101363	0.021078	0.0426054	0.0182367	0.034815	0.0283034	0.00120166	0.0163785
s	0.0023618	0.00933372	0.0213033	0.106129	0.227143	0.401378	0.0746616	0.0402711	0.0304712	0.0358465	0.0166423	0.0103438	0.00290846	0.0212068
e	0.00040607	0.0268557	0.0481996	0.140422	0.479688	0.23655	0.00697643	0.0165622	0.00600704	0.0163684	0.00706627	0.00585408	0.00115652	0.0078883
b	0.000200877	0.0166168	0.0152661	0.117614	0.461152	0.238712	0.0305087	0.0197642	0.0164732	0.0172851	0.0184177	0.00818192	0.00668015	0.0331276
ω	0.000269149	0.00651899	0.0467018	0.0678062	0.0905614	0.335417	0.0374563	0.0440464	0.0482297	0.196434	0.0685138	0.012974	0.00264072	0.0424306
n	0.000146382	0.00752121	0.0206104	0.0621773	0.1136	0.215647	0.16577	0.167443	0.062567	0.0617043	0.0552564	0.0313931	0.00146587	0.0346982
g	0.000575642	0.0174315	0.0182492	0.0567976	0.0916331	0.314082	0.0622081	0.158977	0.0625361	0.0435164	0.0369306	0.0275013	0.0018724	0.107689
ω	0.00657159	0.0264917	0.00658072	0.032254	0.142684	0.227362	0.0634821	0.305951	0.031556	0.014983	0.0327156	0.0277296	0.000810593	0.0808283
m	0.000162335	0.00338942	0.0010926	0.013446	0.061261	0.024123	0.43274	0.124543	0.0968879	0.0526823	0.0801222	0.0821251	0.00129336	0.0261315
í	0.000340026	0.00361502	0.000232045	0.0038299	0.0494964	0.0646707	0.253838	0.0359504	0.16919	0.00953682	0.167034	0.102965	0.00162286	0.137679
k	0.000405248	0.0073291	0.00199356	0.0243064	0.0574868	0.0462701	0.104365	0.22439	0.0771163	0.225193	0.123613	0.0752004	0.0148118	0.0175194
y	9.7707e-06	0.000400246	0.00220587	0.00458227	0.00340729	0.0249394	0.00416826	0.223901	0.0184036	0.595527	0.0356786	0.00684212	0.0613542	0.0185799
a	4.23541e-06	0.000228774	0.00108273	0.000777131	0.00259619	0.00658671	0.00561772	0.163612	0.0404262	0.63508	0.0616236	0.0130822	0.0573143	0.011968
l	5.37862e-06	0.000159991	0.000446706	0.000981814	0.00434148	0.00506959	0.0190824	0.0408447	0.069837	0.657358	0.117182	0.0207333	0.0257856	0.0381723
ó	2.31863e-05	0.00029476	0.000757458	0.00131939	0.00227217	0.00397066	0.0107926	0.123098	0.103953	0.451287	0.163897	0.0358643	0.0070433	0.0954267
p	6.76793e-05	0.00124297	0.000320553	0.00259977	0.00441153	0.00126682	0.0256995	0.0499058	0.201213	0.0854127	0.22956	0.256308	0.0368683	0.105124
i	3.06439e-05	0.000466491	0.000442975	0.000798833	0.000890974	0.000812887	0.00209207	0.0156713	0.020829	0.31571	0.0678081	0.036116	0.500798	0.0375319
t	3.76289e-06	0.000115365	0.000293953	0.000416856	0.00073658	0.000840089	0.00242318	0.0166592	0.0456063	0.228647	0.0861188	0.0714112	0.456371	0.0903569
á	1.16094e-05	0.000151126	0.000172757	0.000142879	0.000254307	0.000373165	0.00108203	0.00936796	0.0145045	0.161941	0.0395203	0.0218382	0.701247	0.0493933
á	0.000370148	0.000695653	0.000126204	0.00139222	0.00209533	0.00124551	0.0140959	0.00357263	0.0707705	0.0396064	0.109027	0.157009	0.174752	0.425242
l	0.000731027	0.00767588	0.0030604	0.0133579	0.00882821	0.0019764	0.0265166	0.00770907	0.0528617	0.0111486	0.0721646	0.321523	0.0549587	0.417488
e	0.000450195	0.00945992	0.00133319	0.0082093	0.00359715	0.000958441	0.00676063	0.00959772	0.0315377	0.00447421	0.0347997	0.154124	0.054413	0.680285
</S>	5.6512e-06	0.00104341	0.000349626	0.00142771	0.00407583	0.0007296	0.00503538	0.0136796	0.0337173	0.0236529	0.0374427	0.0958606	0.156372	0.626608
