 	j'	ai	attrapé	une	anguille	dans	la	nasse	etambo	</S>
n	0.817365	0.0361819	0.00134997	0.0256764	0.0571314	0.00853301	0.00798648	0.0347636	0.0109268	8.52608e-05
g	0.81869	0.0380504	0.000135467	0.00638916	0.130391	0.00192671	0.000639354	0.00253671	0.00122366	1.82176e-05
á	0.541287	0.223029	0.0056488	0.0211267	0.186811	0.00183854	0.0014566	0.0183964	0.000331492	7.53327e-05
í	0.0221191	0.349166	0.0596291	0.0902967	0.0730417	0.0256542	0.0590318	0.0206074	0.030339	0.270115
p	0.0025404	0.165668	0.800346	0.0208727	0.00150372	0.00172951	0.00252443	0.000538914	0.000275019	0.00400112
i	6.69631e-05	0.0118382	0.942997	0.0386074	0.000250882	0.000401769	0.00250857	0.000351898	0.00110973	0.00186786
i	0.000177219	0.0225696	0.766935	0.19879	0.0023022	0.00280963	0.00450026	0.000630891	0.000101068	0.00118411
n	0.0133952	0.0735806	0.0121718	0.303491	0.241347	0.260607	0.0463823	0.0322835	0.0025133	0.014229
y	0.00219645	0.0104978	0.000292358	0.0213744	0.848119	0.102577	0.00450728	0.00846926	0.000236327	0.00173
ω	0.000639955	0.00274774	0.00043852	0.042602	0.934736	0.0118538	0.00237658	0.00346367	0.000175548	0.00096638
m	8.13239e-05	0.00736751	0.00521973	0.143156	0.614006	0.0727292	0.0674494	0.0811427	0.000911082	0.00793765
b	0.00186702	0.00113958	0.000754362	0.11343	0.320367	0.3659	0.0787036	0.026545	0.0169166	0.0743757
ώ	0.000319113	0.00011517	0.000112914	0.0458536	0.478937	0.149925	0.131254	0.0487063	0.0355398	0.109236
m	0.000130712	0.00173134	0.000385279	0.0534921	0.0405627	0.495662	0.263473	0.121007	0.0078004	0.0157555
é	0.000118651	0.000163043	2.85641e-05	0.0139309	0.093284	0.373416	0.0684342	0.0202168	0.0761118	0.354296
t	3.7336e-06	0.000831457	0.000350681	0.0166034	0.00504484	0.375405	0.367877	0.0684405	0.0794969	0.0859468
á	1.91966e-05	0.000130384	0.00265692	0.0328405	0.00197627	0.0343246	0.222284	0.131608	0.480851	0.0933086
m	6.26802e-05	0.000205617	0.00301235	0.012723	0.00130173	0.0304276	0.229442	0.0223133	0.462513	0.237999
b	1.4273e-05	5.08048e-05	9.70165e-05	0.00977341	0.0254701	0.2652	0.150549	0.083324	0.294978	0.170542
o	4.1298e-05	8.81635e-05	7.3958e-05	0.0190481	0.0240225	0.070143	0.135319	0.0480181	0.453278	0.249968
</S>	5.12437e-05	0.000186751	0.000121831	0.0105142	0.00332577	0.0616773	0.278424	0.123654	0.110538	0.411506
