 	l'	aveugle	palpe	les	murs	pour	trouver	le	chemin	</S>
m	0.889593	0.0913227	0.00446019	0.00690431	0.00337512	0.00352431	0.000172894	0.00042379	0.000162375	6.15059e-05
o	0.0590095	0.929009	0.00200644	0.00199987	0.00437868	0.00242607	0.00044228	0.000455792	6.38245e-06	0.000265592
r	0.550765	0.439299	0.00525874	0.00132377	0.00241875	0.000557748	0.000184613	0.000105384	1.18921e-05	7.42615e-05
o	0.304987	0.194386	0.0679635	0.089482	0.199112	0.0881362	0.0184414	0.0165681	0.00730056	0.0136231
y	0.798874	0.180423	0.00567471	0.00274058	0.00249297	0.0030932	0.000871777	0.00177848	0.000239499	0.00381185
e	0.750547	0.103566	0.0194629	0.0390302	0.0255655	0.0305528	0.00753706	0.0101096	0.00634392	0.00728453
é	0.664408	0.227366	0.0102892	0.0166972	0.0139681	0.0224282	0.00402219	0.0133703	0.00282687	0.0246245
d	0.0826923	0.180138	0.414712	0.0456258	0.0423616	0.0214331	0.106398	0.0311821	0.0185721	0.0568858
i	0.108951	0.0769812	0.623997	0.0395364	0.00723362	0.0149113	0.0368665	0.0196099	0.00373284	0.0681798
m	0.127608	0.114215	0.646484	0.0343828	0.00670221	0.00766349	0.00629932	0.0205451	0.00553752	0.0305626
í	0.21571	0.418102	0.178594	0.0959836	0.0354927	0.0375596	0.00127958	0.00520353	0.00045011	0.0116251
s	0.109558	0.117437	0.211126	0.197015	0.0915873	0.0776815	0.0101802	0.06585	0.00926324	0.110301
i	0.261332	0.10852	0.181268	0.166864	0.112394	0.0957642	0.0226745	0.0174342	0.00418611	0.0295624
k	0.113572	0.0428488	0.211472	0.305048	0.129394	0.095664	0.0150542	0.0385806	0.00944307	0.0389232
a	0.025842	0.0103943	0.623987	0.159426	0.0187463	0.00809573	0.073009	0.00682957	0.0425223	0.031148
á	0.012385	0.0127936	0.159987	0.18482	0.03945	0.0274013	0.090943	0.037328	0.0626521	0.37224
l	0.00984665	0.0090533	0.0499441	0.401775	0.183473	0.194279	0.0377685	0.0480996	0.00686293	0.0588983
á	0.00670473	0.00330563	0.0697314	0.249734	0.128046	0.124392	0.13609	0.085541	0.0131082	0.183346
a	0.0193392	0.00486096	0.0222634	0.290017	0.245955	0.19995	0.120429	0.0409836	0.0120025	0.0441987
p	0.00253714	0.00405853	0.111406	0.151789	0.141846	0.0418573	0.470486	0.0270014	0.029871	0.019148
a	0.000363634	0.000496747	0.0433239	0.0629831	0.0153502	0.00957476	0.771192	0.0174701	0.0498248	0.0294207
b	0.00622064	0.000401849	0.028505	0.132023	0.0260534	0.0515	0.415694	0.0753176	0.084851	0.179434
h	0.0135227	0.00151608	0.0285621	0.27447	0.067076	0.174753	0.151182	0.0866122	0.0538766	0.148429
í	0.0128893	0.000849367	0.0375865	0.141391	0.0165662	0.0523692	0.109728	0.0786984	0.14294	0.406981
r	0.00212261	0.000687739	0.00177683	0.105189	0.113108	0.466139	0.098295	0.141326	0.0252684	0.0460868
á	0.0117224	0.00355781	0.000804317	0.0600541	0.547802	0.26766	0.0659309	0.022218	0.00357371	0.0166764
i	0.00421185	0.000566247	0.000606637	0.0360743	0.150314	0.355974	0.186405	0.192274	0.0472125	0.026362
b	0.00507227	0.00343229	0.0048135	0.0298964	0.0912184	0.108015	0.241873	0.149879	0.317343	0.0484566
a	0.00241551	0.011781	0.0169779	0.0819285	0.0463264	0.118655	0.0834392	0.128609	0.445738	0.0641295
á	0.00591233	0.0021695	0.00483248	0.0666409	0.0540889	0.151497	0.122225	0.136682	0.181395	0.274557
m	0.00328999	0.0019216	0.00240912	0.0249896	0.0644432	0.3392	0.0414149	0.318777	0.0550899	0.148464
í	0.0225197	0.0138915	0.00896164	0.0900953	0.0659019	0.253794	0.0420695	0.129132	0.166278	0.207357
y	0.00535848	0.00143098	0.00156809	0.0385626	0.0750694	0.197079	0.0376382	0.166442	0.267915	0.208937
é	0.00854449	0.00283072	0.0043193	0.0387781	0.0430039	0.222896	0.210998	0.152487	0.228725	0.0874179
n	0.00174103	0.000296028	0.0015437	0.0260427	0.0379503	0.167527	0.0566288	0.192829	0.198591	0.316851
g	0.00131609	0.000826576	0.00333031	0.034574	0.0888181	0.258137	0.107683	0.208761	0.0910964	0.205457
a	0.000228186	0.000305311	0.00105151	0.0184224	0.131967	0.109023	0.124924	0.201868	0.133557	0.278654
l	0.000290632	0.000118425	0.000972087	0.0224348	0.0168597	0.0761445	0.0416168	0.244163	0.133381	0.464019
á	0.00427489	0.000748774	0.00524646	0.0136204	0.018267	0.0547601	0.0389252	0.174463	0.27306	0.416635
k	0.0105964	0.00137584	0.00140128	0.0174136	0.0240214	0.128367	0.0179464	0.193918	0.228732	0.376228
ó	0.000125957	6.94783e-05	0.000400724	0.00304925	0.000953138	0.0062217	0.0138493	0.0427303	0.776525	0.156075
ó	0.00018893	3.64741e-05	0.000537562	0.00421488	0.00142701	0.009234	0.0346101	0.0645678	0.650208	0.234975
</S>	0.00713503	0.000754852	0.00482105	0.0244742	0.0162455	0.139741	0.0116721	0.284635	0.114364	0.396158
