 	de	petits	enfants	ont	capturé	les	petits	du	tilapia	</S>
b	0.369739	0.551442	0.0740506	0.000781019	2.79957e-05	0.00271114	0.000790976	0.000323954	0.000128584	4.1904e-06
á	0.0850713	0.711695	0.196777	0.00204835	2.07385e-05	0.00139532	0.00237076	0.000493659	6.03213e-05	6.80336e-05
n	0.00584199	0.717282	0.274098	0.000407154	1.60269e-05	0.000140882	0.00212431	3.38706e-05	3.10817e-05	2.44173e-05
a	0.0433132	0.843167	0.104978	0.0017821	4.2922e-05	0.000355647	0.00475618	3.87076e-05	5.76487e-05	0.00150933
b	0.52301	0.169781	0.214464	0.0601776	0.00253865	0.0111165	0.00230245	0.00881924	0.00188086	0.00590954
á	0.109418	0.0858165	0.292313	0.159721	0.00074868	0.0697247	0.046404	0.120884	0.0472573	0.067714
n	0.0806886	0.154153	0.571351	0.117439	0.0103583	0.0156355	0.0172518	0.0118311	0.00831738	0.0129748
d	0.18924	0.414357	0.163254	0.0869047	0.00204643	0.0261177	0.0848978	0.0144553	0.00153394	0.0171926
z	0.11958	0.161393	0.443617	0.0996998	0.0346077	0.0100345	0.0735648	0.00540707	0.00227076	0.0498254
é	0.28953	0.302437	0.304397	0.0108487	0.00837115	0.00587963	0.064722	0.00327231	0.000637118	0.00990538
s	0.551888	0.295785	0.0876585	0.00775877	0.00111354	0.00993973	0.029616	0.00665529	0.00171867	0.00786654
i	0.620625	0.195895	0.134639	0.010181	0.00466637	0.00867556	0.00812557	0.00245128	0.00290766	0.0118335
á	0.0439192	0.00780461	0.12999	0.728413	0.0412495	0.0233375	0.00417422	0.0112452	0.00298737	0.00687918
p	0.00711605	0.00071484	0.00327286	0.277939	0.655543	0.0275783	0.00362748	0.00676786	0.00448329	0.0129572
i	0.00129262	0.000180258	0.00313104	0.0903764	0.813207	0.039945	0.0101472	0.0200072	0.007706	0.014007
i	0.00754245	0.000284879	0.00109941	0.0242882	0.916732	0.0398833	0.00165671	0.00373643	0.00141822	0.00335799
l	0.0112507	0.00483989	0.00411806	0.221994	0.0416904	0.514053	0.0963173	0.0728016	0.018077	0.0148581
e	0.0109551	0.00248393	0.00337005	0.0853948	0.128831	0.37141	0.133485	0.10024	0.0370074	0.126822
b	0.00489783	0.000720902	0.000729957	0.0320384	0.0865989	0.531985	0.174712	0.0789085	0.0475441	0.0418648
á	0.0214895	0.025351	0.0315888	0.0458955	0.0202446	0.134017	0.649813	0.0409026	0.0220073	0.00869085
n	0.0113049	0.00694397	0.0073466	0.0319397	0.00441525	0.146165	0.627639	0.0800329	0.0478195	0.0363933
a	0.00517627	0.0034315	0.00257258	0.00257143	0.00110843	0.0795464	0.845904	0.0183399	0.013599	0.0277503
l	0.00184719	0.000346033	0.000500624	0.0307063	0.0119857	0.293962	0.115058	0.356537	0.122962	0.0660955
á	0.0193921	0.000710754	0.000709493	0.0179684	0.0204808	0.114282	0.0891112	0.245825	0.14296	0.34856
m	0.0113425	0.00177766	0.00127561	0.00706103	0.0037878	0.0941528	0.12094	0.323278	0.408937	0.0274478
b	0.014627	0.0145248	0.00022543	0.00536397	0.00244377	0.0340437	0.148497	0.141342	0.404435	0.234497
ω	0.00300227	0.00239578	0.000417408	0.000377067	0.000567222	0.0226464	0.31978	0.0288691	0.596182	0.025763
ώ	0.000229973	5.09263e-05	2.86322e-05	0.000483929	0.000168477	0.00802657	0.037248	0.0254296	0.908667	0.0196674
</S>	0.00286423	0.000142215	0.000119291	0.00165143	0.00021963	0.0981303	0.0675931	0.307235	0.244534	0.277511
