 	je	vais	m'	asseoir	à	l'	arrière	de	la	voiture	</S>
n	0.964802	0.0112792	0.00234752	0.010614	0.00576961	0.00238452	0.00118775	0.000398445	0.000880678	0.00023348	0.00010281
g	0.993307	0.000912992	0.00475457	0.000131163	9.30923e-05	3.6874e-05	0.000725563	9.39596e-06	1.77911e-05	1.10354e-05	7.4294e-07
á	0.960142	0.0217404	0.010915	0.00154326	0.000309978	0.000239186	0.00486093	4.76264e-05	5.88525e-05	0.000137559	5.62803e-06
l	0.166842	0.0577803	0.36766	0.0401533	0.0266808	0.0155362	0.0244694	0.0227117	0.0228525	0.0161778	0.239136
í	0.47265	0.0958676	0.215205	0.0223483	0.0308836	0.0218093	0.0247575	0.0188941	0.0159544	0.0112903	0.0703404
i	0.0548878	0.041433	0.113952	0.308452	0.0955319	0.0689971	0.0501327	0.035172	0.0384829	0.0380014	0.154958
d	0.0053386	0.617941	0.103021	0.235321	0.00919178	0.00423387	0.00106066	0.0012952	0.00165064	0.00910618	0.011841
z	0.00696397	0.423104	0.0139007	0.548621	0.0045784	0.00133606	4.08338e-05	0.000135417	0.000120734	0.000808861	0.000390674
e	0.0341082	0.340379	0.00588292	0.6092	0.00693147	0.00231688	0.000118204	0.000302488	7.83551e-05	0.000353954	0.000328294
m	0.0119654	0.0311132	0.0949871	0.755307	0.0648588	0.0191242	0.00181957	0.00344952	0.00223117	0.000890467	0.0142539
á	0.00247032	0.00654239	0.0416264	0.62632	0.19462	0.0967487	0.010092	0.0127515	0.00348774	0.000446284	0.00489411
m	0.00267539	0.00674104	0.101494	0.181541	0.419996	0.21287	0.046613	0.0154858	0.00953533	0.00116803	0.00188082
ó	0.000143572	0.000694314	0.0259851	0.198606	0.436089	0.213718	0.0190985	0.0377237	0.00262419	0.00205374	0.0632649
n	0.0012747	0.00316293	0.0414204	0.209416	0.377694	0.218282	0.0755707	0.0226578	0.00780813	0.020758	0.0219557
g	0.00587668	0.00203968	0.125456	0.0983247	0.312337	0.194952	0.201163	0.0198702	0.00444237	0.00441901	0.0311192
ω	0.00413239	0.00064047	0.0784353	0.0241765	0.0568852	0.0710206	0.737324	0.0102858	0.00152045	0.00580541	0.00977352
n	0.000807618	0.00143745	0.0551634	0.0267805	0.0781507	0.0844361	0.594004	0.0729077	0.0180655	0.0211278	0.0471192
g	0.000549457	0.00100958	0.0456447	0.0207	0.129853	0.157432	0.48686	0.0563423	0.0151418	0.0107464	0.0757199
ω	0.000686827	0.000304812	0.01081	0.0111977	0.0527524	0.0931472	0.74436	0.0413646	0.0022255	0.00985358	0.0332971
s	0.000320439	0.00046363	0.0242647	0.00274341	0.136938	0.203409	0.239354	0.289153	0.0651677	0.00655622	0.0316303
á	0.00084402	0.000937641	0.00990603	0.0118357	0.0763303	0.158916	0.153919	0.324517	0.170884	0.0299559	0.0619549
ω	0.0113176	0.000552084	0.0115888	0.00714766	0.0325823	0.0831533	0.075459	0.254605	0.389977	0.122215	0.0114018
t	0.000346605	0.00184763	0.00858157	0.0128936	0.0162851	0.0344451	0.015011	0.122587	0.305171	0.460126	0.0227058
ω	2.98013e-05	0.000866375	0.000188791	0.00740952	0.00600572	0.0139016	0.00314169	0.0224002	0.0796315	0.857604	0.00882082
m	3.58958e-05	8.84289e-05	0.0003151	0.00257864	0.00823239	0.0151465	0.0159291	0.027947	0.0458663	0.864646	0.0192145
b	1.58782e-05	3.9115e-05	7.49567e-05	0.00381059	0.0204181	0.042257	0.0310942	0.128571	0.121859	0.516021	0.135839
í	9.67522e-05	0.000116901	0.000139762	0.0027904	0.0177689	0.0457226	0.0205732	0.219831	0.0440016	0.278276	0.370683
l	0.000155944	9.21052e-05	0.000616834	0.000941806	0.0109645	0.0166521	0.0170526	0.176802	0.123939	0.092592	0.560192
i	0.00165176	0.000188703	0.00244196	0.00616932	0.0216593	0.040733	0.154403	0.238445	0.172919	0.208756	0.152634
</S>	0.000875298	9.63081e-05	0.00524315	0.0008007	0.0156575	0.0205478	0.0297282	0.180073	0.32996	0.0262976	0.390721
