 	cette	étoffe	est	très	blanche	</S>
ω	0.625403	0.34391	0.0233286	0.00637544	0.000467301	0.00051561
k	0.0209158	0.967316	0.00898995	0.00123687	0.000930846	0.000610441
á	0.00428373	0.977921	0.00904768	0.00272236	0.00443349	0.0015922
n	0.00186764	0.95935	0.0160642	0.00910912	0.00884892	0.00476047
d	0.0463274	0.942335	0.00748241	0.00119107	0.000276252	0.00238744
á	0.342852	0.53497	0.0191285	0.00747041	0.00202793	0.0935512
m	0.474917	0.121794	0.270234	0.0884564	0.0228234	0.0217764
ú	0.762422	0.0218859	0.108285	0.0443524	0.0117882	0.0512663
ó	0.119403	0.189693	0.496759	0.124679	0.0320975	0.0373689
d	0.086945	0.037974	0.237453	0.246131	0.357059	0.034439
i	0.005526	0.000656423	0.0492196	0.114007	0.136027	0.694563
p	0.0479645	0.00118838	0.115948	0.33228	0.206568	0.29605
f	0.00481961	0.0068978	0.0446235	0.35769	0.430164	0.155805
ú	0.00729014	0.0173809	0.0903684	0.308993	0.321196	0.254771
ú	0.00294518	0.00218194	0.0117174	0.0571931	0.739615	0.186347
</S>	0.00640763	0.00127517	0.0417764	0.162549	0.108492	0.679499
