 	demain	nous	aurons	d'	autres	animaux	</S>
i	0.934281	0.0427676	0.0118147	0.00280852	0.00757381	0.000658217	9.59054e-05
m	0.718765	0.0256145	0.210983	0.0340368	0.00840699	0.00059027	0.00160437
b	0.747745	0.19408	0.0215045	0.00298666	0.00295082	0.00298729	0.0277451
y	0.887356	0.0728278	0.0135474	0.00233374	0.00190451	0.0144799	0.00755046
é	0.92474	0.0634905	0.00248285	0.000613168	0.000764258	0.00127109	0.00663806
n	0.828122	0.11394	0.0214461	0.00328845	0.00183324	0.00751956	0.02385
g	0.707176	0.0353319	0.0409587	0.0108248	0.00567442	0.0126294	0.187404
í	0.92743	0.0481817	0.00848302	0.00081503	0.000399326	0.0015223	0.0131684
l	0.131438	0.529374	0.172172	0.029485	0.0586116	0.00397804	0.0749416
é	0.221859	0.404684	0.0948492	0.0257067	0.0226175	0.0320742	0.198209
e	0.0888558	0.388262	0.28367	0.0366594	0.037729	0.0216514	0.143173
b	0.0276805	0.0510417	0.851837	0.0487357	0.00698643	0.00161346	0.0121053
v	0.0174407	0.0669611	0.860961	0.0428426	0.00744371	0.00021148	0.00413959
u	0.0112654	0.0812952	0.808824	0.0783869	0.0168064	0.00013236	0.00328961
r	0.0160882	0.511499	0.230183	0.152065	0.0625734	0.00154889	0.0260421
á	0.295115	0.357715	0.0900316	0.0787164	0.0898266	0.0250549	0.0635397
o	0.0130282	0.469123	0.110971	0.213641	0.161141	0.0174661	0.0146297
d	0.00771407	0.00616637	0.422549	0.525699	0.0238511	0.0076538	0.00636698
i	0.00442427	0.00313411	0.243118	0.662283	0.0400669	0.00844588	0.0385283
á	0.00144531	0.00523378	0.0725691	0.635202	0.192188	0.00838758	0.0849746
a	0.00108896	0.0168966	0.00789848	0.258951	0.479352	0.182318	0.053495
n	0.00690913	0.020028	0.0220672	0.263192	0.345974	0.254692	0.0871368
y	0.0428988	0.086929	0.00690064	0.0416821	0.0500303	0.631711	0.139849
a	0.00112948	0.00455498	0.000348884	0.0201639	0.0322191	0.920515	0.0210684
m	0.00632977	0.0181543	0.0273256	0.346155	0.0753531	0.203822	0.322861
a	0.00480928	0.00543212	0.0168295	0.128333	0.332713	0.192056	0.319826
a	0.000544174	0.00387937	0.00262437	0.0705289	0.31472	0.0649946	0.542709
s	0.00424176	0.019985	0.0227395	0.106593	0.395562	0.193747	0.257132
ú	0.0089154	0.00845503	0.00328121	0.0309014	0.153114	0.374701	0.420631
s	0.000832775	0.00325229	0.0011671	0.0393743	0.363405	0.175932	0.416037
u	0.000621498	0.000638496	0.00194272	0.107148	0.447776	0.320967	0.120906
i	0.000260275	0.00214811	0.00178718	0.0491257	0.188004	0.0570999	0.701575
m	0.00172674	0.00615498	0.00757221	0.0327341	0.110734	0.0861839	0.754894
b	0.00092218	0.00344029	0.00326168	0.0252307	0.401774	0.127484	0.437887
y	0.00187695	0.00348584	0.00267352	0.0587811	0.349686	0.089639	0.493858
é	0.00165725	0.000919037	0.00486635	0.0529183	0.176915	0.115108	0.647617
n	0.000122082	0.00018178	0.00174245	0.0430273	0.0931125	0.0350915	0.826722
g	0.00148556	0.0061943	0.00624929	0.0390759	0.115547	0.159425	0.672022
í	0.000698236	0.0025523	0.00142839	0.0111867	0.0148092	0.0374436	0.931882
</S>	0.00155897	0.00532152	0.00501057	0.0222074	0.139578	0.0619999	0.764323
